user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
0hfP5KuS,1396310400000,58,37,615,2,147,156,211,30,69
0hfP5KuS,1396396800000,60,41,560,3,47,64,380,30,29
0hfP5KuS,1396483200000,163,138,217,8,73,49,459,24,37
0hfP5KuS,1396569600000,16,132,260,12,102,27,332,49,140
0hfP5KuS,1396656000000,24,119,420,11,103,163,324,27,60
0hfP5KuS,1396742400000,129,45,203,18,116,195,387,37,24
0hfP5KuS,1396828800000,125,165,695,6,0,9,220,45,155
0hfP5KuS,1396915200000,16,159,409,1,189,93,207,16,147
0hfP5KuS,1397001600000,136,70,775,5,156,198,292,38,189
0hfP5KuS,1397088000000,61,107,766,17,53,166,425,19,18
0hfP5KuS,1397174400000,53,115,407,0,106,50,347,38,196
0hfP5KuS,1397260800000,120,92,642,3,192,93,353,49,100
0hfP5KuS,1397347200000,125,198,11,7,178,146,441,45,22
0hfP5KuS,1397433600000,147,68,115,15,18,142,524,19,38
0hfP5KuS,1397520000000,83,29,375,6,54,0,513,48,173
0hfP5KuS,1397606400000,66,100,749,7,16,133,279,33,198
0hfP5KuS,1397692800000,133,21,451,2,147,44,216,31,150
0hfP5KuS,1397779200000,137,194,678,13,86,119,399,23,177
0hfP5KuS,1397865600000,106,102,181,4,75,85,532,41,20
0hfP5KuS,1397952000000,29,32,306,19,178,110,380,17,64
0hfP5KuS,1398038400000,101,114,8,19,181,169,204,31,189
0hfP5KuS,1398124800000,53,198,136,10,167,1,238,13,164
0hfP5KuS,1398211200000,197,161,319,13,23,57,408,16,197
0hfP5KuS,1398297600000,160,16,371,10,34,123,291,29,35
0hfP5KuS,1398384000000,152,9,497,10,145,161,409,3,198
0hfP5KuS,1398470400000,161,102,693,6,74,147,430,42,39
0hfP5KuS,1398556800000,20,21,42,6,124,32,220,41,106
0hfP5KuS,1398643200000,59,163,563,3,191,184,290,12,88
0hfP5KuS,1398729600000,96,30,281,15,138,52,372,1,96
0hfP5KuS,1398816000000,157,17,796,1,127,162,528,2,11
0hfP5KuS,1398902400000,97,130,419,5,59,121,492,19,87
0hfP5KuS,1398988800000,23,102,627,10,133,41,161,24,131
0hfP5KuS,1399075200000,111,89,615,11,14,103,504,22,50
0hfP5KuS,1399161600000,42,98,711,12,105,162,542,10,2
0hfP5KuS,1399248000000,118,170,108,2,85,153,501,47,80
0hfP5KuS,1399334400000,24,25,555,3,157,64,371,27,78
0hfP5KuS,1399420800000,106,193,405,3,129,173,388,0,3
0hfP5KuS,1399507200000,6,138,738,12,10,175,329,31,40
0hfP5KuS,1399593600000,189,184,437,17,169,136,428,3,136
0hfP5KuS,1399680000000,37,108,113,18,35,83,243,15,57
0hfP5KuS,1399766400000,163,47,607,18,137,92,398,29,110
0hfP5KuS,1399852800000,181,65,429,0,51,18,301,20,17
0hfP5KuS,1399939200000,32,163,636,2,174,40,488,41,149
0hfP5KuS,1400025600000,161,139,26,6,4,171,513,49,79
0hfP5KuS,1400112000000,159,157,150,19,119,55,182,14,49
0hfP5KuS,1400198400000,77,5,624,3,22,42,335,11,108
0hfP5KuS,1400284800000,57,32,373,3,20,132,264,46,24
0hfP5KuS,1400371200000,161,199,713,3,109,146,492,5,144
0hfP5KuS,1400457600000,159,31,624,9,181,94,185,49,1
0hfP5KuS,1400544000000,181,6,118,8,115,25,265,48,182
0hfP5KuS,1400630400000,178,73,677,15,21,161,317,17,139
0hfP5KuS,1400716800000,187,198,310,8,32,101,188,17,62
0hfP5KuS,1400803200000,85,150,37,12,128,165,418,18,103
0hfP5KuS,1400889600000,46,136,681,5,64,159,429,41,70
0hfP5KuS,1400976000000,166,124,267,12,104,29,265,12,9
0hfP5KuS,1401062400000,122,110,618,19,88,23,411,34,6
0hfP5KuS,1401148800000,74,140,212,4,74,124,514,28,195
0hfP5KuS,1401235200000,182,79,635,14,103,150,255,14,67
0hfP5KuS,1401321600000,63,100,705,19,94,175,380,38,105
0hfP5KuS,1401408000000,66,117,697,12,42,124,234,19,49
0hfP5KuS,1401494400000,53,126,270,6,138,73,384,28,137
0hfP5KuS,1401580800000,36,26,300,15,24,189,184,9,101
0hfP5KuS,1401667200000,156,11,570,13,166,158,317,35,55
0hfP5KuS,1401753600000,57,122,387,12,127,100,469,7,182
0hfP5KuS,1401840000000,198,138,158,9,46,178,236,34,184
0hfP5KuS,1401926400000,24,38,781,13,53,173,375,22,49
0hfP5KuS,1402012800000,134,162,79,12,68,11,268,48,88
0hfP5KuS,1402099200000,102,84,364,11,83,64,410,46,48
0hfP5KuS,1402185600000,66,98,545,15,164,16,426,38,171
0hfP5KuS,1402272000000,73,190,334,14,31,143,391,8,14
