user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
16aUPwiN,1404172800000,1382,1455,1450,10,1453,1909,1448,24,3
16aUPwiN,1404259200000,1392,1456,1424,10,1425,1898,1421,21,3
16aUPwiN,1404345600000,1414,1446,1440,10,1400,1903,1413,23,3
16aUPwiN,1404432000000,1394,1472,1439,10,1410,1911,1420,26,2
16aUPwiN,1404518400000,1375,1448,1414,10,1419,1931,1392,28,2
16aUPwiN,1404604800000,1384,1460,1394,10,1421,1954,1414,24,2
16aUPwiN,1404691200000,1358,1447,1366,10,1428,1961,1424,23,1
16aUPwiN,1404777600000,1364,1457,1356,10,1415,1982,1400,23,1
16aUPwiN,1404864000000,1374,1452,1333,10,1410,1959,1389,26,0
16aUPwiN,1404950400000,1368,1471,1316,10,1429,1978,1384,22,0
16aUPwiN,1405036800000,1390,1494,1332,10,1442,1957,1358,23,0
16aUPwiN,1405123200000,1387,1508,1342,10,1443,1970,1344,22,0
16aUPwiN,1405209600000,1415,1513,1319,10,1451,1989,1373,18,0
16aUPwiN,1405296000000,1390,1484,1320,10,1443,2017,1346,13,0
16aUPwiN,1405382400000,1405,1458,1317,10,1426,2021,1332,11,0
16aUPwiN,1405468800000,1400,1469,1310,10,1411,2028,1342,13,0
16aUPwiN,1405555200000,1408,1486,1323,10,1398,2012,1319,9,0
16aUPwiN,1405641600000,1423,1470,1348,10,1375,2000,1306,6,0
16aUPwiN,1405728000000,1407,1449,1347,10,1366,2021,1297,2,0
16aUPwiN,1405814400000,1423,1420,1344,10,1370,2021,1293,2,0
16aUPwiN,1405900800000,1422,1422,1315,10,1348,1997,1299,2,0
16aUPwiN,1405987200000,1419,1451,1311,10,1348,2010,1283,3,0
16aUPwiN,1406073600000,1427,1425,1309,10,1331,2017,1279,2,0
16aUPwiN,1406160000000,1428,1436,1294,10,1329,2026,1293,3,0
16aUPwiN,1406246400000,1423,1439,1314,10,1354,2019,1305,1,0
16aUPwiN,1406332800000,1413,1424,1304,10,1383,2033,1286,4,0
16aUPwiN,1406419200000,1383,1410,1291,10,1404,2013,1308,7,0
16aUPwiN,1406505600000,1362,1389,1275,10,1406,2028,1334,4,0
16aUPwiN,1406592000000,1364,1361,1258,10,1426,2041,1307,3,0
16aUPwiN,1406678400000,1350,1352,1255,10,1409,2046,1317,4,0
16aUPwiN,1406764800000,1337,1333,1278,10,1430,2053,1323,3,0
16aUPwiN,1406851200000,1357,1358,1283,10,1439,2066,1334,2,0
16aUPwiN,1406937600000,1331,1378,1289,10,1409,2036,1360,4,0
16aUPwiN,1407024000000,1341,1377,1275,10,1423,2054,1385,2,0
16aUPwiN,1407110400000,1362,1355,1285,10,1397,2039,1412,4,0
16aUPwiN,1407196800000,1385,1349,1310,10,1418,2018,1422,8,0
16aUPwiN,1407283200000,1406,1340,1324,10,1424,2005,1402,12,0
16aUPwiN,1407369600000,1417,1322,1329,10,1409,1995,1388,9,0
16aUPwiN,1407456000000,1387,1344,1311,10,1383,1968,1388,12,0
16aUPwiN,1407542400000,1363,1343,1310,10,1391,1986,1372,16,0
16aUPwiN,1407628800000,1363,1333,1310,10,1394,2008,1368,16,0
16aUPwiN,1407715200000,1367,1337,1295,10,1409,1996,1348,13,0
16aUPwiN,1407801600000,1368,1346,1316,10,1398,2023,1375,13,0
16aUPwiN,1407888000000,1369,1323,1327,10,1407,2039,1400,17,0
16aUPwiN,1407974400000,1352,1316,1317,10,1410,2036,1428,14,0
16aUPwiN,1408060800000,1331,1329,1308,10,1439,2016,1417,9,0
16aUPwiN,1408147200000,1323,1354,1281,10,1436,2000,1410,6,0
16aUPwiN,1408233600000,1298,1335,1286,10,1440,2018,1420,8,0
16aUPwiN,1408320000000,1315,1306,1266,10,1430,2047,1418,3,0
16aUPwiN,1408406400000,1332,1281,1288,10,1446,2076,1422,4,0
16aUPwiN,1408492800000,1303,1254,1281,10,1438,2086,1421,3,0
16aUPwiN,1408579200000,1283,1255,1283,10,1457,2075,1412,6,0
16aUPwiN,1408665600000,1301,1278,1303,10,1451,2078,1417,3,0
16aUPwiN,1408752000000,1276,1281,1283,10,1463,2096,1445,1,0
16aUPwiN,1408838400000,1270,1288,1306,10,1438,2116,1450,3,0
16aUPwiN,1408924800000,1248,1269,1334,10,1444,2119,1437,7,0
16aUPwiN,1409011200000,1252,1242,1330,10,1461,2134,1450,4,0
16aUPwiN,1409097600000,1249,1270,1303,10,1483,2146,1464,2,0
16aUPwiN,1409184000000,1254,1241,1281,10,1479,2130,1441,5,0
16aUPwiN,1409270400000,1259,1243,1294,10,1460,2140,1428,1,0
16aUPwiN,1409356800000,1257,1221,1318,10,1440,2160,1438,1,0
16aUPwiN,1409443200000,1239,1205,1317,10,1438,2135,1466,3,0
