user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
1Rftcydx,1396310400000,7,68,211,1,176,41,354,30,179
1Rftcydx,1396396800000,30,3,380,7,190,162,405,11,183
1Rftcydx,1396483200000,31,5,459,18,78,16,164,20,76
1Rftcydx,1396569600000,31,24,352,5,28,109,396,5,90
1Rftcydx,1396656000000,73,61,14,1,133,117,313,1,182
1Rftcydx,1396742400000,48,165,193,0,47,10,354,26,135
1Rftcydx,1396828800000,13,64,415,14,160,18,425,27,87
1Rftcydx,1396915200000,152,27,702,7,118,177,236,17,187
1Rftcydx,1397001600000,181,187,546,8,159,7,228,23,95
1Rftcydx,1397088000000,115,15,681,17,141,118,541,49,195
1Rftcydx,1397174400000,24,182,715,3,146,16,414,10,157
1Rftcydx,1397260800000,11,91,518,10,53,151,347,3,56
1Rftcydx,1397347200000,148,50,5,2,105,198,417,8,174
1Rftcydx,1397433600000,34,99,65,8,12,16,284,21,76
1Rftcydx,1397520000000,19,119,589,5,45,29,315,15,127
1Rftcydx,1397606400000,59,79,579,9,112,92,181,24,129
1Rftcydx,1397692800000,95,1,634,11,19,9,300,16,158
1Rftcydx,1397779200000,90,45,634,6,187,64,164,32,43
1Rftcydx,1397865600000,12,110,82,13,87,110,348,3,59
1Rftcydx,1397952000000,70,191,671,1,83,25,349,14,21
1Rftcydx,1398038400000,73,15,371,8,133,18,453,12,91
1Rftcydx,1398124800000,51,45,581,10,87,98,251,40,15
1Rftcydx,1398211200000,175,55,766,0,63,155,154,5,106
1Rftcydx,1398297600000,27,5,666,7,96,152,520,23,123
1Rftcydx,1398384000000,5,121,506,5,192,128,157,10,143
1Rftcydx,1398470400000,14,43,527,19,173,33,207,43,94
1Rftcydx,1398556800000,1,44,745,0,133,128,150,12,96
1Rftcydx,1398643200000,122,182,485,12,89,74,456,46,89
1Rftcydx,1398729600000,58,150,769,2,96,77,311,1,116
1Rftcydx,1398816000000,19,189,119,14,44,193,473,28,184
1Rftcydx,1398902400000,190,177,765,9,56,5,391,6,20
1Rftcydx,1398988800000,181,13,121,9,172,53,280,12,59
1Rftcydx,1399075200000,175,111,647,1,179,49,441,41,183
1Rftcydx,1399161600000,174,139,65,11,44,117,219,44,128
1Rftcydx,1399248000000,199,128,446,8,93,136,522,6,135
1Rftcydx,1399334400000,2,93,146,3,27,181,429,12,193
1Rftcydx,1399420800000,74,51,510,12,82,170,370,49,166
1Rftcydx,1399507200000,90,155,534,3,81,186,478,25,115
1Rftcydx,1399593600000,119,143,79,0,130,171,483,21,97
1Rftcydx,1399680000000,48,193,71,4,65,172,487,16,144
1Rftcydx,1399766400000,153,149,795,2,64,128,239,5,27
1Rftcydx,1399852800000,62,55,499,10,9,148,159,4,111
1Rftcydx,1399939200000,116,35,468,18,6,51,329,35,171
1Rftcydx,1400025600000,151,7,12,4,147,65,501,4,14
1Rftcydx,1400112000000,7,188,736,17,147,92,220,16,116
1Rftcydx,1400198400000,111,168,590,3,124,65,209,15,7
1Rftcydx,1400284800000,135,3,559,19,26,86,185,44,181
1Rftcydx,1400371200000,21,136,103,3,59,51,325,7,10
1Rftcydx,1400457600000,141,72,791,4,62,175,190,21,0
1Rftcydx,1400544000000,22,55,140,7,126,88,510,6,164
1Rftcydx,1400630400000,42,1,526,13,185,87,316,49,0
1Rftcydx,1400716800000,189,10,233,14,39,154,186,43,133
1Rftcydx,1400803200000,29,9,674,12,61,41,339,49,92
1Rftcydx,1400889600000,49,173,353,13,160,34,463,1,15
1Rftcydx,1400976000000,129,35,45,18,151,30,166,3,118
