user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
1oTxEzOq,1414800000000,1449,1461,1241,13,1449,2697,1448,22,1
1oTxEzOq,1414886400000,1446,1464,1216,13,1451,2701,1447,26,1
1oTxEzOq,1414972800000,1452,1459,1225,13,1431,2697,1444,30,1
1oTxEzOq,1415059200000,1450,1438,1208,13,1443,2675,1446,29,0
1oTxEzOq,1415145600000,1464,1444,1194,13,1427,2702,1450,33,0
1oTxEzOq,1415232000000,1452,1428,1190,13,1453,2718,1423,35,0
1oTxEzOq,1415318400000,1468,1411,1219,13,1433,2722,1413,37,0
1oTxEzOq,1415404800000,1487,1431,1242,13,1439,2729,1441,36,0
1oTxEzOq,1415491200000,1493,1422,1228,13,1434,2736,1470,40,0
1oTxEzOq,1415577600000,1498,1400,1203,13,1457,2751,1458,42,0
1oTxEzOq,1415664000000,1493,1402,1181,13,1439,2724,1484,43,0
1oTxEzOq,1415750400000,1464,1428,1194,13,1433,2730,1477,46,0
1oTxEzOq,1415836800000,1487,1433,1183,13,1457,2723,1451,50,0
1oTxEzOq,1415923200000,1482,1454,1206,13,1483,2721,1437,48,0
1oTxEzOq,1416009600000,1459,1438,1235,13,1458,2695,1447,51,0
1oTxEzOq,1416096000000,1436,1419,1241,13,1461,2703,1448,55,0
1oTxEzOq,1416182400000,1432,1416,1241,13,1461,2717,1476,55,0
1oTxEzOq,1416268800000,1402,1407,1268,13,1468,2687,1472,59,0
1oTxEzOq,1416355200000,1398,1429,1247,13,1458,2697,1488,61,0
1oTxEzOq,1416441600000,1427,1423,1248,13,1461,2709,1472,58,0
1oTxEzOq,1416528000000,1441,1405,1224,13,1467,2704,1485,53,0
1oTxEzOq,1416614400000,1453,1394,1203,13,1487,2680,1512,53,0
1oTxEzOq,1416700800000,1475,1368,1173,13,1506,2680,1488,51,0
1oTxEzOq,1416787200000,1448,1391,1143,13,1531,2694,1503,50,0
1oTxEzOq,1416873600000,1447,1395,1151,13,1548,2703,1473,51,0
1oTxEzOq,1416960000000,1446,1400,1162,13,1559,2692,1485,46,0
1oTxEzOq,1417046400000,1423,1406,1168,13,1539,2718,1483,44,0
1oTxEzOq,1417132800000,1424,1381,1161,13,1548,2712,1471,42,0
1oTxEzOq,1417219200000,1408,1398,1179,13,1561,2734,1491,42,0
1oTxEzOq,1417305600000,1405,1424,1204,13,1580,2707,1514,40,0
