user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
5jkmdacL,1391212800000,1654,1060,1786,11,1429,1420,1455,26,2
5jkmdacL,1391299200000,1647,1037,1784,11,1447,1437,1480,28,2
5jkmdacL,1391385600000,1632,1060,1770,11,1452,1459,1495,31,1
5jkmdacL,1391472000000,1632,1056,1796,11,1477,1466,1473,27,0
5jkmdacL,1391558400000,1643,1031,1824,11,1459,1449,1496,30,0
5jkmdacL,1391644800000,1647,1028,1843,11,1472,1463,1478,25,0
5jkmdacL,1391731200000,1629,1030,1864,11,1493,1447,1459,29,0
5jkmdacL,1391817600000,1636,1056,1847,11,1503,1443,1443,31,0
5jkmdacL,1391904000000,1620,1076,1843,11,1506,1458,1421,27,0
5jkmdacL,1391990400000,1600,1048,1859,11,1487,1470,1415,25,0
5jkmdacL,1392076800000,1629,1057,1864,11,1493,1445,1386,24,0
5jkmdacL,1392163200000,1635,1028,1893,11,1509,1462,1388,24,0
5jkmdacL,1392249600000,1631,1026,1883,11,1511,1478,1369,25,0
5jkmdacL,1392336000000,1621,1026,1872,11,1494,1473,1366,24,0
5jkmdacL,1392422400000,1622,1003,1847,11,1510,1474,1382,24,0
5jkmdacL,1392508800000,1596,1013,1864,11,1508,1488,1392,26,0
5jkmdacL,1392595200000,1613,1001,1877,11,1513,1467,1413,26,0
5jkmdacL,1392681600000,1607,986,1894,11,1531,1445,1437,24,0
5jkmdacL,1392768000000,1605,968,1922,11,1510,1472,1443,24,0
5jkmdacL,1392854400000,1599,947,1928,11,1528,1467,1472,22,0
5jkmdacL,1392940800000,1595,925,1900,11,1538,1495,1447,18,0
5jkmdacL,1393027200000,1621,933,1883,11,1527,1504,1426,19,0
5jkmdacL,1393113600000,1647,947,1855,11,1511,1482,1448,14,0
5jkmdacL,1393200000000,1636,975,1849,11,1504,1493,1445,15,0
5jkmdacL,1393286400000,1645,972,1865,11,1523,1501,1422,13,0
5jkmdacL,1393372800000,1668,996,1879,11,1544,1476,1396,17,0
5jkmdacL,1393459200000,1665,975,1899,11,1538,1478,1418,14,0
5jkmdacL,1393545600000,1675,970,1922,11,1509,1470,1420,18,0
5jkmdacL,1393632000000,1671,970,1912,11,1527,1477,1422,15,0
5jkmdacL,1393718400000,1674,970,1934,11,1552,1466,1397,19,0
5jkmdacL,1393804800000,1680,958,1962,11,1532,1443,1403,14,0
5jkmdacL,1393891200000,1653,965,1935,11,1531,1465,1403,15,0
5jkmdacL,1393977600000,1629,935,1960,11,1522,1464,1419,14,0
5jkmdacL,1394064000000,1623,928,1937,11,1539,1474,1397,18,0
5jkmdacL,1394150400000,1625,898,1914,11,1512,1457,1422,14,0
5jkmdacL,1394236800000,1647,916,1931,11,1508,1455,1440,13,0
5jkmdacL,1394323200000,1675,930,1905,11,1527,1469,1441,10,0
5jkmdacL,1394409600000,1704,927,1921,11,1556,1464,1430,13,0
5jkmdacL,1394496000000,1713,912,1939,11,1552,1440,1442,13,0
5jkmdacL,1394582400000,1732,891,1931,11,1545,1426,1425,14,0
5jkmdacL,1394668800000,1757,862,1952,11,1548,1416,1408,18,0
5jkmdacL,1394755200000,1762,866,1926,11,1538,1403,1389,14,0
5jkmdacL,1394841600000,1737,893,1928,11,1520,1389,1394,14,0
5jkmdacL,1394928000000,1753,899,1939,11,1497,1404,1371,12,0
5jkmdacL,1395014400000,1741,915,1946,11,1478,1383,1373,9,0
5jkmdacL,1395100800000,1725,916,1970,11,1499,1407,1400,8,0
5jkmdacL,1395187200000,1742,900,1990,11,1470,1427,1425,4,0
5jkmdacL,1395273600000,1765,900,2009,11,1447,1426,1453,8,0
5jkmdacL,1395360000000,1750,917,2005,11,1440,1435,1450,8,0
5jkmdacL,1395446400000,1746,887,1989,11,1428,1454,1422,11,0
5jkmdacL,1395532800000,1741,905,1963,11,1445,1450,1397,7,0
5jkmdacL,1395619200000,1714,914,1983,11,1448,1436,1420,7,0
5jkmdacL,1395705600000,1730,912,1972,11,1438,1432,1424,7,0
5jkmdacL,1395792000000,1736,909,1993,11,1419,1450,1442,4,0
5jkmdacL,1395878400000,1734,934,1991,11,1406,1449,1447,6,0
5jkmdacL,1395964800000,1722,936,1976,11,1399,1467,1475,8,0
5jkmdacL,1396051200000,1746,906,1960,11,1393,1479,1478,8,0
5jkmdacL,1396137600000,1765,896,1969,11,1388,1460,1465,3,0
