user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
5lau5j5h,1391212800000,60,47,81,5,112,41,404,34,39
5lau5j5h,1391299200000,26,138,453,10,129,189,302,1,69
5lau5j5h,1391385600000,170,192,517,9,52,163,436,19,96
5lau5j5h,1391472000000,55,10,278,0,84,24,459,9,127
5lau5j5h,1391558400000,199,179,322,13,0,113,496,8,139
5lau5j5h,1391644800000,71,50,281,10,50,78,271,31,13
5lau5j5h,1391731200000,161,141,769,18,105,71,510,48,39
5lau5j5h,1391817600000,20,91,547,10,139,109,242,24,145
5lau5j5h,1391904000000,164,91,797,11,56,39,509,11,175
5lau5j5h,1391990400000,176,197,318,16,115,60,430,42,178
5lau5j5h,1392076800000,102,195,601,9,63,39,401,0,160
5lau5j5h,1392163200000,46,159,383,8,142,27,445,1,48
5lau5j5h,1392249600000,151,88,67,6,193,58,320,23,115
5lau5j5h,1392336000000,8,103,755,0,150,170,518,12,105
5lau5j5h,1392422400000,198,171,730,7,73,51,374,26,122
5lau5j5h,1392508800000,6,80,301,7,42,170,265,35,152
5lau5j5h,1392595200000,178,187,144,17,68,20,474,17,180
5lau5j5h,1392681600000,136,87,618,13,127,65,395,10,31
5lau5j5h,1392768000000,72,74,483,9,156,135,457,12,188
5lau5j5h,1392854400000,21,64,20,0,35,162,209,30,134
5lau5j5h,1392940800000,86,154,664,16,122,113,501,47,146
5lau5j5h,1393027200000,54,139,132,18,61,198,304,28,94
5lau5j5h,1393113600000,194,127,44,6,131,44,533,23,109
5lau5j5h,1393200000000,123,191,664,8,23,21,321,24,171
5lau5j5h,1393286400000,1,52,796,19,169,100,449,23,41
5lau5j5h,1393372800000,191,14,110,3,185,106,356,49,195
5lau5j5h,1393459200000,189,193,668,12,25,152,527,21,45
5lau5j5h,1393545600000,173,181,19,3,28,8,201,27,14
5lau5j5h,1393632000000,83,151,560,0,53,126,489,30,126
5lau5j5h,1393718400000,147,98,323,13,144,131,349,41,128
5lau5j5h,1393804800000,90,69,230,1,131,13,231,29,36
5lau5j5h,1393891200000,135,79,627,5,163,95,506,42,100
5lau5j5h,1393977600000,24,103,41,4,90,196,200,0,64
5lau5j5h,1394064000000,10,37,515,8,180,131,499,10,39
5lau5j5h,1394150400000,79,175,30,19,97,196,276,6,13
5lau5j5h,1394236800000,60,123,387,7,89,95,173,10,108
5lau5j5h,1394323200000,48,152,652,0,46,115,478,2,106
5lau5j5h,1394409600000,108,39,405,14,196,135,210,9,154
5lau5j5h,1394496000000,129,120,564,11,100,68,184,18,68
5lau5j5h,1394582400000,90,176,639,3,197,1,269,5,158
5lau5j5h,1394668800000,1,88,300,12,14,14,163,15,148
5lau5j5h,1394755200000,109,188,348,9,137,9,488,24,132
5lau5j5h,1394841600000,120,9,140,9,187,79,218,21,188
5lau5j5h,1394928000000,2,109,251,1,20,10,527,2,11
5lau5j5h,1395014400000,35,62,10,12,182,7,465,8,71
5lau5j5h,1395100800000,177,70,647,4,138,157,377,43,163
5lau5j5h,1395187200000,12,12,88,3,152,86,218,31,189
