user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
7jh9D8aB,1391212800000,29,75,743,4,9,165,537,46,14
7jh9D8aB,1391299200000,124,104,298,9,41,20,548,17,186
7jh9D8aB,1391385600000,51,70,100,19,69,100,221,43,142
7jh9D8aB,1391472000000,134,43,677,16,35,50,293,13,63
7jh9D8aB,1391558400000,79,10,562,11,115,199,403,4,156
7jh9D8aB,1391644800000,54,185,489,13,6,164,505,31,106
7jh9D8aB,1391731200000,21,86,481,11,156,135,517,14,25
7jh9D8aB,1391817600000,115,4,763,10,154,149,464,26,25
7jh9D8aB,1391904000000,160,148,171,12,59,143,233,26,114
7jh9D8aB,1391990400000,79,64,375,15,122,44,477,3,80
7jh9D8aB,1392076800000,178,20,571,11,162,138,384,49,191
7jh9D8aB,1392163200000,27,73,218,16,124,116,313,48,47
7jh9D8aB,1392249600000,37,33,47,0,66,166,198,1,119
7jh9D8aB,1392336000000,127,126,767,2,142,80,197,26,71
7jh9D8aB,1392422400000,152,29,551,19,113,193,329,46,187
7jh9D8aB,1392508800000,19,42,296,9,178,170,517,29,130
7jh9D8aB,1392595200000,169,2,195,5,89,117,222,17,63
7jh9D8aB,1392681600000,148,125,572,9,9,151,274,28,7
7jh9D8aB,1392768000000,8,171,16,13,38,97,277,19,73
7jh9D8aB,1392854400000,0,182,646,14,140,98,398,35,151
7jh9D8aB,1392940800000,8,82,434,13,186,53,261,21,1
7jh9D8aB,1393027200000,181,80,614,0,51,75,441,3,79
7jh9D8aB,1393113600000,138,136,64,9,19,42,305,15,64
7jh9D8aB,1393200000000,150,72,607,3,75,146,441,18,165
7jh9D8aB,1393286400000,114,103,110,5,15,44,295,3,172
7jh9D8aB,1393372800000,32,120,269,18,179,140,484,29,185
7jh9D8aB,1393459200000,109,102,128,17,92,117,460,28,162
7jh9D8aB,1393545600000,193,196,560,13,117,107,322,49,6
7jh9D8aB,1393632000000,175,162,648,15,66,100,456,4,171
7jh9D8aB,1393718400000,156,31,741,11,130,34,373,32,132
7jh9D8aB,1393804800000,15,62,779,3,70,50,211,12,94
7jh9D8aB,1393891200000,26,135,64,15,132,115,451,6,122
7jh9D8aB,1393977600000,28,48,149,0,15,173,319,28,54
7jh9D8aB,1394064000000,159,60,234,15,34,153,435,5,135
7jh9D8aB,1394150400000,110,192,399,8,151,5,309,18,25
7jh9D8aB,1394236800000,9,78,298,18,18,93,490,47,46
7jh9D8aB,1394323200000,144,134,272,2,114,109,426,38,37
7jh9D8aB,1394409600000,113,178,734,10,157,151,259,21,41
7jh9D8aB,1394496000000,110,86,781,0,173,187,529,23,25
7jh9D8aB,1394582400000,35,69,654,12,25,65,244,23,174
7jh9D8aB,1394668800000,101,39,245,5,118,188,510,12,9
7jh9D8aB,1394755200000,47,157,358,0,43,68,357,4,156
7jh9D8aB,1394841600000,21,42,640,17,119,62,255,20,55
7jh9D8aB,1394928000000,100,89,138,13,156,170,352,20,125
7jh9D8aB,1395014400000,117,188,752,6,2,162,164,37,148
7jh9D8aB,1395100800000,18,151,130,11,157,70,276,14,192
7jh9D8aB,1395187200000,148,134,798,13,150,79,358,47,161
7jh9D8aB,1395273600000,32,13,193,17,164,109,402,33,98
7jh9D8aB,1395360000000,196,85,688,11,110,159,322,44,118
7jh9D8aB,1395446400000,76,186,793,12,198,96,419,37,149
7jh9D8aB,1395532800000,17,90,18,9,161,158,335,2,130
7jh9D8aB,1395619200000,169,161,472,6,85,17,364,9,186
7jh9D8aB,1395705600000,10,65,129,1,140,5,431,12,28
7jh9D8aB,1395792000000,4,102,556,8,67,60,310,42,155
7jh9D8aB,1395878400000,189,42,481,9,143,157,205,14,35
7jh9D8aB,1395964800000,197,99,631,7,198,12,403,16,59
7jh9D8aB,1396051200000,120,98,775,11,189,112,430,5,82
7jh9D8aB,1396137600000,99,77,696,18,53,71,273,48,78
7jh9D8aB,1396224000000,2,30,342,14,182,74,200,45,79
7jh9D8aB,1396310400000,16,70,635,10,40,165,276,32,80
7jh9D8aB,1396396800000,140,50,691,10,34,127,373,20,17
7jh9D8aB,1396483200000,167,161,92,18,90,161,352,31,30
7jh9D8aB,1396569600000,130,93,496,16,11,163,415,21,80
7jh9D8aB,1396656000000,50,158,423,14,175,140,501,34,66
7jh9D8aB,1396742400000,110,161,576,16,61,97,439,43,150
7jh9D8aB,1396828800000,4,44,220,18,84,192,355,29,9
7jh9D8aB,1396915200000,155,96,767,7,198,5,191,29,193
7jh9D8aB,1397001600000,150,37,463,18,58,12,231,11,105
7jh9D8aB,1397088000000,190,26,370,7,49,40,177,43,62
7jh9D8aB,1397174400000,26,39,747,2,81,73,443,46,129
7jh9D8aB,1397260800000,180,127,71,11,143,133,525,17,185
7jh9D8aB,1397347200000,149,94,746,17,121,94,401,42,84
7jh9D8aB,1397433600000,48,36,699,0,10,67,183,24,69
7jh9D8aB,1397520000000,164,35,371,15,104,17,305,29,133
7jh9D8aB,1397606400000,49,114,53,15,55,150,425,1,36
7jh9D8aB,1397692800000,121,59,66,18,164,115,474,10,62
7jh9D8aB,1397779200000,168,78,455,13,139,100,331,49,42
7jh9D8aB,1397865600000,9,139,608,19,169,14,348,5,196
7jh9D8aB,1397952000000,160,121,664,14,154,188,530,19,1
7jh9D8aB,1398038400000,59,51,344,4,38,180,171,45,50
7jh9D8aB,1398124800000,175,66,766,8,131,137,255,27,96
7jh9D8aB,1398211200000,168,137,377,6,192,151,383,29,199
7jh9D8aB,1398297600000,48,77,355,1,186,168,498,47,96
7jh9D8aB,1398384000000,177,92,679,19,53,91,356,42,86
7jh9D8aB,1398470400000,168,44,57,7,146,64,338,39,72
7jh9D8aB,1398556800000,189,61,773,17,46,18,492,45,38
7jh9D8aB,1398643200000,119,61,199,3,196,167,320,34,181
7jh9D8aB,1398729600000,11,119,365,15,190,104,532,40,55
7jh9D8aB,1398816000000,100,73,705,8,175,43,243,13,116
