user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
7xxZfhcu,1396310400000,148,153,5,11,67,33,311,16,54
7xxZfhcu,1396396800000,14,72,639,13,83,71,384,32,179
7xxZfhcu,1396483200000,135,132,401,16,47,177,193,15,152
7xxZfhcu,1396569600000,167,81,340,15,132,178,308,12,34
7xxZfhcu,1396656000000,93,31,183,17,92,110,173,30,138
7xxZfhcu,1396742400000,191,54,565,3,192,147,465,14,26
7xxZfhcu,1396828800000,6,65,532,2,152,199,501,27,82
7xxZfhcu,1396915200000,19,4,545,4,3,45,459,33,84
7xxZfhcu,1397001600000,134,15,479,3,11,174,209,10,91
7xxZfhcu,1397088000000,136,34,476,18,126,50,340,5,79
7xxZfhcu,1397174400000,151,108,408,7,146,125,357,49,124
7xxZfhcu,1397260800000,39,61,521,19,93,25,392,23,67
7xxZfhcu,1397347200000,15,93,741,19,116,20,271,44,83
7xxZfhcu,1397433600000,166,146,280,8,75,82,170,45,158
7xxZfhcu,1397520000000,49,180,284,13,119,155,249,11,12
7xxZfhcu,1397606400000,155,65,426,11,99,20,178,32,128
7xxZfhcu,1397692800000,163,196,160,11,93,150,453,35,149
7xxZfhcu,1397779200000,3,159,658,17,198,42,464,38,107
7xxZfhcu,1397865600000,171,32,724,5,139,70,277,14,161
7xxZfhcu,1397952000000,4,97,537,5,118,67,308,35,40
7xxZfhcu,1398038400000,42,125,342,1,119,132,155,23,127
7xxZfhcu,1398124800000,40,94,398,2,129,147,451,6,147
7xxZfhcu,1398211200000,188,118,84,2,141,193,486,37,108
7xxZfhcu,1398297600000,41,53,505,15,155,190,474,10,19
7xxZfhcu,1398384000000,128,4,42,15,19,134,406,47,26
7xxZfhcu,1398470400000,61,131,687,13,133,174,448,20,47
7xxZfhcu,1398556800000,96,14,443,6,101,70,544,16,191
7xxZfhcu,1398643200000,139,45,758,15,9,85,280,44,136
7xxZfhcu,1398729600000,108,177,361,8,43,65,468,41,89
7xxZfhcu,1398816000000,126,104,466,12,6,47,522,26,103
