user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
9erW6g7O,1401580800000,56,161,318,17,106,104,271,15,66
9erW6g7O,1401667200000,62,96,511,19,40,106,514,14,122
9erW6g7O,1401753600000,36,169,756,12,161,135,460,44,114
9erW6g7O,1401840000000,146,0,130,17,115,98,381,41,193
9erW6g7O,1401926400000,3,82,664,0,176,12,493,34,25
9erW6g7O,1402012800000,123,24,138,15,194,144,480,4,14
9erW6g7O,1402099200000,110,110,27,16,70,194,190,12,168
9erW6g7O,1402185600000,177,178,415,3,176,17,174,28,172
9erW6g7O,1402272000000,3,151,504,8,58,11,330,1,40
9erW6g7O,1402358400000,167,98,370,10,30,55,328,47,26
9erW6g7O,1402444800000,169,63,210,6,23,118,522,44,188
9erW6g7O,1402531200000,57,161,319,8,121,117,463,4,115
9erW6g7O,1402617600000,166,155,154,17,131,180,409,1,43
9erW6g7O,1402704000000,149,95,498,6,59,124,477,2,147
9erW6g7O,1402790400000,126,35,24,4,75,86,545,36,55
9erW6g7O,1402876800000,113,125,484,10,105,120,362,44,187
9erW6g7O,1402963200000,196,130,56,8,35,156,284,13,61
9erW6g7O,1403049600000,53,38,297,4,157,176,433,3,174
9erW6g7O,1403136000000,91,162,549,12,98,192,520,47,38
9erW6g7O,1403222400000,65,95,58,7,86,57,199,16,192
9erW6g7O,1403308800000,194,56,215,1,47,138,173,4,99
9erW6g7O,1403395200000,72,104,784,1,10,187,173,48,28
9erW6g7O,1403481600000,98,121,628,5,84,53,233,43,120
9erW6g7O,1403568000000,123,162,739,19,76,132,417,34,187
9erW6g7O,1403654400000,84,107,20,17,86,154,215,44,62
9erW6g7O,1403740800000,171,147,89,18,37,136,500,3,106
9erW6g7O,1403827200000,24,118,382,2,76,79,172,25,189
9erW6g7O,1403913600000,34,183,223,0,45,74,501,37,60
9erW6g7O,1404000000000,130,177,404,0,69,140,380,31,177
9erW6g7O,1404086400000,48,118,684,10,191,81,331,10,196
9erW6g7O,1404172800000,165,13,74,13,86,12,314,9,1
9erW6g7O,1404259200000,184,35,10,11,133,58,343,31,131
9erW6g7O,1404345600000,129,193,645,12,5,50,260,40,58
9erW6g7O,1404432000000,88,112,114,3,196,137,270,10,58
9erW6g7O,1404518400000,152,166,359,5,38,45,226,38,96
9erW6g7O,1404604800000,72,140,685,13,135,55,494,28,69
9erW6g7O,1404691200000,4,162,785,17,131,184,235,27,161
9erW6g7O,1404777600000,175,19,318,14,97,140,280,42,94
9erW6g7O,1404864000000,145,83,763,2,116,91,296,34,92
9erW6g7O,1404950400000,30,170,482,2,117,23,386,0,193
9erW6g7O,1405036800000,34,16,597,17,39,112,361,40,22
9erW6g7O,1405123200000,139,186,597,1,67,75,495,16,186
9erW6g7O,1405209600000,101,110,105,2,180,169,470,39,95
9erW6g7O,1405296000000,175,72,3,18,199,179,269,0,132
9erW6g7O,1405382400000,103,61,4,16,74,59,464,9,136
9erW6g7O,1405468800000,172,161,297,19,29,54,495,31,40
9erW6g7O,1405555200000,10,27,654,0,62,55,198,6,174
9erW6g7O,1405641600000,58,190,697,3,179,111,260,28,139
9erW6g7O,1405728000000,117,71,203,7,158,103,190,36,181
9erW6g7O,1405814400000,9,68,467,19,78,168,200,29,161
9erW6g7O,1405900800000,1,50,680,17,59,61,271,23,24
9erW6g7O,1405987200000,117,104,180,19,149,159,408,11,168
9erW6g7O,1406073600000,29,104,425,10,107,167,520,22,156
9erW6g7O,1406160000000,97,172,24,16,153,12,483,4,92
9erW6g7O,1406246400000,164,105,641,15,108,88,202,25,138
9erW6g7O,1406332800000,192,24,729,19,193,32,326,29,39
9erW6g7O,1406419200000,149,99,425,12,39,143,341,39,70
9erW6g7O,1406505600000,182,143,5,14,192,76,431,23,121
9erW6g7O,1406592000000,182,166,735,6,13,142,183,18,181
9erW6g7O,1406678400000,144,63,743,5,78,68,488,38,152
9erW6g7O,1406764800000,100,21,124,19,155,73,467,19,92
9erW6g7O,1406851200000,75,128,193,1,176,55,160,41,40
9erW6g7O,1406937600000,164,151,173,10,111,73,470,41,115
9erW6g7O,1407024000000,96,141,702,8,70,152,181,2,160
9erW6g7O,1407110400000,12,44,673,2,139,140,404,46,170
9erW6g7O,1407196800000,55,93,520,0,130,148,351,46,22
9erW6g7O,1407283200000,165,97,307,8,58,78,442,16,155
9erW6g7O,1407369600000,66,149,251,16,148,116,432,24,18
9erW6g7O,1407456000000,76,81,539,16,121,164,366,20,178
9erW6g7O,1407542400000,58,131,394,12,83,93,261,27,197
9erW6g7O,1407628800000,6,133,764,10,9,184,208,43,149
9erW6g7O,1407715200000,177,63,441,1,38,77,181,24,116
9erW6g7O,1407801600000,197,178,349,1,110,195,408,7,195
9erW6g7O,1407888000000,157,171,70,18,134,99,462,49,88
9erW6g7O,1407974400000,70,145,14,10,16,198,288,32,93
9erW6g7O,1408060800000,24,189,281,12,129,1,313,46,130
9erW6g7O,1408147200000,43,66,390,16,127,77,529,9,162
9erW6g7O,1408233600000,83,199,565,4,11,135,176,24,94
9erW6g7O,1408320000000,115,105,453,18,57,48,335,4,20
9erW6g7O,1408406400000,35,169,224,15,186,23,339,19,195
9erW6g7O,1408492800000,1,40,445,15,36,68,246,36,130
9erW6g7O,1408579200000,178,40,471,13,197,76,186,33,103
9erW6g7O,1408665600000,34,145,391,16,63,172,514,6,44
9erW6g7O,1408752000000,26,113,791,19,145,78,287,40,75
9erW6g7O,1408838400000,150,53,272,9,25,177,488,4,176
9erW6g7O,1408924800000,149,16,10,8,25,87,539,49,62
9erW6g7O,1409011200000,36,29,65,4,115,182,261,9,70
9erW6g7O,1409097600000,117,62,421,18,39,75,350,5,69
9erW6g7O,1409184000000,143,89,69,13,25,14,179,11,196
9erW6g7O,1409270400000,134,188,210,17,136,103,412,14,132
9erW6g7O,1409356800000,46,116,736,11,167,93,202,42,42
9erW6g7O,1409443200000,7,135,725,10,174,80,462,0,187
9erW6g7O,1409529600000,143,116,105,9,174,41,233,33,143
9erW6g7O,1409616000000,80,145,714,5,184,158,375,47,112
9erW6g7O,1409702400000,83,187,723,16,48,57,528,9,131
9erW6g7O,1409788800000,144,197,387,11,159,54,162,12,96
9erW6g7O,1409875200000,147,2,634,4,157,155,420,8,143
9erW6g7O,1409961600000,88,105,98,14,107,168,430,23,133
9erW6g7O,1410048000000,86,41,204,8,93,134,244,18,62
9erW6g7O,1410134400000,29,178,349,14,171,139,165,44,53
9erW6g7O,1410220800000,61,128,672,16,69,131,169,16,133
9erW6g7O,1410307200000,0,159,293,16,137,147,329,42,193
9erW6g7O,1410393600000,54,187,265,10,182,6,400,21,99
9erW6g7O,1410480000000,150,153,406,4,44,194,252,35,111
9erW6g7O,1410566400000,131,31,190,5,20,21,299,22,148
9erW6g7O,1410652800000,44,131,690,16,54,35,445,25,134
9erW6g7O,1410739200000,91,194,109,17,148,16,396,41,20
9erW6g7O,1410825600000,77,135,387,9,61,124,224,21,121
9erW6g7O,1410912000000,166,74,627,12,100,111,340,25,172
9erW6g7O,1410998400000,86,174,88,19,146,130,380,33,132
9erW6g7O,1411084800000,139,177,424,14,183,27,375,10,168
9erW6g7O,1411171200000,1,146,242,16,16,65,427,15,33
9erW6g7O,1411257600000,34,43,610,18,119,116,415,48,16
9erW6g7O,1411344000000,131,79,289,5,198,152,531,31,134
9erW6g7O,1411430400000,124,70,197,1,50,173,273,17,50
9erW6g7O,1411516800000,145,4,437,11,167,168,338,5,149
9erW6g7O,1411603200000,161,149,588,8,149,100,385,43,32
9erW6g7O,1411689600000,109,162,545,8,86,133,162,17,42
9erW6g7O,1411776000000,55,157,18,13,187,190,507,24,166
9erW6g7O,1411862400000,150,51,90,1,67,23,507,33,66
9erW6g7O,1411948800000,21,150,134,19,100,36,473,11,64
9erW6g7O,1412035200000,10,23,187,4,141,44,170,34,121
9erW6g7O,1412121600000,168,8,217,18,188,137,426,23,122
9erW6g7O,1412208000000,192,178,153,5,28,84,521,22,120
9erW6g7O,1412294400000,64,158,506,17,189,193,153,11,4
9erW6g7O,1412380800000,154,15,210,6,4,3,504,45,4
9erW6g7O,1412467200000,23,117,8,13,51,199,292,30,94
9erW6g7O,1412553600000,183,53,303,12,67,139,315,7,135
9erW6g7O,1412640000000,13,78,776,17,178,108,406,26,86
9erW6g7O,1412726400000,98,62,742,6,199,42,267,2,35
9erW6g7O,1412812800000,29,95,774,13,153,136,523,19,139
9erW6g7O,1412899200000,150,43,458,11,54,43,530,4,67
9erW6g7O,1412985600000,104,190,730,18,99,72,260,20,78
9erW6g7O,1413072000000,119,38,454,4,102,175,503,3,102
9erW6g7O,1413158400000,122,191,72,9,66,126,418,45,19
9erW6g7O,1413244800000,14,76,470,0,185,177,525,38,31
9erW6g7O,1413331200000,166,48,290,16,5,164,485,16,71
9erW6g7O,1413417600000,62,154,137,15,45,50,388,35,5
9erW6g7O,1413504000000,67,121,790,0,111,126,153,35,83
9erW6g7O,1413590400000,60,52,677,16,95,121,436,17,119
9erW6g7O,1413676800000,89,183,559,2,157,117,307,2,24
9erW6g7O,1413763200000,68,147,674,4,11,31,540,22,127
9erW6g7O,1413849600000,145,48,149,10,83,172,343,5,126
9erW6g7O,1413936000000,185,25,218,0,38,77,393,15,199
9erW6g7O,1414022400000,149,44,206,10,70,131,228,31,182
9erW6g7O,1414108800000,67,132,650,2,168,109,486,8,161
9erW6g7O,1414195200000,130,80,353,2,7,149,296,26,31
9erW6g7O,1414281600000,33,134,463,13,61,187,454,42,132
9erW6g7O,1414368000000,135,55,282,3,132,141,241,15,117
9erW6g7O,1414454400000,166,145,85,1,128,55,163,43,112
9erW6g7O,1414540800000,167,12,620,14,109,147,177,10,178
9erW6g7O,1414627200000,26,76,331,17,127,19,523,15,155
9erW6g7O,1414713600000,152,130,33,7,160,138,385,43,171
9erW6g7O,1414800000000,132,76,252,6,120,139,484,15,55
9erW6g7O,1414886400000,121,91,276,11,54,140,370,16,130
9erW6g7O,1414972800000,2,108,398,12,165,29,205,31,97
9erW6g7O,1415059200000,80,109,118,13,116,81,385,34,82
9erW6g7O,1415145600000,149,59,31,14,190,194,237,29,141
9erW6g7O,1415232000000,80,33,550,2,15,53,252,40,77
9erW6g7O,1415318400000,46,156,552,14,149,15,500,22,160
9erW6g7O,1415404800000,168,194,734,2,88,136,435,5,24
9erW6g7O,1415491200000,179,87,366,15,189,136,384,21,109
9erW6g7O,1415577600000,76,115,348,14,11,175,283,35,43
9erW6g7O,1415664000000,54,59,139,3,34,104,508,46,0
9erW6g7O,1415750400000,199,94,61,11,143,32,205,30,116
9erW6g7O,1415836800000,170,3,153,13,142,100,493,5,65
9erW6g7O,1415923200000,195,101,71,1,117,153,247,38,91
9erW6g7O,1416009600000,183,153,246,0,67,12,537,23,36
9erW6g7O,1416096000000,179,80,784,17,101,18,459,44,117
9erW6g7O,1416182400000,30,108,25,5,131,100,446,6,196
9erW6g7O,1416268800000,70,77,14,19,191,181,233,15,49
9erW6g7O,1416355200000,22,47,398,2,156,104,479,16,25
9erW6g7O,1416441600000,24,137,13,19,26,86,359,28,52
9erW6g7O,1416528000000,67,52,338,13,186,190,467,3,81
9erW6g7O,1416614400000,46,131,354,12,169,195,259,38,138
9erW6g7O,1416700800000,7,86,313,18,31,139,356,47,46
9erW6g7O,1416787200000,101,181,294,5,83,140,428,7,186
9erW6g7O,1416873600000,38,147,437,18,124,61,330,38,100
9erW6g7O,1416960000000,135,29,640,1,11,197,259,13,19
9erW6g7O,1417046400000,33,195,24,12,8,14,445,7,65
9erW6g7O,1417132800000,186,12,639,2,150,57,284,33,25
9erW6g7O,1417219200000,194,101,565,2,164,86,371,18,124
9erW6g7O,1417305600000,24,199,406,11,27,95,271,12,175
