user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
DIfqbw6x,1388534400000,137,193,80,1,37,104,523,10,7
DIfqbw6x,1388620800000,66,133,100,14,112,166,296,27,159
DIfqbw6x,1388707200000,151,176,399,15,131,117,459,0,120
DIfqbw6x,1388793600000,26,49,459,12,188,162,177,6,5
DIfqbw6x,1388880000000,17,17,557,15,113,55,354,2,70
DIfqbw6x,1388966400000,42,124,381,8,146,66,486,21,171
DIfqbw6x,1389052800000,43,34,146,11,46,143,395,32,171
DIfqbw6x,1389139200000,149,100,409,0,147,36,406,17,145
DIfqbw6x,1389225600000,110,42,578,12,168,175,406,7,197
DIfqbw6x,1389312000000,90,165,745,8,140,16,170,29,48
DIfqbw6x,1389398400000,2,80,458,5,23,87,448,14,187
DIfqbw6x,1389484800000,13,111,481,12,165,197,349,36,155
DIfqbw6x,1389571200000,132,51,376,14,15,60,409,15,138
DIfqbw6x,1389657600000,51,127,549,8,46,129,528,26,190
DIfqbw6x,1389744000000,64,98,723,17,17,76,486,2,161
DIfqbw6x,1389830400000,33,190,742,14,59,79,484,37,105
DIfqbw6x,1389916800000,35,112,578,19,91,79,356,12,90
DIfqbw6x,1390003200000,138,56,621,5,65,102,216,0,22
DIfqbw6x,1390089600000,42,51,660,6,145,190,365,41,113
DIfqbw6x,1390176000000,94,185,439,17,94,198,394,48,120
DIfqbw6x,1390262400000,156,125,714,9,119,192,356,42,80
DIfqbw6x,1390348800000,172,133,328,6,150,23,333,16,175
DIfqbw6x,1390435200000,48,94,757,8,184,37,485,33,184
DIfqbw6x,1390521600000,57,21,288,1,111,102,183,48,155
DIfqbw6x,1390608000000,82,10,562,15,136,184,454,1,54
DIfqbw6x,1390694400000,166,103,74,5,59,165,282,45,86
DIfqbw6x,1390780800000,139,28,88,19,170,145,531,47,54
DIfqbw6x,1390867200000,62,104,559,13,113,95,316,23,42
DIfqbw6x,1390953600000,199,5,75,1,72,108,209,4,23
DIfqbw6x,1391040000000,146,89,741,6,6,137,304,1,16
DIfqbw6x,1391126400000,186,20,15,12,171,186,232,34,165
DIfqbw6x,1391212800000,180,44,729,10,106,66,300,41,121
DIfqbw6x,1391299200000,128,57,74,17,76,82,425,8,21
DIfqbw6x,1391385600000,171,96,36,6,46,87,192,14,5
DIfqbw6x,1391472000000,81,188,165,5,28,58,509,3,115
DIfqbw6x,1391558400000,129,17,510,16,90,45,542,19,71
DIfqbw6x,1391644800000,114,105,108,9,87,86,398,18,146
DIfqbw6x,1391731200000,9,118,654,19,99,123,308,20,131
DIfqbw6x,1391817600000,186,168,706,10,170,36,394,48,149
DIfqbw6x,1391904000000,100,26,479,17,9,49,261,49,187
DIfqbw6x,1391990400000,7,154,0,18,86,151,443,1,82
DIfqbw6x,1392076800000,166,46,138,2,24,156,379,8,188
DIfqbw6x,1392163200000,76,167,16,5,45,13,294,49,56
DIfqbw6x,1392249600000,116,83,194,19,183,171,252,26,46
DIfqbw6x,1392336000000,38,115,626,14,68,42,266,28,148
DIfqbw6x,1392422400000,129,109,41,3,142,182,165,11,141
DIfqbw6x,1392508800000,119,111,181,18,111,76,199,47,76
DIfqbw6x,1392595200000,131,197,600,1,72,84,294,45,193
DIfqbw6x,1392681600000,61,68,465,2,36,106,399,10,134
DIfqbw6x,1392768000000,91,182,654,5,112,125,309,46,92
DIfqbw6x,1392854400000,101,120,249,14,113,63,457,48,101
DIfqbw6x,1392940800000,10,126,402,9,169,75,519,18,130
DIfqbw6x,1393027200000,30,76,342,10,32,81,491,46,152
DIfqbw6x,1393113600000,29,117,149,8,71,117,285,47,144
DIfqbw6x,1393200000000,96,38,159,1,52,189,187,4,57
DIfqbw6x,1393286400000,163,19,252,6,127,45,277,8,36
DIfqbw6x,1393372800000,62,30,591,5,174,28,378,5,73
DIfqbw6x,1393459200000,3,7,49,7,77,115,222,28,119
DIfqbw6x,1393545600000,178,17,623,5,171,43,433,23,167
DIfqbw6x,1393632000000,144,79,342,16,192,152,412,44,96
DIfqbw6x,1393718400000,38,22,52,12,134,99,232,16,172
DIfqbw6x,1393804800000,183,188,419,7,100,198,419,25,191
DIfqbw6x,1393891200000,60,17,457,2,77,118,461,24,92
DIfqbw6x,1393977600000,171,24,390,19,164,25,261,37,68
DIfqbw6x,1394064000000,176,159,127,13,125,30,417,38,81
DIfqbw6x,1394150400000,114,75,70,8,137,31,217,44,31
DIfqbw6x,1394236800000,63,1,486,18,118,55,249,15,68
DIfqbw6x,1394323200000,70,84,425,11,44,18,324,25,191
DIfqbw6x,1394409600000,154,132,375,0,41,8,339,7,112
DIfqbw6x,1394496000000,158,118,187,13,84,157,210,23,12
DIfqbw6x,1394582400000,17,73,606,12,80,53,537,36,3
DIfqbw6x,1394668800000,195,3,198,10,115,145,178,28,80
DIfqbw6x,1394755200000,132,89,791,11,181,153,498,29,192
DIfqbw6x,1394841600000,106,198,143,16,95,15,408,39,162
DIfqbw6x,1394928000000,118,113,664,3,157,145,274,22,86
DIfqbw6x,1395014400000,75,169,529,16,151,186,451,40,178
DIfqbw6x,1395100800000,93,191,4,18,32,20,410,2,124
DIfqbw6x,1395187200000,164,47,658,0,52,60,515,28,96
DIfqbw6x,1395273600000,96,187,129,18,21,94,265,9,28
DIfqbw6x,1395360000000,138,109,575,2,38,144,324,35,53
DIfqbw6x,1395446400000,181,34,557,12,92,150,263,45,0
DIfqbw6x,1395532800000,195,38,622,15,96,144,375,5,150
DIfqbw6x,1395619200000,164,99,66,19,193,147,485,25,196
DIfqbw6x,1395705600000,127,64,130,12,67,184,510,13,179
DIfqbw6x,1395792000000,139,24,576,12,98,54,433,41,172
DIfqbw6x,1395878400000,118,95,375,2,30,74,162,26,62
DIfqbw6x,1395964800000,67,175,454,11,136,163,538,18,134
DIfqbw6x,1396051200000,13,49,376,18,139,192,330,42,172
DIfqbw6x,1396137600000,86,154,694,10,26,57,385,5,177
DIfqbw6x,1396224000000,71,87,245,15,176,178,241,40,160
DIfqbw6x,1396310400000,185,116,507,4,164,79,430,14,23
DIfqbw6x,1396396800000,82,183,522,0,142,169,410,15,24
DIfqbw6x,1396483200000,13,181,500,8,105,6,216,6,154
DIfqbw6x,1396569600000,154,58,50,2,152,172,155,46,150
DIfqbw6x,1396656000000,199,62,448,7,177,17,235,48,13
DIfqbw6x,1396742400000,89,27,95,10,120,172,411,45,193
DIfqbw6x,1396828800000,53,158,8,2,37,95,483,0,171
DIfqbw6x,1396915200000,95,103,555,17,180,52,197,27,39
DIfqbw6x,1397001600000,174,151,598,4,44,182,388,9,100
