user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
DLZpaJGe,1409529600000,1830,2550,1451,12,1450,1437,1105,16,3
DLZpaJGe,1409616000000,1803,2545,1439,12,1458,1433,1126,13,2
DLZpaJGe,1409702400000,1811,2519,1417,12,1455,1408,1096,11,1
DLZpaJGe,1409788800000,1805,2533,1407,12,1446,1424,1092,8,0
DLZpaJGe,1409875200000,1801,2527,1383,12,1445,1402,1092,8,0
DLZpaJGe,1409961600000,1772,2522,1396,12,1451,1425,1081,9,0
DLZpaJGe,1410048000000,1789,2544,1409,12,1471,1418,1092,12,0
DLZpaJGe,1410134400000,1796,2541,1379,12,1449,1405,1104,11,0
DLZpaJGe,1410220800000,1808,2523,1376,12,1423,1407,1081,15,0
DLZpaJGe,1410307200000,1782,2551,1346,12,1448,1404,1068,16,0
DLZpaJGe,1410393600000,1796,2538,1350,12,1432,1410,1054,16,0
DLZpaJGe,1410480000000,1815,2546,1359,12,1458,1401,1065,14,0
DLZpaJGe,1410566400000,1811,2517,1378,12,1455,1421,1037,13,0
DLZpaJGe,1410652800000,1825,2516,1397,12,1481,1417,1026,10,0
DLZpaJGe,1410739200000,1845,2502,1403,12,1466,1396,1022,8,0
DLZpaJGe,1410825600000,1874,2493,1379,12,1486,1416,1045,12,0
DLZpaJGe,1410912000000,1844,2480,1399,12,1473,1441,1055,8,0
DLZpaJGe,1410998400000,1837,2451,1396,12,1492,1430,1033,8,0
DLZpaJGe,1411084800000,1860,2424,1406,12,1490,1433,1006,9,0
DLZpaJGe,1411171200000,1849,2421,1424,12,1465,1458,983,11,0
DLZpaJGe,1411257600000,1859,2435,1443,12,1456,1484,977,9,0
DLZpaJGe,1411344000000,1833,2405,1415,12,1437,1508,997,11,0
DLZpaJGe,1411430400000,1824,2413,1411,12,1439,1520,1026,15,0
DLZpaJGe,1411516800000,1824,2399,1425,12,1429,1505,1020,10,0
DLZpaJGe,1411603200000,1827,2396,1397,12,1418,1522,1035,14,0
DLZpaJGe,1411689600000,1843,2396,1371,12,1396,1523,1022,18,0
DLZpaJGe,1411776000000,1816,2424,1394,12,1410,1508,1001,13,0
DLZpaJGe,1411862400000,1834,2444,1387,12,1399,1512,976,13,0
DLZpaJGe,1411948800000,1827,2423,1401,12,1398,1533,947,11,0
DLZpaJGe,1412035200000,1839,2425,1392,12,1409,1503,969,13,0
DLZpaJGe,1412121600000,1856,2411,1380,12,1395,1478,989,16,0
DLZpaJGe,1412208000000,1866,2411,1354,12,1377,1454,991,16,0
DLZpaJGe,1412294400000,1871,2417,1358,12,1372,1462,1004,14,0
DLZpaJGe,1412380800000,1848,2427,1385,12,1378,1450,994,12,0
DLZpaJGe,1412467200000,1851,2432,1408,12,1381,1449,1005,11,0
DLZpaJGe,1412553600000,1850,2410,1405,12,1355,1476,999,7,0
DLZpaJGe,1412640000000,1876,2402,1421,12,1354,1498,1020,2,0
DLZpaJGe,1412726400000,1893,2426,1446,12,1365,1492,1015,1,0
DLZpaJGe,1412812800000,1893,2453,1432,12,1357,1519,1022,2,0
DLZpaJGe,1412899200000,1863,2429,1461,12,1343,1537,1003,1,0
DLZpaJGe,1412985600000,1860,2436,1439,12,1352,1564,973,5,0
DLZpaJGe,1413072000000,1872,2457,1462,12,1378,1582,972,1,0
DLZpaJGe,1413158400000,1875,2467,1440,12,1406,1585,991,2,0
DLZpaJGe,1413244800000,1885,2476,1448,12,1427,1566,975,1,0
DLZpaJGe,1413331200000,1901,2480,1448,12,1408,1594,962,5,0
DLZpaJGe,1413417600000,1921,2477,1453,12,1390,1598,986,1,0
DLZpaJGe,1413504000000,1943,2467,1428,12,1410,1580,987,3,0
DLZpaJGe,1413590400000,1967,2484,1438,12,1416,1586,1013,6,0
DLZpaJGe,1413676800000,1946,2457,1465,12,1444,1600,1035,9,0
DLZpaJGe,1413763200000,1960,2444,1454,12,1435,1590,1037,9,0
DLZpaJGe,1413849600000,1978,2417,1425,12,1427,1600,1012,4,0
DLZpaJGe,1413936000000,1983,2391,1409,12,1428,1573,992,6,0
DLZpaJGe,1414022400000,1976,2386,1436,12,1400,1602,981,5,0
DLZpaJGe,1414108800000,1988,2398,1416,12,1383,1580,971,9,0
DLZpaJGe,1414195200000,1958,2425,1402,12,1389,1566,976,11,0
DLZpaJGe,1414281600000,1947,2411,1415,12,1417,1536,962,6,0
DLZpaJGe,1414368000000,1971,2437,1431,12,1396,1543,938,8,0
DLZpaJGe,1414454400000,1979,2444,1440,12,1383,1555,932,9,0
DLZpaJGe,1414540800000,2006,2451,1417,12,1398,1568,910,9,0
DLZpaJGe,1414627200000,1999,2478,1425,12,1376,1597,914,10,0
DLZpaJGe,1414713600000,2002,2507,1415,12,1353,1572,909,9,0
