user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
E9hkOryt,1412121600000,1459,845,1439,11,1457,170,1450,25,0
E9hkOryt,1412208000000,1459,857,1420,11,1476,190,1426,21,0
E9hkOryt,1412294400000,1470,881,1392,11,1458,217,1416,20,0
E9hkOryt,1412380800000,1492,855,1380,11,1435,219,1410,24,0
E9hkOryt,1412467200000,1473,864,1378,11,1433,197,1431,24,0
E9hkOryt,1412553600000,1461,869,1349,11,1411,215,1432,24,0
E9hkOryt,1412640000000,1452,839,1359,11,1415,205,1435,26,0
E9hkOryt,1412726400000,1435,827,1367,11,1408,185,1463,27,0
E9hkOryt,1412812800000,1438,828,1372,11,1414,181,1484,29,0
E9hkOryt,1412899200000,1431,798,1394,11,1386,161,1472,24,0
E9hkOryt,1412985600000,1408,826,1379,11,1364,181,1460,26,0
E9hkOryt,1413072000000,1383,831,1359,11,1335,177,1452,23,0
E9hkOryt,1413158400000,1395,850,1387,11,1351,204,1480,26,0
E9hkOryt,1413244800000,1409,860,1383,11,1366,182,1465,29,0
E9hkOryt,1413331200000,1399,849,1366,11,1366,168,1480,30,0
E9hkOryt,1413417600000,1413,845,1351,11,1378,194,1475,31,0
E9hkOryt,1413504000000,1419,828,1336,11,1355,213,1451,32,0
E9hkOryt,1413590400000,1397,851,1320,11,1376,230,1444,31,0
E9hkOryt,1413676800000,1406,829,1343,11,1349,209,1463,33,0
E9hkOryt,1413763200000,1413,803,1372,11,1349,223,1455,30,0
E9hkOryt,1413849600000,1392,782,1384,11,1345,218,1446,31,0
E9hkOryt,1413936000000,1364,752,1405,11,1321,236,1431,34,0
E9hkOryt,1414022400000,1368,747,1408,11,1343,209,1438,34,0
E9hkOryt,1414108800000,1382,755,1437,11,1342,195,1423,37,0
E9hkOryt,1414195200000,1402,733,1461,11,1331,214,1417,41,0
E9hkOryt,1414281600000,1373,707,1435,11,1344,226,1438,37,0
E9hkOryt,1414368000000,1355,700,1458,11,1344,224,1440,39,0
E9hkOryt,1414454400000,1377,727,1487,11,1325,218,1412,43,0
E9hkOryt,1414540800000,1359,719,1467,11,1337,247,1426,43,0
E9hkOryt,1414627200000,1376,736,1452,11,1331,217,1417,45,0
E9hkOryt,1414713600000,1362,756,1443,11,1331,240,1413,40,0
