user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
G8ctRcTZ,1409529600000,1440,765,1444,6,1728,1450,2003,27,2
G8ctRcTZ,1409616000000,1462,782,1462,6,1755,1447,2029,27,2
G8ctRcTZ,1409702400000,1436,803,1479,6,1739,1427,2007,25,1
G8ctRcTZ,1409788800000,1414,774,1500,6,1714,1416,1987,20,1
G8ctRcTZ,1409875200000,1401,788,1473,6,1716,1388,2016,19,0
G8ctRcTZ,1409961600000,1419,759,1467,6,1712,1390,2040,14,0
G8ctRcTZ,1410048000000,1402,765,1467,6,1741,1361,2062,16,0
G8ctRcTZ,1410134400000,1401,744,1477,6,1764,1338,2076,19,0
G8ctRcTZ,1410220800000,1429,717,1461,6,1770,1342,2056,20,0
G8ctRcTZ,1410307200000,1437,738,1439,6,1792,1316,2039,24,0
G8ctRcTZ,1410393600000,1437,761,1431,6,1764,1343,2036,28,0
G8ctRcTZ,1410480000000,1461,751,1449,6,1747,1354,2055,30,0
G8ctRcTZ,1410566400000,1465,757,1444,6,1750,1333,2037,26,0
G8ctRcTZ,1410652800000,1484,748,1425,6,1769,1303,2055,25,0
G8ctRcTZ,1410739200000,1508,749,1404,6,1768,1328,2065,21,0
G8ctRcTZ,1410825600000,1536,760,1423,6,1742,1348,2084,25,0
G8ctRcTZ,1410912000000,1553,757,1397,6,1770,1363,2072,22,0
G8ctRcTZ,1410998400000,1571,768,1393,6,1757,1388,2050,24,0
G8ctRcTZ,1411084800000,1565,739,1406,6,1774,1378,2070,25,0
G8ctRcTZ,1411171200000,1559,747,1397,6,1758,1358,2066,26,0
G8ctRcTZ,1411257600000,1581,774,1379,6,1761,1346,2047,25,0
G8ctRcTZ,1411344000000,1592,797,1367,6,1737,1354,2019,29,0
G8ctRcTZ,1411430400000,1607,799,1379,6,1728,1340,2015,24,0
G8ctRcTZ,1411516800000,1636,796,1371,6,1738,1357,2019,28,0
G8ctRcTZ,1411603200000,1613,775,1399,6,1729,1328,2013,27,0
G8ctRcTZ,1411689600000,1642,746,1373,6,1718,1315,2030,29,0
G8ctRcTZ,1411776000000,1650,736,1359,6,1690,1331,2004,31,0
G8ctRcTZ,1411862400000,1641,762,1364,6,1712,1322,2009,30,0
G8ctRcTZ,1411948800000,1612,765,1391,6,1696,1308,1997,30,0
G8ctRcTZ,1412035200000,1632,781,1362,6,1714,1332,2012,33,0
G8ctRcTZ,1412121600000,1616,758,1336,6,1700,1310,2012,28,0
G8ctRcTZ,1412208000000,1593,746,1349,6,1703,1325,2015,29,0
G8ctRcTZ,1412294400000,1604,740,1339,6,1711,1337,2014,28,0
G8ctRcTZ,1412380800000,1601,762,1344,6,1692,1337,1992,28,0
G8ctRcTZ,1412467200000,1625,749,1344,6,1678,1344,1981,25,0
G8ctRcTZ,1412553600000,1645,775,1337,6,1677,1346,1979,25,0
G8ctRcTZ,1412640000000,1646,762,1362,6,1658,1321,1972,27,0
G8ctRcTZ,1412726400000,1666,780,1367,6,1628,1331,1995,31,0
G8ctRcTZ,1412812800000,1660,752,1382,6,1607,1317,1999,31,0
G8ctRcTZ,1412899200000,1640,757,1374,6,1636,1313,1979,34,0
G8ctRcTZ,1412985600000,1625,741,1393,6,1617,1328,1967,31,0
G8ctRcTZ,1413072000000,1604,747,1391,6,1634,1320,1992,32,0
G8ctRcTZ,1413158400000,1608,766,1380,6,1648,1338,1974,33,0
G8ctRcTZ,1413244800000,1612,785,1395,6,1637,1335,2001,28,0
G8ctRcTZ,1413331200000,1585,814,1390,6,1662,1347,1976,25,0
G8ctRcTZ,1413417600000,1610,843,1364,6,1658,1336,1955,25,0
G8ctRcTZ,1413504000000,1594,854,1368,6,1654,1307,1945,22,0
G8ctRcTZ,1413590400000,1571,833,1345,6,1633,1298,1947,21,0
G8ctRcTZ,1413676800000,1548,810,1352,6,1607,1323,1947,24,0
G8ctRcTZ,1413763200000,1537,821,1338,6,1632,1298,1920,22,0
G8ctRcTZ,1413849600000,1532,818,1312,6,1627,1324,1932,21,0
G8ctRcTZ,1413936000000,1521,792,1321,6,1630,1331,1916,23,0
G8ctRcTZ,1414022400000,1544,808,1334,6,1600,1314,1921,21,0
G8ctRcTZ,1414108800000,1522,784,1335,6,1601,1284,1927,21,0
G8ctRcTZ,1414195200000,1512,792,1332,6,1578,1288,1923,18,0
G8ctRcTZ,1414281600000,1505,807,1310,6,1570,1271,1923,22,0
G8ctRcTZ,1414368000000,1477,816,1306,6,1573,1288,1937,24,0
G8ctRcTZ,1414454400000,1503,820,1294,6,1587,1277,1961,21,0
G8ctRcTZ,1414540800000,1484,841,1318,6,1598,1262,1969,17,0
G8ctRcTZ,1414627200000,1497,828,1344,6,1573,1265,1989,17,0
G8ctRcTZ,1414713600000,1509,823,1360,6,1578,1254,1990,17,0
