user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
GxBrg94k,1404172800000,1855,1368,1450,12,1447,1450,1351,24,0
GxBrg94k,1404259200000,1865,1355,1425,12,1443,1436,1380,25,0
GxBrg94k,1404345600000,1885,1372,1418,12,1443,1464,1393,22,0
GxBrg94k,1404432000000,1902,1343,1416,12,1451,1458,1374,26,0
GxBrg94k,1404518400000,1876,1324,1394,12,1462,1486,1376,22,0
GxBrg94k,1404604800000,1879,1301,1366,12,1434,1470,1353,24,0
GxBrg94k,1404691200000,1867,1286,1383,12,1431,1491,1325,26,0
GxBrg94k,1404777600000,1886,1302,1354,12,1445,1467,1296,28,0
GxBrg94k,1404864000000,1891,1316,1327,12,1434,1465,1304,32,0
GxBrg94k,1404950400000,1898,1312,1354,12,1458,1494,1281,29,0
GxBrg94k,1405036800000,1908,1319,1324,12,1428,1467,1262,33,0
GxBrg94k,1405123200000,1917,1343,1333,12,1411,1454,1249,30,0
GxBrg94k,1405209600000,1935,1326,1303,12,1403,1466,1257,31,0
GxBrg94k,1405296000000,1906,1317,1298,12,1390,1493,1281,27,0
GxBrg94k,1405382400000,1922,1341,1293,12,1418,1493,1269,31,0
GxBrg94k,1405468800000,1917,1356,1312,12,1422,1463,1291,32,0
GxBrg94k,1405555200000,1920,1328,1307,12,1431,1455,1275,36,0
GxBrg94k,1405641600000,1930,1302,1312,12,1447,1446,1283,33,0
GxBrg94k,1405728000000,1930,1288,1321,12,1460,1426,1263,32,0
GxBrg94k,1405814400000,1942,1261,1298,12,1464,1424,1235,32,0
GxBrg94k,1405900800000,1942,1246,1285,12,1450,1403,1258,33,0
GxBrg94k,1405987200000,1917,1263,1302,12,1447,1380,1270,30,0
GxBrg94k,1406073600000,1922,1282,1299,12,1423,1390,1299,29,0
GxBrg94k,1406160000000,1919,1290,1311,12,1405,1390,1274,28,0
GxBrg94k,1406246400000,1904,1305,1303,12,1417,1412,1262,28,0
GxBrg94k,1406332800000,1928,1300,1274,12,1429,1430,1265,23,0
GxBrg94k,1406419200000,1931,1329,1303,12,1432,1453,1239,20,0
GxBrg94k,1406505600000,1947,1349,1327,12,1443,1464,1234,15,0
GxBrg94k,1406592000000,1967,1368,1335,12,1444,1491,1239,15,0
GxBrg94k,1406678400000,1947,1347,1344,12,1442,1481,1258,17,0
GxBrg94k,1406764800000,1974,1338,1331,12,1451,1454,1286,14,0
GxBrg94k,1406851200000,1964,1313,1334,12,1427,1446,1294,15,0
GxBrg94k,1406937600000,1949,1286,1353,12,1454,1438,1303,13,0
GxBrg94k,1407024000000,1944,1267,1361,12,1443,1440,1283,16,0
GxBrg94k,1407110400000,1970,1272,1381,12,1440,1450,1289,20,0
GxBrg94k,1407196800000,1996,1290,1367,12,1447,1454,1275,21,0
GxBrg94k,1407283200000,2007,1294,1346,12,1445,1436,1271,23,0
GxBrg94k,1407369600000,1981,1297,1369,12,1469,1446,1289,18,0
GxBrg94k,1407456000000,1973,1270,1365,12,1491,1439,1281,15,0
GxBrg94k,1407542400000,1959,1293,1379,12,1466,1415,1260,16,0
GxBrg94k,1407628800000,1968,1318,1400,12,1455,1392,1242,14,0
GxBrg94k,1407715200000,1959,1321,1425,12,1434,1401,1243,18,0
GxBrg94k,1407801600000,1970,1299,1403,12,1423,1404,1217,15,0
GxBrg94k,1407888000000,1953,1292,1427,12,1448,1414,1211,19,0
GxBrg94k,1407974400000,1926,1274,1424,12,1472,1435,1225,22,0
GxBrg94k,1408060800000,1914,1259,1434,12,1489,1440,1240,26,0
GxBrg94k,1408147200000,1934,1256,1433,12,1479,1424,1235,27,0
GxBrg94k,1408233600000,1907,1274,1427,12,1464,1449,1254,25,0
GxBrg94k,1408320000000,1889,1268,1435,12,1436,1427,1252,26,0
