user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
H1K3ykp2,1391212800000,1450,170,2421,10,1451,1535,570,1,2
H1K3ykp2,1391299200000,1473,188,2438,10,1472,1534,563,5,2
H1K3ykp2,1391385600000,1477,185,2463,10,1465,1560,582,4,2
H1K3ykp2,1391472000000,1493,210,2437,10,1484,1543,584,2,2
H1K3ykp2,1391558400000,1496,203,2455,10,1481,1520,578,1,1
H1K3ykp2,1391644800000,1519,184,2434,10,1452,1512,560,4,1
H1K3ykp2,1391731200000,1523,167,2456,10,1444,1529,553,4,1
H1K3ykp2,1391817600000,1496,172,2427,10,1416,1546,537,5,0
H1K3ykp2,1391904000000,1498,184,2451,10,1395,1575,537,7,0
H1K3ykp2,1391990400000,1488,193,2460,10,1380,1552,551,3,0
H1K3ykp2,1392076800000,1462,163,2485,10,1408,1546,547,3,0
H1K3ykp2,1392163200000,1436,154,2487,10,1403,1543,573,5,0
H1K3ykp2,1392249600000,1437,148,2463,10,1428,1561,563,2,0
H1K3ykp2,1392336000000,1454,154,2438,10,1447,1571,589,5,0
H1K3ykp2,1392422400000,1461,140,2464,10,1447,1589,588,4,0
H1K3ykp2,1392508800000,1441,169,2473,10,1449,1607,573,1,0
H1K3ykp2,1392595200000,1429,198,2469,10,1455,1630,549,1,0
H1K3ykp2,1392681600000,1408,174,2441,10,1480,1611,578,0,0
H1K3ykp2,1392768000000,1436,197,2412,10,1493,1588,605,4,0
H1K3ykp2,1392854400000,1457,204,2394,10,1485,1597,579,8,0
H1K3ykp2,1392940800000,1430,197,2379,10,1512,1584,563,3,0
H1K3ykp2,1393027200000,1425,203,2379,10,1495,1579,580,0,0
H1K3ykp2,1393113600000,1404,204,2376,10,1488,1564,578,4,0
H1K3ykp2,1393200000000,1425,228,2355,10,1472,1588,573,2,0
H1K3ykp2,1393286400000,1445,231,2337,10,1443,1603,597,2,0
H1K3ykp2,1393372800000,1446,213,2312,10,1430,1586,567,0,0
H1K3ykp2,1393459200000,1460,185,2306,10,1454,1588,586,4,0
H1K3ykp2,1393545600000,1454,197,2296,10,1472,1594,588,4,0
H1K3ykp2,1393632000000,1482,211,2271,10,1487,1584,599,3,0
H1K3ykp2,1393718400000,1461,182,2258,10,1516,1577,576,3,0
H1K3ykp2,1393804800000,1470,176,2229,10,1506,1579,562,2,0
