user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
IFXEPChh,1404172800000,1368,2362,1338,9,1599,1449,1450,25,3
IFXEPChh,1404259200000,1343,2369,1347,9,1598,1459,1479,23,2
IFXEPChh,1404345600000,1352,2384,1361,9,1608,1453,1455,25,2
IFXEPChh,1404432000000,1350,2359,1360,9,1616,1441,1450,24,1
IFXEPChh,1404518400000,1366,2356,1364,9,1629,1433,1452,24,1
IFXEPChh,1404604800000,1353,2347,1341,9,1645,1420,1480,19,1
IFXEPChh,1404691200000,1341,2323,1319,9,1616,1397,1495,16,1
IFXEPChh,1404777600000,1330,2340,1346,9,1606,1420,1506,17,1
IFXEPChh,1404864000000,1350,2338,1322,9,1583,1425,1480,16,0
IFXEPChh,1404950400000,1370,2361,1344,9,1596,1412,1502,11,0
IFXEPChh,1405036800000,1397,2388,1370,9,1610,1408,1526,7,0
IFXEPChh,1405123200000,1377,2403,1367,9,1583,1422,1530,3,0
IFXEPChh,1405209600000,1361,2379,1388,9,1569,1392,1559,1,0
IFXEPChh,1405296000000,1388,2381,1414,9,1587,1387,1581,1,0
IFXEPChh,1405382400000,1380,2407,1397,9,1603,1370,1578,4,0
IFXEPChh,1405468800000,1376,2412,1398,9,1626,1343,1588,4,0
IFXEPChh,1405555200000,1359,2406,1384,9,1629,1358,1574,3,0
IFXEPChh,1405641600000,1385,2433,1355,9,1608,1343,1586,6,0
IFXEPChh,1405728000000,1356,2413,1360,9,1628,1353,1614,3,0
IFXEPChh,1405814400000,1362,2412,1332,9,1607,1330,1633,0,0
IFXEPChh,1405900800000,1354,2440,1355,9,1607,1330,1659,4,0
IFXEPChh,1405987200000,1348,2459,1361,9,1608,1356,1663,7,0
IFXEPChh,1406073600000,1376,2473,1378,9,1632,1340,1680,9,0
IFXEPChh,1406160000000,1351,2498,1394,9,1631,1366,1658,5,0
IFXEPChh,1406246400000,1373,2499,1412,9,1601,1359,1645,4,0
IFXEPChh,1406332800000,1398,2479,1407,9,1624,1337,1638,6,0
IFXEPChh,1406419200000,1402,2487,1434,9,1612,1356,1660,7,0
IFXEPChh,1406505600000,1400,2510,1431,9,1585,1380,1647,9,0
IFXEPChh,1406592000000,1378,2509,1447,9,1601,1394,1649,10,0
IFXEPChh,1406678400000,1375,2504,1457,9,1603,1368,1669,12,0
IFXEPChh,1406764800000,1348,2475,1447,9,1574,1368,1653,8,0
IFXEPChh,1406851200000,1370,2476,1458,9,1565,1367,1650,7,0
IFXEPChh,1406937600000,1369,2459,1443,9,1542,1395,1623,8,0
IFXEPChh,1407024000000,1350,2446,1446,9,1544,1406,1646,10,0
IFXEPChh,1407110400000,1347,2430,1429,9,1552,1421,1670,9,0
IFXEPChh,1407196800000,1336,2428,1435,9,1551,1431,1659,8,0
IFXEPChh,1407283200000,1317,2436,1424,9,1571,1454,1663,4,0
IFXEPChh,1407369600000,1331,2433,1441,9,1586,1483,1647,5,0
IFXEPChh,1407456000000,1333,2417,1421,9,1587,1504,1649,1,0
IFXEPChh,1407542400000,1323,2407,1405,9,1603,1501,1648,0,0
IFXEPChh,1407628800000,1324,2415,1391,9,1593,1526,1659,0,0
IFXEPChh,1407715200000,1304,2410,1381,9,1621,1545,1660,0,0
IFXEPChh,1407801600000,1287,2420,1354,9,1633,1515,1649,2,0
IFXEPChh,1407888000000,1274,2431,1363,9,1631,1539,1637,2,0
IFXEPChh,1407974400000,1286,2453,1337,9,1640,1515,1607,0,0
IFXEPChh,1408060800000,1257,2444,1333,9,1642,1487,1632,3,0
IFXEPChh,1408147200000,1251,2424,1339,9,1655,1462,1654,3,0
IFXEPChh,1408233600000,1244,2405,1339,9,1664,1444,1675,3,0
IFXEPChh,1408320000000,1242,2386,1329,9,1690,1445,1647,6,0
IFXEPChh,1408406400000,1226,2373,1357,9,1687,1451,1618,7,0
IFXEPChh,1408492800000,1202,2343,1332,9,1671,1421,1602,11,0
IFXEPChh,1408579200000,1218,2325,1355,9,1684,1397,1574,7,0
IFXEPChh,1408665600000,1218,2333,1352,9,1688,1370,1547,10,0
IFXEPChh,1408752000000,1244,2348,1347,9,1673,1389,1533,12,0
IFXEPChh,1408838400000,1233,2345,1347,9,1688,1387,1540,7,0
IFXEPChh,1408924800000,1248,2348,1348,9,1666,1375,1559,8,0
IFXEPChh,1409011200000,1252,2365,1333,9,1657,1367,1537,5,0
IFXEPChh,1409097600000,1235,2369,1324,9,1647,1377,1564,6,0
IFXEPChh,1409184000000,1227,2341,1343,9,1633,1374,1551,7,0
IFXEPChh,1409270400000,1220,2356,1323,9,1611,1348,1559,9,0
IFXEPChh,1409356800000,1216,2343,1351,9,1583,1362,1558,11,0
IFXEPChh,1409443200000,1224,2345,1345,9,1581,1357,1556,11,0
