user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
J2oaweHD,1412121600000,1363,1451,1345,9,1083,1394,1449,19,0
J2oaweHD,1412208000000,1382,1456,1366,9,1077,1381,1424,17,0
J2oaweHD,1412294400000,1368,1441,1370,9,1082,1359,1442,13,0
J2oaweHD,1412380800000,1353,1467,1369,9,1070,1368,1415,10,0
J2oaweHD,1412467200000,1357,1488,1361,9,1061,1383,1443,9,0
J2oaweHD,1412553600000,1344,1496,1372,9,1082,1386,1421,4,0
J2oaweHD,1412640000000,1334,1484,1379,9,1085,1386,1440,5,0
J2oaweHD,1412726400000,1357,1509,1379,9,1096,1411,1465,3,0
J2oaweHD,1412812800000,1362,1479,1374,9,1078,1436,1439,4,0
J2oaweHD,1412899200000,1352,1470,1349,9,1088,1446,1454,2,0
J2oaweHD,1412985600000,1366,1462,1349,9,1058,1459,1443,3,0
J2oaweHD,1413072000000,1393,1482,1358,9,1074,1470,1467,4,0
J2oaweHD,1413158400000,1364,1479,1328,9,1078,1451,1443,7,0
J2oaweHD,1413244800000,1358,1497,1314,9,1049,1460,1434,10,0
J2oaweHD,1413331200000,1375,1500,1310,9,1070,1437,1430,13,0
J2oaweHD,1413417600000,1364,1527,1311,9,1079,1447,1401,17,0
J2oaweHD,1413504000000,1363,1541,1331,9,1058,1421,1423,12,0
J2oaweHD,1413590400000,1334,1529,1325,9,1043,1395,1393,16,0
J2oaweHD,1413676800000,1327,1502,1328,9,1069,1369,1409,11,0
J2oaweHD,1413763200000,1351,1499,1324,9,1070,1348,1390,14,0
J2oaweHD,1413849600000,1371,1482,1349,9,1068,1363,1402,11,0
J2oaweHD,1413936000000,1352,1498,1353,9,1077,1333,1392,14,0
J2oaweHD,1414022400000,1329,1499,1333,9,1105,1348,1377,12,0
J2oaweHD,1414108800000,1345,1493,1339,9,1108,1363,1350,13,0
J2oaweHD,1414195200000,1374,1514,1365,9,1104,1335,1366,13,0
J2oaweHD,1414281600000,1364,1516,1368,9,1119,1335,1339,10,0
J2oaweHD,1414368000000,1347,1531,1381,9,1127,1337,1324,10,0
J2oaweHD,1414454400000,1324,1528,1408,9,1147,1331,1306,12,0
J2oaweHD,1414540800000,1324,1513,1428,9,1122,1359,1333,7,0
J2oaweHD,1414627200000,1344,1532,1443,9,1122,1340,1341,9,0
J2oaweHD,1414713600000,1320,1535,1472,9,1099,1332,1324,9,0
