user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
LRImVqyY,1391212800000,189,73,581,6,135,72,518,15,88
LRImVqyY,1391299200000,152,180,573,4,133,100,336,18,119
LRImVqyY,1391385600000,40,134,15,5,63,169,489,0,5
LRImVqyY,1391472000000,195,98,650,15,158,174,291,20,170
LRImVqyY,1391558400000,47,154,35,8,109,23,395,31,187
LRImVqyY,1391644800000,182,133,604,5,122,75,541,30,124
LRImVqyY,1391731200000,127,106,768,19,111,114,372,26,152
LRImVqyY,1391817600000,161,112,458,0,83,112,358,23,109
LRImVqyY,1391904000000,171,104,151,2,15,92,299,38,24
LRImVqyY,1391990400000,31,86,646,9,104,13,500,49,198
LRImVqyY,1392076800000,77,89,541,17,59,80,523,40,176
LRImVqyY,1392163200000,182,104,793,6,24,174,278,41,190
LRImVqyY,1392249600000,197,27,668,5,10,5,347,41,182
LRImVqyY,1392336000000,90,80,556,2,183,195,321,42,172
LRImVqyY,1392422400000,127,70,2,5,138,9,261,41,161
LRImVqyY,1392508800000,83,9,661,5,31,59,343,44,110
LRImVqyY,1392595200000,114,126,142,16,91,133,442,28,150
LRImVqyY,1392681600000,186,188,565,7,21,52,340,21,120
LRImVqyY,1392768000000,159,102,272,12,141,190,320,37,20
LRImVqyY,1392854400000,153,12,763,5,0,42,537,45,2
LRImVqyY,1392940800000,35,196,616,7,53,30,329,31,30
LRImVqyY,1393027200000,3,59,588,7,143,117,284,46,127
LRImVqyY,1393113600000,126,22,395,16,45,141,218,16,28
LRImVqyY,1393200000000,132,91,671,8,73,18,455,24,192
LRImVqyY,1393286400000,7,82,671,14,43,86,218,27,81
LRImVqyY,1393372800000,76,39,380,11,25,169,171,15,139
LRImVqyY,1393459200000,130,194,779,9,187,99,523,16,159
LRImVqyY,1393545600000,104,181,142,19,64,129,264,25,15
LRImVqyY,1393632000000,97,79,433,7,8,138,339,34,167
LRImVqyY,1393718400000,117,48,678,17,42,93,168,10,17
LRImVqyY,1393804800000,67,31,656,9,40,133,531,34,83
LRImVqyY,1393891200000,145,81,306,1,150,156,245,22,97
LRImVqyY,1393977600000,20,187,117,13,127,79,364,43,139
LRImVqyY,1394064000000,130,26,466,2,40,119,514,27,78
