user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
LchJqMfb,1393632000000,1403,1457,845,10,1382,1609,3051,31,2
LchJqMfb,1393718400000,1420,1469,817,10,1371,1582,3054,34,1
LchJqMfb,1393804800000,1443,1439,794,10,1379,1570,3047,38,1
LchJqMfb,1393891200000,1439,1410,806,10,1408,1554,3040,35,0
LchJqMfb,1393977600000,1410,1418,832,10,1399,1556,3015,39,0
LchJqMfb,1394064000000,1390,1430,815,10,1414,1569,3033,35,0
LchJqMfb,1394150400000,1366,1425,801,10,1391,1545,3044,35,0
LchJqMfb,1394236800000,1383,1433,800,10,1411,1548,3022,37,0
LchJqMfb,1394323200000,1387,1407,800,10,1390,1549,3011,38,0
LchJqMfb,1394409600000,1363,1421,824,10,1387,1574,3025,37,0
LchJqMfb,1394496000000,1335,1424,802,10,1368,1545,3019,38,0
LchJqMfb,1394582400000,1336,1426,776,10,1356,1524,3006,39,0
LchJqMfb,1394668800000,1313,1418,790,10,1355,1516,2991,41,0
LchJqMfb,1394755200000,1328,1437,775,10,1351,1502,2975,42,0
LchJqMfb,1394841600000,1319,1424,783,10,1363,1480,2984,44,0
LchJqMfb,1394928000000,1304,1447,781,10,1339,1509,2991,43,0
LchJqMfb,1395014400000,1326,1448,755,10,1326,1505,3013,42,0
LchJqMfb,1395100800000,1326,1471,765,10,1351,1513,2999,44,0
LchJqMfb,1395187200000,1329,1465,762,10,1353,1532,3018,41,0
LchJqMfb,1395273600000,1335,1471,749,10,1366,1508,3020,38,0
LchJqMfb,1395360000000,1353,1473,766,10,1386,1520,3018,36,0
LchJqMfb,1395446400000,1365,1483,783,10,1361,1510,3021,31,0
LchJqMfb,1395532800000,1357,1463,759,10,1349,1485,2992,26,0
LchJqMfb,1395619200000,1337,1472,761,10,1378,1484,2987,21,0
LchJqMfb,1395705600000,1317,1444,745,10,1398,1506,2988,22,0
LchJqMfb,1395792000000,1340,1428,741,10,1408,1521,2965,18,0
LchJqMfb,1395878400000,1348,1449,752,10,1392,1520,2969,13,0
LchJqMfb,1395964800000,1335,1464,722,10,1378,1527,2939,10,0
LchJqMfb,1396051200000,1323,1483,699,10,1404,1531,2954,7,0
LchJqMfb,1396137600000,1321,1468,687,10,1422,1531,2964,2,0
LchJqMfb,1396224000000,1327,1488,686,10,1435,1507,2974,1,0
LchJqMfb,1396310400000,1304,1490,661,10,1433,1478,2982,2,0
LchJqMfb,1396396800000,1322,1512,642,10,1451,1482,2959,1,0
LchJqMfb,1396483200000,1341,1533,625,10,1461,1484,2973,3,0
LchJqMfb,1396569600000,1326,1544,606,10,1446,1466,2979,3,0
LchJqMfb,1396656000000,1302,1559,583,10,1445,1481,2999,1,0
LchJqMfb,1396742400000,1291,1537,590,10,1470,1455,2976,4,0
LchJqMfb,1396828800000,1275,1556,594,10,1492,1461,2951,3,0
LchJqMfb,1396915200000,1258,1575,567,10,1481,1456,2968,7,0
LchJqMfb,1397001600000,1242,1600,556,10,1481,1437,2981,8,0
LchJqMfb,1397088000000,1222,1621,534,10,1477,1436,2991,11,0
LchJqMfb,1397174400000,1194,1649,544,10,1486,1447,2970,11,0
LchJqMfb,1397260800000,1209,1629,549,10,1457,1430,2970,9,0
LchJqMfb,1397347200000,1228,1634,542,10,1453,1404,2993,13,0
LchJqMfb,1397433600000,1252,1609,525,10,1475,1391,2973,13,0
LchJqMfb,1397520000000,1255,1613,525,10,1455,1384,3002,8,0
LchJqMfb,1397606400000,1272,1586,499,10,1427,1381,2972,11,0
LchJqMfb,1397692800000,1244,1611,490,10,1398,1381,2943,6,0
LchJqMfb,1397779200000,1273,1604,516,10,1412,1357,2970,7,0
LchJqMfb,1397865600000,1247,1584,527,10,1420,1364,2988,2,0
LchJqMfb,1397952000000,1261,1560,516,10,1420,1348,2959,4,0
LchJqMfb,1398038400000,1264,1577,517,10,1443,1352,2930,0,0
LchJqMfb,1398124800000,1266,1597,511,10,1429,1346,2931,1,0
LchJqMfb,1398211200000,1277,1592,521,10,1435,1318,2921,1,0
LchJqMfb,1398297600000,1287,1583,534,10,1427,1308,2905,1,0
LchJqMfb,1398384000000,1314,1584,548,10,1455,1311,2881,1,0
LchJqMfb,1398470400000,1303,1602,525,10,1430,1311,2910,3,0
LchJqMfb,1398556800000,1330,1590,523,10,1412,1306,2909,2,0
LchJqMfb,1398643200000,1309,1618,504,10,1396,1331,2885,1,0
LchJqMfb,1398729600000,1296,1604,523,10,1383,1350,2887,5,0
LchJqMfb,1398816000000,1292,1624,549,10,1353,1324,2871,9,0
LchJqMfb,1398902400000,1312,1620,533,10,1338,1353,2863,10,0
LchJqMfb,1398988800000,1312,1641,562,10,1323,1339,2846,13,0
LchJqMfb,1399075200000,1316,1623,562,10,1293,1341,2820,13,0
LchJqMfb,1399161600000,1341,1614,574,10,1314,1327,2819,13,0
LchJqMfb,1399248000000,1366,1632,544,10,1314,1344,2826,15,0
LchJqMfb,1399334400000,1354,1652,524,10,1310,1319,2807,15,0
LchJqMfb,1399420800000,1349,1628,537,10,1291,1321,2836,12,0
LchJqMfb,1399507200000,1344,1612,525,10,1281,1292,2846,16,0
LchJqMfb,1399593600000,1333,1597,554,10,1295,1315,2865,11,0
LchJqMfb,1399680000000,1341,1625,556,10,1315,1340,2839,13,0
LchJqMfb,1399766400000,1367,1652,568,10,1296,1317,2832,10,0
LchJqMfb,1399852800000,1348,1643,586,10,1302,1338,2809,5,0
LchJqMfb,1399939200000,1371,1665,567,10,1308,1360,2835,9,0
LchJqMfb,1400025600000,1356,1693,561,10,1325,1376,2807,11,0
LchJqMfb,1400112000000,1355,1685,533,10,1309,1391,2789,8,0
LchJqMfb,1400198400000,1326,1699,506,10,1298,1369,2795,6,0
LchJqMfb,1400284800000,1343,1699,480,10,1309,1374,2815,4,0
LchJqMfb,1400371200000,1323,1686,456,10,1315,1386,2813,3,0
LchJqMfb,1400457600000,1332,1668,453,10,1293,1397,2824,6,0
LchJqMfb,1400544000000,1318,1696,430,10,1299,1384,2810,3,0
LchJqMfb,1400630400000,1321,1717,429,10,1273,1404,2788,5,0
LchJqMfb,1400716800000,1336,1689,445,10,1270,1395,2795,2,0
LchJqMfb,1400803200000,1322,1670,419,10,1286,1371,2815,4,0
LchJqMfb,1400889600000,1334,1644,409,10,1267,1396,2834,1,0
LchJqMfb,1400976000000,1334,1636,406,10,1265,1409,2830,3,0
LchJqMfb,1401062400000,1322,1640,434,10,1269,1391,2810,6,0
LchJqMfb,1401148800000,1324,1629,447,10,1291,1392,2801,8,0
LchJqMfb,1401235200000,1303,1629,444,10,1300,1370,2802,8,0
LchJqMfb,1401321600000,1319,1601,455,10,1283,1345,2773,4,0
LchJqMfb,1401408000000,1321,1617,435,10,1261,1341,2762,5,0
LchJqMfb,1401494400000,1307,1636,416,10,1269,1334,2736,9,0
LchJqMfb,1401580800000,1290,1650,403,10,1294,1360,2726,8,0
LchJqMfb,1401667200000,1286,1675,386,10,1304,1338,2747,9,0
