user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
Lx7YKheU,1388534400000,1435,1454,1456,7,1450,1439,1478,23,0
Lx7YKheU,1388620800000,1421,1461,1469,7,1474,1446,1490,19,0
Lx7YKheU,1388707200000,1404,1431,1498,7,1474,1471,1466,16,0
Lx7YKheU,1388793600000,1394,1422,1493,7,1451,1449,1463,16,0
Lx7YKheU,1388880000000,1408,1414,1491,7,1422,1470,1462,20,0
Lx7YKheU,1388966400000,1411,1398,1508,7,1392,1441,1465,18,0
Lx7YKheU,1389052800000,1390,1421,1478,7,1389,1446,1483,21,0
Lx7YKheU,1389139200000,1397,1423,1502,7,1381,1454,1510,18,0
Lx7YKheU,1389225600000,1405,1398,1531,7,1358,1431,1537,17,0
Lx7YKheU,1389312000000,1400,1391,1503,7,1371,1430,1531,17,0
Lx7YKheU,1389398400000,1376,1364,1520,7,1394,1401,1522,16,0
Lx7YKheU,1389484800000,1353,1347,1493,7,1390,1429,1511,14,0
Lx7YKheU,1389571200000,1341,1340,1467,7,1406,1453,1501,13,0
Lx7YKheU,1389657600000,1335,1331,1463,7,1378,1423,1473,10,0
Lx7YKheU,1389744000000,1308,1355,1435,7,1395,1415,1474,5,0
Lx7YKheU,1389830400000,1303,1325,1438,7,1402,1434,1455,6,0
Lx7YKheU,1389916800000,1285,1339,1408,7,1380,1407,1428,8,0
Lx7YKheU,1390003200000,1307,1320,1387,7,1391,1395,1437,11,0
Lx7YKheU,1390089600000,1310,1295,1380,7,1415,1409,1430,8,0
Lx7YKheU,1390176000000,1324,1302,1386,7,1423,1403,1411,9,0
Lx7YKheU,1390262400000,1321,1312,1404,7,1429,1429,1395,7,0
Lx7YKheU,1390348800000,1331,1283,1391,7,1420,1410,1374,2,0
Lx7YKheU,1390435200000,1304,1278,1406,7,1399,1439,1379,4,0
Lx7YKheU,1390521600000,1309,1258,1390,7,1379,1447,1388,8,0
Lx7YKheU,1390608000000,1301,1239,1385,7,1395,1460,1390,9,0
Lx7YKheU,1390694400000,1330,1253,1379,7,1419,1433,1364,6,0
Lx7YKheU,1390780800000,1319,1228,1356,7,1391,1422,1367,1,0
Lx7YKheU,1390867200000,1314,1218,1367,7,1381,1418,1391,4,0
Lx7YKheU,1390953600000,1292,1210,1366,7,1370,1404,1366,8,0
Lx7YKheU,1391040000000,1270,1225,1344,7,1397,1374,1349,12,0
Lx7YKheU,1391126400000,1265,1216,1332,7,1397,1346,1377,15,0
