user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
QCwRaQaU,1393632000000,167,26,165,0,155,186,226,35,60
QCwRaQaU,1393718400000,198,172,306,17,107,177,391,48,37
QCwRaQaU,1393804800000,116,11,657,6,22,171,497,15,113
QCwRaQaU,1393891200000,3,85,334,8,158,96,502,41,116
QCwRaQaU,1393977600000,167,37,93,4,170,195,483,33,74
QCwRaQaU,1394064000000,101,114,619,16,176,105,521,33,105
QCwRaQaU,1394150400000,127,81,491,13,166,78,548,11,54
QCwRaQaU,1394236800000,85,75,243,13,106,23,484,47,85
QCwRaQaU,1394323200000,181,73,350,16,19,57,153,38,88
QCwRaQaU,1394409600000,171,141,157,19,27,71,156,42,89
QCwRaQaU,1394496000000,100,28,199,13,198,188,276,5,198
QCwRaQaU,1394582400000,3,119,8,6,81,159,231,3,15
QCwRaQaU,1394668800000,19,163,234,1,26,48,520,17,4
QCwRaQaU,1394755200000,64,150,376,10,4,6,160,5,21
QCwRaQaU,1394841600000,107,128,410,16,71,77,372,5,49
QCwRaQaU,1394928000000,100,59,720,13,33,73,267,35,5
QCwRaQaU,1395014400000,55,48,309,18,158,32,382,13,104
QCwRaQaU,1395100800000,143,172,715,17,35,103,204,41,178
QCwRaQaU,1395187200000,159,97,268,13,3,162,520,41,153
QCwRaQaU,1395273600000,14,142,450,14,61,120,257,34,184
QCwRaQaU,1395360000000,154,116,754,7,76,90,357,33,13
QCwRaQaU,1395446400000,25,60,482,4,161,166,228,19,53
QCwRaQaU,1395532800000,68,13,417,4,89,38,474,36,48
QCwRaQaU,1395619200000,6,162,302,2,113,33,360,27,198
QCwRaQaU,1395705600000,145,144,728,11,176,127,296,15,133
QCwRaQaU,1395792000000,160,171,185,10,10,164,417,1,30
QCwRaQaU,1395878400000,7,136,471,1,187,105,339,45,21
QCwRaQaU,1395964800000,21,58,321,5,9,61,483,45,113
QCwRaQaU,1396051200000,81,162,710,7,170,112,470,10,92
QCwRaQaU,1396137600000,31,110,39,10,199,137,185,39,17
QCwRaQaU,1396224000000,33,38,92,7,4,14,230,38,184
