user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
Qi4FHsFO,1406851200000,1467,2077,2484,12,1468,453,1449,26,0
Qi4FHsFO,1406937600000,1443,2083,2478,12,1483,465,1451,24,0
Qi4FHsFO,1407024000000,1467,2086,2493,12,1473,477,1458,27,0
Qi4FHsFO,1407110400000,1462,2069,2502,12,1501,448,1465,30,0
Qi4FHsFO,1407196800000,1467,2057,2500,12,1504,441,1462,25,0
Qi4FHsFO,1407283200000,1489,2057,2503,12,1533,438,1477,20,0
Qi4FHsFO,1407369600000,1466,2081,2485,12,1542,438,1461,18,0
Qi4FHsFO,1407456000000,1484,2070,2508,12,1559,448,1490,15,0
Qi4FHsFO,1407542400000,1464,2071,2521,12,1558,435,1504,11,0
Qi4FHsFO,1407628800000,1466,2050,2497,12,1584,456,1514,12,0
Qi4FHsFO,1407715200000,1469,2057,2482,12,1556,426,1537,11,0
Qi4FHsFO,1407801600000,1478,2042,2465,12,1570,429,1510,14,0
Qi4FHsFO,1407888000000,1489,2013,2493,12,1552,400,1483,12,0
Qi4FHsFO,1407974400000,1478,2029,2514,12,1562,417,1454,11,0
Qi4FHsFO,1408060800000,1481,2051,2490,12,1591,438,1429,14,0
Qi4FHsFO,1408147200000,1503,2037,2512,12,1609,446,1411,9,0
Qi4FHsFO,1408233600000,1516,2023,2495,12,1599,421,1387,4,0
Qi4FHsFO,1408320000000,1515,2014,2503,12,1615,431,1380,5,0
Qi4FHsFO,1408406400000,1504,2028,2526,12,1616,445,1360,6,0
Qi4FHsFO,1408492800000,1480,2032,2553,12,1608,472,1336,9,0
Qi4FHsFO,1408579200000,1491,2021,2579,12,1583,499,1308,10,0
Qi4FHsFO,1408665600000,1495,2016,2598,12,1585,501,1320,14,0
Qi4FHsFO,1408752000000,1508,1990,2618,12,1587,517,1331,10,0
Qi4FHsFO,1408838400000,1523,1976,2626,12,1599,522,1302,6,0
Qi4FHsFO,1408924800000,1496,1986,2609,12,1591,549,1307,2,0
Qi4FHsFO,1409011200000,1522,1980,2594,12,1619,562,1333,3,0
Qi4FHsFO,1409097600000,1506,1985,2564,12,1622,587,1355,6,0
Qi4FHsFO,1409184000000,1528,1986,2535,12,1624,615,1374,6,0
Qi4FHsFO,1409270400000,1537,1965,2510,12,1606,635,1361,10,0
Qi4FHsFO,1409356800000,1553,1988,2497,12,1602,628,1365,6,0
Qi4FHsFO,1409443200000,1542,2009,2467,12,1584,648,1378,4,0
Qi4FHsFO,1409529600000,1530,2000,2447,12,1561,637,1358,4,0
Qi4FHsFO,1409616000000,1556,2020,2449,12,1540,645,1348,1,0
Qi4FHsFO,1409702400000,1544,1993,2442,12,1554,625,1338,2,0
Qi4FHsFO,1409788800000,1532,1963,2460,12,1572,619,1326,2,0
Qi4FHsFO,1409875200000,1550,1965,2488,12,1579,626,1301,4,0
Qi4FHsFO,1409961600000,1524,1978,2480,12,1599,609,1285,2,0
Qi4FHsFO,1410048000000,1524,1970,2465,12,1614,598,1314,1,0
Qi4FHsFO,1410134400000,1523,1983,2481,12,1586,621,1289,2,0
Qi4FHsFO,1410220800000,1542,1992,2457,12,1582,618,1287,2,0
Qi4FHsFO,1410307200000,1519,1966,2459,12,1601,611,1264,3,0
Qi4FHsFO,1410393600000,1506,1982,2441,12,1581,587,1285,2,0
Qi4FHsFO,1410480000000,1490,1978,2445,12,1567,615,1309,1,0
Qi4FHsFO,1410566400000,1511,1992,2441,12,1557,622,1294,3,0
Qi4FHsFO,1410652800000,1527,1965,2442,12,1576,613,1271,3,0
Qi4FHsFO,1410739200000,1500,1969,2445,12,1579,637,1293,2,0
