user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
RFQB9Zgt,1398902400000,5,92,141,6,145,39,398,33,196
RFQB9Zgt,1398988800000,53,40,650,16,92,77,361,37,179
RFQB9Zgt,1399075200000,114,172,45,13,98,127,379,15,184
RFQB9Zgt,1399161600000,38,54,181,10,170,80,275,41,31
RFQB9Zgt,1399248000000,87,63,262,5,35,90,273,34,69
RFQB9Zgt,1399334400000,191,152,562,15,136,193,167,39,154
RFQB9Zgt,1399420800000,91,60,348,1,172,159,150,40,68
RFQB9Zgt,1399507200000,9,28,57,13,138,76,167,40,142
RFQB9Zgt,1399593600000,155,74,791,4,170,131,290,17,171
RFQB9Zgt,1399680000000,11,34,84,5,21,156,371,40,144
RFQB9Zgt,1399766400000,185,192,643,11,52,5,415,46,30
RFQB9Zgt,1399852800000,186,45,301,17,32,61,480,16,198
RFQB9Zgt,1399939200000,84,79,359,12,126,27,221,8,139
RFQB9Zgt,1400025600000,116,12,305,8,118,7,175,28,13
RFQB9Zgt,1400112000000,192,47,452,12,21,35,246,28,33
RFQB9Zgt,1400198400000,52,65,769,12,19,160,548,7,103
RFQB9Zgt,1400284800000,57,61,529,10,195,95,506,35,68
RFQB9Zgt,1400371200000,60,0,524,19,40,116,200,14,92
RFQB9Zgt,1400457600000,72,60,437,17,127,126,247,40,166
RFQB9Zgt,1400544000000,5,130,445,15,149,56,279,21,6
RFQB9Zgt,1400630400000,10,55,293,0,7,95,170,19,158
RFQB9Zgt,1400716800000,136,56,288,1,99,31,246,27,112
RFQB9Zgt,1400803200000,196,126,191,1,29,131,183,2,106
RFQB9Zgt,1400889600000,52,81,521,2,126,93,482,39,70
RFQB9Zgt,1400976000000,55,129,460,4,129,138,166,14,20
RFQB9Zgt,1401062400000,0,4,578,12,30,118,308,27,25
RFQB9Zgt,1401148800000,181,114,340,2,83,148,196,3,37
RFQB9Zgt,1401235200000,61,45,572,13,47,125,304,7,152
RFQB9Zgt,1401321600000,169,167,543,12,193,42,477,12,41
RFQB9Zgt,1401408000000,184,127,56,19,72,146,398,12,24
RFQB9Zgt,1401494400000,80,87,45,9,195,32,499,42,190
