user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
ST0Fx7[3,1388534400000,148,30,194,4,154,115,439,48,51
ST0Fx7[3,1388620800000,124,18,232,4,153,167,518,36,19
ST0Fx7[3,1388707200000,108,3,272,3,24,70,486,34,146
ST0Fx7[3,1388793600000,199,154,495,10,29,57,544,7,73
ST0Fx7[3,1388880000000,58,70,707,18,17,177,383,28,121
ST0Fx7[3,1388966400000,42,67,169,14,82,58,317,44,97
ST0Fx7[3,1389052800000,123,43,567,11,135,30,320,20,81
ST0Fx7[3,1389139200000,153,24,120,15,142,137,342,17,6
ST0Fx7[3,1389225600000,159,87,85,9,129,155,314,39,183
ST0Fx7[3,1389312000000,197,57,678,2,41,174,475,46,99
ST0Fx7[3,1389398400000,150,15,681,6,168,85,392,13,158
ST0Fx7[3,1389484800000,98,186,655,4,42,53,288,5,63
ST0Fx7[3,1389571200000,81,89,489,11,109,143,513,6,193
ST0Fx7[3,1389657600000,80,88,525,6,130,151,150,37,113
ST0Fx7[3,1389744000000,72,113,498,16,100,35,216,24,120
ST0Fx7[3,1389830400000,58,133,588,19,182,182,376,3,92
ST0Fx7[3,1389916800000,53,142,397,14,148,185,189,43,67
ST0Fx7[3,1390003200000,109,197,141,13,23,69,402,12,87
ST0Fx7[3,1390089600000,125,164,345,10,24,9,226,35,45
ST0Fx7[3,1390176000000,51,178,776,2,176,164,449,26,41
ST0Fx7[3,1390262400000,29,33,429,9,181,184,328,45,150
ST0Fx7[3,1390348800000,168,171,662,13,87,148,413,29,135
ST0Fx7[3,1390435200000,159,117,23,9,150,157,478,22,53
ST0Fx7[3,1390521600000,168,25,769,1,181,55,168,18,176
ST0Fx7[3,1390608000000,109,7,298,17,20,21,392,11,64
ST0Fx7[3,1390694400000,151,162,742,10,113,22,155,30,141
ST0Fx7[3,1390780800000,107,156,128,8,57,12,358,40,83
ST0Fx7[3,1390867200000,197,188,183,5,112,140,229,48,129
ST0Fx7[3,1390953600000,191,112,213,1,71,190,539,49,129
ST0Fx7[3,1391040000000,7,71,207,0,55,99,549,43,153
ST0Fx7[3,1391126400000,125,86,281,6,16,120,244,31,111
ST0Fx7[3,1391212800000,34,69,404,7,75,83,235,49,71
ST0Fx7[3,1391299200000,52,112,500,13,89,150,237,11,174
ST0Fx7[3,1391385600000,9,119,471,3,34,13,433,36,79
ST0Fx7[3,1391472000000,183,77,302,2,151,145,491,44,192
ST0Fx7[3,1391558400000,197,65,555,2,110,156,414,35,165
ST0Fx7[3,1391644800000,120,13,492,3,17,12,231,13,109
ST0Fx7[3,1391731200000,78,122,338,11,149,117,213,38,114
ST0Fx7[3,1391817600000,136,27,65,7,154,68,304,41,83
ST0Fx7[3,1391904000000,157,22,577,5,47,15,205,39,70
ST0Fx7[3,1391990400000,52,186,582,14,2,198,413,5,196
ST0Fx7[3,1392076800000,130,44,726,5,3,117,519,36,104
ST0Fx7[3,1392163200000,57,167,432,8,3,20,262,33,51
ST0Fx7[3,1392249600000,131,119,221,12,161,24,340,24,36
ST0Fx7[3,1392336000000,122,55,295,13,116,48,300,0,188
ST0Fx7[3,1392422400000,39,127,200,19,76,86,201,31,56
ST0Fx7[3,1392508800000,44,3,661,4,122,38,288,28,44
ST0Fx7[3,1392595200000,123,43,481,15,104,38,327,16,46
ST0Fx7[3,1392681600000,103,192,141,13,118,50,405,8,46
ST0Fx7[3,1392768000000,60,157,175,4,121,33,291,35,86
ST0Fx7[3,1392854400000,105,173,728,14,168,36,515,23,76
ST0Fx7[3,1392940800000,41,77,0,9,167,78,245,38,141
ST0Fx7[3,1393027200000,15,147,782,1,73,63,193,35,178
ST0Fx7[3,1393113600000,83,169,228,10,121,5,345,23,33
