user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
Sy6hymza,1412121600000,1450,1331,1520,14,806,1453,1552,24,1
Sy6hymza,1412208000000,1421,1331,1531,14,829,1470,1545,27,0
Sy6hymza,1412294400000,1450,1339,1537,14,851,1443,1525,23,0
Sy6hymza,1412380800000,1442,1350,1520,14,878,1440,1521,18,0
Sy6hymza,1412467200000,1414,1372,1549,14,891,1456,1547,13,0
Sy6hymza,1412553600000,1426,1357,1541,14,865,1457,1545,14,0
Sy6hymza,1412640000000,1448,1376,1522,14,841,1460,1560,11,0
Sy6hymza,1412726400000,1447,1395,1501,14,814,1468,1572,11,0
Sy6hymza,1412812800000,1430,1366,1529,14,827,1461,1598,11,0
Sy6hymza,1412899200000,1403,1338,1551,14,805,1463,1619,8,0
Sy6hymza,1412985600000,1373,1315,1577,14,813,1439,1640,11,0
Sy6hymza,1413072000000,1386,1329,1593,14,799,1411,1663,12,0
Sy6hymza,1413158400000,1394,1343,1595,14,787,1430,1675,13,0
Sy6hymza,1413244800000,1389,1350,1601,14,757,1450,1657,16,0
Sy6hymza,1413331200000,1392,1362,1578,14,734,1479,1637,16,0
Sy6hymza,1413417600000,1392,1341,1604,14,704,1465,1639,14,0
Sy6hymza,1413504000000,1370,1338,1599,14,714,1487,1667,9,0
Sy6hymza,1413590400000,1341,1343,1617,14,721,1491,1678,6,0
Sy6hymza,1413676800000,1344,1348,1597,14,743,1514,1677,8,0
Sy6hymza,1413763200000,1349,1375,1616,14,758,1534,1655,3,0
Sy6hymza,1413849600000,1326,1396,1629,14,733,1550,1644,4,0
Sy6hymza,1413936000000,1354,1402,1606,14,757,1578,1629,1,0
Sy6hymza,1414022400000,1374,1393,1599,14,743,1558,1607,2,0
Sy6hymza,1414108800000,1380,1393,1590,14,752,1576,1600,5,0
Sy6hymza,1414195200000,1391,1419,1586,14,725,1584,1612,7,0
Sy6hymza,1414281600000,1363,1421,1560,14,739,1578,1633,5,0
Sy6hymza,1414368000000,1336,1391,1568,14,760,1549,1628,4,0
Sy6hymza,1414454400000,1337,1381,1553,14,786,1526,1614,3,0
Sy6hymza,1414540800000,1359,1403,1567,14,758,1503,1638,4,0
Sy6hymza,1414627200000,1366,1393,1577,14,744,1489,1638,2,0
Sy6hymza,1414713600000,1364,1367,1555,14,745,1475,1609,1,0
