user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
TFHJHcsd,1409529600000,136,40,560,4,139,77,319,25,86
TFHJHcsd,1409616000000,99,158,241,13,168,111,222,31,9
TFHJHcsd,1409702400000,63,1,287,19,19,136,231,31,164
TFHJHcsd,1409788800000,56,63,709,10,10,121,477,3,186
TFHJHcsd,1409875200000,84,138,437,16,148,114,451,42,170
TFHJHcsd,1409961600000,182,9,697,11,107,27,474,49,78
TFHJHcsd,1410048000000,66,34,93,10,150,98,310,47,124
TFHJHcsd,1410134400000,115,35,85,4,127,14,485,19,48
TFHJHcsd,1410220800000,13,36,23,7,118,23,453,28,17
TFHJHcsd,1410307200000,31,54,125,17,123,52,293,30,193
TFHJHcsd,1410393600000,69,15,529,17,117,148,525,48,154
TFHJHcsd,1410480000000,11,176,96,2,31,87,431,22,89
TFHJHcsd,1410566400000,117,151,381,7,80,172,336,11,28
TFHJHcsd,1410652800000,34,30,149,16,194,187,319,35,41
TFHJHcsd,1410739200000,44,119,723,13,119,132,291,41,124
TFHJHcsd,1410825600000,56,40,617,2,2,64,320,14,166
TFHJHcsd,1410912000000,87,172,297,8,34,175,339,6,86
TFHJHcsd,1410998400000,198,38,372,17,96,142,393,2,58
TFHJHcsd,1411084800000,30,40,232,7,109,111,390,6,114
TFHJHcsd,1411171200000,68,22,526,17,90,83,171,40,4
TFHJHcsd,1411257600000,151,195,174,2,88,171,319,46,115
TFHJHcsd,1411344000000,150,198,152,1,189,156,343,3,87
TFHJHcsd,1411430400000,164,44,441,15,60,92,327,39,155
TFHJHcsd,1411516800000,51,148,522,6,25,97,394,20,151
TFHJHcsd,1411603200000,195,196,135,15,109,132,288,22,70
TFHJHcsd,1411689600000,176,71,343,2,151,57,207,35,23
TFHJHcsd,1411776000000,73,150,465,2,91,140,193,5,159
TFHJHcsd,1411862400000,164,79,384,18,165,108,487,1,9
TFHJHcsd,1411948800000,147,144,198,4,47,65,215,19,174
TFHJHcsd,1412035200000,155,118,307,15,174,78,477,19,43
