user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
VsVr66IC,1412121600000,1448,1228,1448,10,513,1654,1451,23,3
VsVr66IC,1412208000000,1454,1199,1477,10,487,1660,1460,24,3
VsVr66IC,1412294400000,1474,1171,1463,10,494,1684,1431,22,3
VsVr66IC,1412380800000,1495,1169,1439,10,476,1671,1419,26,3
VsVr66IC,1412467200000,1497,1147,1447,10,486,1676,1411,26,2
VsVr66IC,1412553600000,1499,1138,1436,10,511,1667,1384,27,1
VsVr66IC,1412640000000,1483,1158,1462,10,504,1656,1399,29,0
VsVr66IC,1412726400000,1484,1168,1467,10,529,1666,1394,28,0
VsVr66IC,1412812800000,1484,1186,1475,10,545,1691,1415,26,0
VsVr66IC,1412899200000,1503,1204,1452,10,521,1696,1409,25,0
VsVr66IC,1412985600000,1515,1229,1445,10,507,1671,1388,21,0
VsVr66IC,1413072000000,1489,1250,1451,10,499,1654,1384,23,0
VsVr66IC,1413158400000,1481,1275,1424,10,513,1683,1378,27,0
VsVr66IC,1413244800000,1468,1284,1398,10,504,1689,1368,27,0
VsVr66IC,1413331200000,1481,1290,1396,10,487,1686,1397,29,0
VsVr66IC,1413417600000,1500,1312,1390,10,494,1656,1398,28,0
VsVr66IC,1413504000000,1483,1330,1365,10,496,1637,1398,29,0
VsVr66IC,1413590400000,1457,1313,1386,10,499,1615,1414,33,0
VsVr66IC,1413676800000,1452,1288,1398,10,474,1589,1423,29,0
VsVr66IC,1413763200000,1478,1317,1397,10,469,1565,1396,33,0
VsVr66IC,1413849600000,1493,1312,1369,10,498,1544,1383,36,0
VsVr66IC,1413936000000,1473,1310,1373,10,476,1559,1378,40,0
VsVr66IC,1414022400000,1494,1282,1366,10,473,1536,1354,38,0
VsVr66IC,1414108800000,1521,1307,1365,10,476,1541,1381,36,0
VsVr66IC,1414195200000,1505,1333,1356,10,504,1522,1405,35,0
VsVr66IC,1414281600000,1510,1331,1342,10,503,1520,1379,33,0
VsVr66IC,1414368000000,1481,1322,1353,10,503,1511,1404,30,0
VsVr66IC,1414454400000,1504,1299,1336,10,496,1509,1424,27,0
VsVr66IC,1414540800000,1479,1304,1363,10,498,1479,1422,27,0
VsVr66IC,1414627200000,1493,1290,1344,10,475,1482,1409,22,0
VsVr66IC,1414713600000,1512,1296,1349,10,503,1501,1409,19,0
