user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
VxMCClfG,1404172800000,62,100,152,13,28,17,541,49,192
VxMCClfG,1404259200000,116,11,143,7,24,38,458,40,199
VxMCClfG,1404345600000,87,46,543,17,83,105,237,28,139
VxMCClfG,1404432000000,73,61,525,16,31,125,540,3,134
VxMCClfG,1404518400000,27,104,87,1,138,10,171,4,112
VxMCClfG,1404604800000,98,124,33,3,190,24,188,40,107
VxMCClfG,1404691200000,34,138,41,0,28,120,152,45,173
VxMCClfG,1404777600000,80,162,320,15,56,82,202,43,13
VxMCClfG,1404864000000,41,156,736,12,173,14,297,7,161
VxMCClfG,1404950400000,148,131,381,3,163,99,476,41,114
VxMCClfG,1405036800000,108,120,721,4,187,1,365,33,18
VxMCClfG,1405123200000,199,23,304,7,195,196,420,37,144
VxMCClfG,1405209600000,152,98,19,10,160,40,486,11,151
VxMCClfG,1405296000000,140,44,700,9,117,10,535,7,192
VxMCClfG,1405382400000,43,0,99,2,147,82,460,3,199
VxMCClfG,1405468800000,193,21,583,18,181,44,260,2,80
VxMCClfG,1405555200000,85,5,612,16,48,60,478,9,196
VxMCClfG,1405641600000,34,185,231,14,95,127,222,28,181
VxMCClfG,1405728000000,23,174,685,8,59,51,314,46,159
VxMCClfG,1405814400000,127,74,412,11,50,48,246,31,47
VxMCClfG,1405900800000,126,13,233,8,172,46,310,23,20
VxMCClfG,1405987200000,171,152,531,16,119,52,276,32,98
VxMCClfG,1406073600000,155,59,667,8,152,132,301,41,82
VxMCClfG,1406160000000,109,110,714,17,131,48,274,12,183
VxMCClfG,1406246400000,85,147,670,5,83,6,540,37,97
VxMCClfG,1406332800000,197,3,309,5,157,47,195,1,173
VxMCClfG,1406419200000,97,133,479,10,70,135,181,2,64
VxMCClfG,1406505600000,194,181,757,5,13,128,258,4,12
VxMCClfG,1406592000000,126,14,708,19,80,44,347,40,37
VxMCClfG,1406678400000,27,41,792,5,43,86,250,49,17
VxMCClfG,1406764800000,145,31,708,0,4,31,331,24,118
VxMCClfG,1406851200000,45,15,643,3,183,20,450,49,80
VxMCClfG,1406937600000,174,25,600,19,103,160,431,16,103
VxMCClfG,1407024000000,99,121,38,15,157,37,183,28,162
VxMCClfG,1407110400000,168,199,318,6,145,132,225,36,17
VxMCClfG,1407196800000,182,68,291,11,71,182,472,38,161
VxMCClfG,1407283200000,22,178,141,16,161,1,381,9,48
VxMCClfG,1407369600000,139,145,672,14,166,128,191,45,29
VxMCClfG,1407456000000,166,166,618,2,2,128,176,39,187
VxMCClfG,1407542400000,10,159,391,12,183,109,529,37,172
VxMCClfG,1407628800000,179,152,577,18,16,168,546,2,96
VxMCClfG,1407715200000,179,113,105,0,166,181,507,36,63
VxMCClfG,1407801600000,131,10,345,16,142,161,505,31,181
VxMCClfG,1407888000000,176,91,677,14,9,17,189,36,137
VxMCClfG,1407974400000,119,126,651,15,135,86,407,13,32
VxMCClfG,1408060800000,60,89,381,1,131,182,332,29,129
VxMCClfG,1408147200000,122,61,536,4,105,186,200,45,53
VxMCClfG,1408233600000,51,76,492,8,2,92,383,0,4
VxMCClfG,1408320000000,163,186,454,19,137,173,265,35,25
VxMCClfG,1408406400000,106,142,684,9,163,61,239,3,95
VxMCClfG,1408492800000,104,151,271,6,76,139,481,15,125
VxMCClfG,1408579200000,40,118,175,7,62,121,433,40,195
VxMCClfG,1408665600000,7,138,554,9,10,132,222,23,150
VxMCClfG,1408752000000,34,119,12,19,106,68,412,23,125
VxMCClfG,1408838400000,36,58,110,0,120,177,263,13,17
VxMCClfG,1408924800000,159,125,661,17,93,170,369,36,173
VxMCClfG,1409011200000,117,126,23,11,38,40,483,1,32
VxMCClfG,1409097600000,134,53,692,15,165,67,290,28,6
VxMCClfG,1409184000000,85,190,501,3,17,70,246,17,4
VxMCClfG,1409270400000,125,90,660,17,26,9,419,8,97
VxMCClfG,1409356800000,26,122,455,16,28,122,189,9,12
VxMCClfG,1409443200000,60,162,357,0,3,160,446,7,117
VxMCClfG,1409529600000,1,18,637,15,172,71,367,38,156
VxMCClfG,1409616000000,99,106,552,11,179,54,210,24,136
VxMCClfG,1409702400000,133,21,100,17,87,54,485,27,96
VxMCClfG,1409788800000,36,11,359,14,115,25,163,2,170
VxMCClfG,1409875200000,121,49,150,0,112,103,338,27,100
VxMCClfG,1409961600000,86,136,511,11,121,34,464,15,127
VxMCClfG,1410048000000,92,86,106,9,96,139,315,40,142
VxMCClfG,1410134400000,119,142,58,16,74,66,474,0,50
VxMCClfG,1410220800000,191,119,256,12,154,85,189,15,92
VxMCClfG,1410307200000,45,124,210,14,33,89,471,19,70
VxMCClfG,1410393600000,26,61,381,0,69,7,359,9,193
VxMCClfG,1410480000000,115,107,795,13,72,7,446,29,106
VxMCClfG,1410566400000,92,196,353,7,48,41,374,23,44
VxMCClfG,1410652800000,123,11,692,0,162,30,266,0,188
VxMCClfG,1410739200000,82,174,498,17,110,100,547,44,103
VxMCClfG,1410825600000,108,5,462,0,44,153,255,28,160
VxMCClfG,1410912000000,47,161,326,5,100,100,208,46,23
VxMCClfG,1410998400000,170,51,463,18,83,24,389,20,171
VxMCClfG,1411084800000,50,153,623,14,136,175,312,31,52
VxMCClfG,1411171200000,44,31,34,7,85,44,445,1,46
VxMCClfG,1411257600000,31,164,673,16,124,71,467,8,120
VxMCClfG,1411344000000,15,57,359,17,19,10,350,31,15
VxMCClfG,1411430400000,32,12,224,15,63,37,445,25,178
VxMCClfG,1411516800000,46,171,161,10,172,39,311,44,115
VxMCClfG,1411603200000,185,145,459,16,56,37,425,40,56
VxMCClfG,1411689600000,179,38,471,10,89,63,319,48,38
VxMCClfG,1411776000000,159,132,708,5,10,184,276,12,53
VxMCClfG,1411862400000,162,147,419,4,168,100,448,1,181
VxMCClfG,1411948800000,188,167,600,18,142,87,277,6,90
VxMCClfG,1412035200000,174,124,116,16,18,9,209,7,160
VxMCClfG,1412121600000,56,149,180,7,62,108,521,38,160
VxMCClfG,1412208000000,5,182,604,10,117,46,296,21,154
VxMCClfG,1412294400000,67,86,746,3,104,197,381,39,89
VxMCClfG,1412380800000,44,132,275,7,145,118,367,40,43
VxMCClfG,1412467200000,160,30,140,2,149,2,165,0,14
VxMCClfG,1412553600000,49,155,22,7,76,116,196,3,120
VxMCClfG,1412640000000,57,48,765,1,176,58,241,35,10
VxMCClfG,1412726400000,173,169,49,7,179,175,342,28,75
VxMCClfG,1412812800000,121,7,444,7,18,23,409,46,53
VxMCClfG,1412899200000,30,141,338,4,108,60,306,12,146
VxMCClfG,1412985600000,68,148,249,4,9,32,265,26,159
VxMCClfG,1413072000000,16,138,353,11,135,196,470,33,21
VxMCClfG,1413158400000,119,39,122,3,121,116,383,22,108
VxMCClfG,1413244800000,128,190,169,7,3,2,461,35,95
VxMCClfG,1413331200000,73,2,246,9,139,142,441,31,4
VxMCClfG,1413417600000,87,71,676,0,30,110,318,41,62
VxMCClfG,1413504000000,92,44,596,3,47,174,353,25,131
VxMCClfG,1413590400000,193,30,487,18,165,74,467,23,154
VxMCClfG,1413676800000,75,155,283,2,44,83,226,9,26
VxMCClfG,1413763200000,80,91,33,13,4,139,489,33,84
VxMCClfG,1413849600000,55,98,381,7,4,52,332,49,195
VxMCClfG,1413936000000,15,27,550,15,187,71,321,31,139
VxMCClfG,1414022400000,97,19,197,3,109,80,258,15,154
VxMCClfG,1414108800000,0,72,717,6,192,63,260,7,109
VxMCClfG,1414195200000,92,45,529,19,54,31,181,35,55
VxMCClfG,1414281600000,150,1,214,6,196,159,265,8,130
VxMCClfG,1414368000000,167,47,381,7,171,31,284,8,193
VxMCClfG,1414454400000,23,175,769,8,73,152,170,19,197
VxMCClfG,1414540800000,190,42,678,0,128,4,329,48,68
VxMCClfG,1414627200000,46,149,790,7,59,94,412,24,79
VxMCClfG,1414713600000,99,4,174,14,26,73,459,49,175
