user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
Wg22EkGK,1391212800000,34,166,689,13,190,142,249,7,185
Wg22EkGK,1391299200000,95,66,686,4,186,97,472,45,126
Wg22EkGK,1391385600000,156,186,32,5,188,130,208,22,11
Wg22EkGK,1391472000000,132,19,537,10,73,119,367,37,109
Wg22EkGK,1391558400000,11,41,701,12,161,149,340,24,147
Wg22EkGK,1391644800000,84,54,229,14,60,144,505,33,185
Wg22EkGK,1391731200000,33,78,629,13,67,31,192,7,186
Wg22EkGK,1391817600000,31,48,657,0,150,11,481,0,50
Wg22EkGK,1391904000000,129,151,235,6,141,75,241,48,179
Wg22EkGK,1391990400000,106,194,455,7,83,51,183,0,25
Wg22EkGK,1392076800000,169,11,722,18,61,142,466,42,58
Wg22EkGK,1392163200000,150,25,652,12,31,22,237,3,36
Wg22EkGK,1392249600000,136,31,357,13,37,65,264,37,80
Wg22EkGK,1392336000000,188,30,696,4,76,116,228,10,70
Wg22EkGK,1392422400000,47,138,314,15,146,70,523,0,20
Wg22EkGK,1392508800000,141,2,688,8,179,149,308,30,183
Wg22EkGK,1392595200000,24,55,589,10,192,141,276,5,6
Wg22EkGK,1392681600000,134,190,670,9,120,77,492,38,6
Wg22EkGK,1392768000000,28,142,60,14,1,106,156,41,192
Wg22EkGK,1392854400000,49,99,0,11,157,48,175,48,89
Wg22EkGK,1392940800000,142,189,639,10,34,98,394,44,193
Wg22EkGK,1393027200000,125,28,248,13,189,76,379,36,188
Wg22EkGK,1393113600000,84,163,474,8,87,73,256,16,183
Wg22EkGK,1393200000000,95,120,143,14,166,120,233,27,124
Wg22EkGK,1393286400000,85,75,458,6,43,113,333,48,72
Wg22EkGK,1393372800000,135,9,642,12,131,64,490,11,183
Wg22EkGK,1393459200000,147,55,484,13,46,164,368,46,135
Wg22EkGK,1393545600000,99,177,693,19,85,13,536,26,195
Wg22EkGK,1393632000000,102,59,796,5,151,53,295,6,29
Wg22EkGK,1393718400000,113,52,637,17,175,100,442,1,1
Wg22EkGK,1393804800000,29,28,576,14,79,118,334,45,159
Wg22EkGK,1393891200000,56,79,245,9,55,166,269,24,44
Wg22EkGK,1393977600000,70,6,267,2,161,191,285,37,123
Wg22EkGK,1394064000000,98,155,213,0,164,183,295,17,83
Wg22EkGK,1394150400000,135,149,303,19,4,19,386,20,108
Wg22EkGK,1394236800000,132,188,579,8,102,139,229,8,122
Wg22EkGK,1394323200000,182,169,281,0,146,59,159,27,43
Wg22EkGK,1394409600000,96,33,291,14,58,10,327,33,106
Wg22EkGK,1394496000000,67,145,601,1,10,183,446,36,162
Wg22EkGK,1394582400000,17,10,587,18,178,93,308,13,141
Wg22EkGK,1394668800000,155,18,253,18,186,125,499,29,7
Wg22EkGK,1394755200000,167,114,523,7,117,130,408,13,177
Wg22EkGK,1394841600000,187,180,712,2,81,168,246,24,81
Wg22EkGK,1394928000000,157,73,439,17,78,19,200,40,38
Wg22EkGK,1395014400000,176,172,518,17,60,20,493,36,164
Wg22EkGK,1395100800000,57,181,698,7,121,55,338,33,10
Wg22EkGK,1395187200000,9,119,656,11,72,98,476,46,154
Wg22EkGK,1395273600000,57,105,420,9,166,34,454,10,109
Wg22EkGK,1395360000000,139,30,288,10,50,4,200,6,1
Wg22EkGK,1395446400000,133,33,558,1,57,55,281,23,198
Wg22EkGK,1395532800000,167,174,787,0,102,95,287,48,15
Wg22EkGK,1395619200000,32,107,39,3,173,10,477,45,164
Wg22EkGK,1395705600000,107,137,603,4,165,197,473,15,29
Wg22EkGK,1395792000000,82,47,514,11,78,175,541,47,105
Wg22EkGK,1395878400000,11,90,368,13,66,192,471,4,188
Wg22EkGK,1395964800000,99,123,568,9,174,48,230,10,156
Wg22EkGK,1396051200000,121,9,683,7,143,92,457,25,57
Wg22EkGK,1396137600000,70,79,640,17,4,93,518,44,82
Wg22EkGK,1396224000000,91,66,530,10,30,88,179,21,39
Wg22EkGK,1396310400000,76,192,234,13,21,157,216,0,52
Wg22EkGK,1396396800000,19,154,655,4,81,129,299,13,82
Wg22EkGK,1396483200000,175,169,664,9,38,169,436,31,86
Wg22EkGK,1396569600000,198,24,653,1,148,117,480,25,37
Wg22EkGK,1396656000000,73,61,70,16,167,57,165,2,142
Wg22EkGK,1396742400000,1,178,181,10,73,80,354,33,147
Wg22EkGK,1396828800000,146,10,201,5,46,6,445,22,195
Wg22EkGK,1396915200000,145,131,256,10,195,0,417,38,183
Wg22EkGK,1397001600000,180,61,534,13,166,190,313,24,84
Wg22EkGK,1397088000000,133,45,357,19,50,93,151,16,137
Wg22EkGK,1397174400000,83,46,682,11,147,112,277,16,118
Wg22EkGK,1397260800000,194,79,236,8,32,178,478,18,142
Wg22EkGK,1397347200000,59,164,271,14,56,95,542,49,49
Wg22EkGK,1397433600000,190,148,375,8,66,26,214,13,167
Wg22EkGK,1397520000000,79,96,601,8,82,127,465,4,178
Wg22EkGK,1397606400000,78,165,786,19,37,108,177,1,126
Wg22EkGK,1397692800000,184,135,127,15,151,182,234,39,28
Wg22EkGK,1397779200000,174,37,417,2,12,197,470,35,91
Wg22EkGK,1397865600000,17,10,349,5,14,38,350,28,109
Wg22EkGK,1397952000000,178,195,297,12,107,178,345,14,173
Wg22EkGK,1398038400000,12,52,434,16,115,98,238,44,45
Wg22EkGK,1398124800000,184,49,380,18,52,85,232,1,89
Wg22EkGK,1398211200000,172,4,746,5,140,40,341,15,186
Wg22EkGK,1398297600000,195,197,342,6,66,86,316,17,46
Wg22EkGK,1398384000000,170,74,175,14,136,128,399,43,139
Wg22EkGK,1398470400000,160,90,455,7,191,24,368,3,93
