user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
WjXJxKSy,1404172800000,197,130,788,3,147,51,321,26,70
WjXJxKSy,1404259200000,71,58,524,2,159,166,262,40,190
WjXJxKSy,1404345600000,91,179,305,14,57,184,379,17,30
WjXJxKSy,1404432000000,103,116,222,0,11,116,253,1,175
WjXJxKSy,1404518400000,187,190,175,19,23,129,265,24,125
WjXJxKSy,1404604800000,116,174,586,7,48,148,323,35,186
WjXJxKSy,1404691200000,176,72,499,8,62,110,406,45,6
WjXJxKSy,1404777600000,169,93,120,10,23,75,314,44,163
WjXJxKSy,1404864000000,177,67,356,1,56,162,529,12,137
WjXJxKSy,1404950400000,29,0,0,5,121,69,275,19,78
WjXJxKSy,1405036800000,184,106,614,11,34,63,236,19,116
WjXJxKSy,1405123200000,155,151,501,1,75,29,271,12,19
WjXJxKSy,1405209600000,117,178,516,5,127,52,543,4,95
WjXJxKSy,1405296000000,39,10,524,4,128,162,476,6,146
WjXJxKSy,1405382400000,98,56,104,6,23,119,338,12,142
WjXJxKSy,1405468800000,82,139,620,6,152,141,429,36,69
WjXJxKSy,1405555200000,35,78,136,7,31,151,247,18,53
WjXJxKSy,1405641600000,55,112,545,9,134,103,250,15,88
WjXJxKSy,1405728000000,52,185,330,9,155,98,238,14,34
WjXJxKSy,1405814400000,130,173,469,6,64,77,365,10,126
WjXJxKSy,1405900800000,64,192,602,0,37,56,346,12,140
WjXJxKSy,1405987200000,164,101,747,18,115,168,456,2,63
WjXJxKSy,1406073600000,195,107,108,16,96,152,547,29,32
WjXJxKSy,1406160000000,30,177,127,10,182,91,318,47,66
WjXJxKSy,1406246400000,36,166,718,15,93,197,543,48,139
WjXJxKSy,1406332800000,40,41,29,15,170,179,399,34,89
WjXJxKSy,1406419200000,63,176,447,19,95,135,358,34,84
WjXJxKSy,1406505600000,177,187,142,19,45,32,494,26,187
WjXJxKSy,1406592000000,65,197,383,18,160,26,247,4,62
WjXJxKSy,1406678400000,6,61,32,6,136,159,208,37,155
WjXJxKSy,1406764800000,133,148,185,5,198,109,429,26,26
WjXJxKSy,1406851200000,190,44,713,7,157,186,342,28,98
WjXJxKSy,1406937600000,155,73,572,10,158,103,448,30,52
WjXJxKSy,1407024000000,149,190,726,15,10,108,385,12,160
WjXJxKSy,1407110400000,147,12,157,1,128,104,303,4,101
WjXJxKSy,1407196800000,103,104,84,3,22,173,252,38,25
WjXJxKSy,1407283200000,118,178,292,3,57,123,480,39,123
WjXJxKSy,1407369600000,177,138,357,9,34,37,533,29,191
WjXJxKSy,1407456000000,119,78,432,11,104,153,425,39,189
WjXJxKSy,1407542400000,112,107,683,15,49,146,162,49,112
WjXJxKSy,1407628800000,188,99,674,1,148,193,204,21,19
WjXJxKSy,1407715200000,154,160,411,3,92,27,308,34,19
WjXJxKSy,1407801600000,170,10,301,8,44,9,259,28,72
WjXJxKSy,1407888000000,52,90,642,8,85,163,354,20,32
WjXJxKSy,1407974400000,71,55,161,12,132,50,213,19,10
WjXJxKSy,1408060800000,153,183,741,8,130,117,347,6,116
WjXJxKSy,1408147200000,178,80,477,1,129,72,546,48,20
WjXJxKSy,1408233600000,144,29,524,16,123,145,193,34,102
WjXJxKSy,1408320000000,4,106,305,11,27,1,476,18,112
WjXJxKSy,1408406400000,148,87,614,11,159,148,390,17,63
WjXJxKSy,1408492800000,181,112,545,6,171,37,414,49,44
