user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
X9sgaKbU,1401580800000,1447,3506,1427,9,1448,1786,1460,24,0
X9sgaKbU,1401667200000,1434,3484,1444,9,1458,1805,1472,27,0
X9sgaKbU,1401753600000,1430,3472,1429,9,1479,1800,1464,22,0
X9sgaKbU,1401840000000,1402,3473,1407,9,1508,1770,1477,22,0
X9sgaKbU,1401926400000,1385,3494,1386,9,1528,1786,1457,23,0
X9sgaKbU,1402012800000,1378,3469,1405,9,1538,1760,1478,27,0
X9sgaKbU,1402099200000,1358,3458,1423,9,1564,1734,1462,22,0
X9sgaKbU,1402185600000,1337,3430,1429,9,1562,1718,1467,24,0
X9sgaKbU,1402272000000,1334,3456,1413,9,1569,1747,1459,26,0
X9sgaKbU,1402358400000,1333,3475,1386,9,1552,1730,1443,23,0
X9sgaKbU,1402444800000,1326,3465,1359,9,1558,1710,1455,25,0
X9sgaKbU,1402531200000,1299,3467,1331,9,1576,1716,1461,26,0
X9sgaKbU,1402617600000,1304,3481,1318,9,1592,1719,1434,22,0
X9sgaKbU,1402704000000,1330,3487,1338,9,1614,1702,1462,18,0
X9sgaKbU,1402790400000,1317,3494,1313,9,1635,1721,1489,13,0
X9sgaKbU,1402876800000,1289,3506,1287,9,1643,1745,1493,12,0
X9sgaKbU,1402963200000,1295,3490,1288,9,1649,1770,1491,13,0
X9sgaKbU,1403049600000,1303,3481,1278,9,1637,1777,1485,9,0
X9sgaKbU,1403136000000,1330,3452,1285,9,1620,1754,1481,5,0
X9sgaKbU,1403222400000,1355,3438,1312,9,1594,1783,1510,5,0
X9sgaKbU,1403308800000,1366,3455,1336,9,1583,1809,1519,2,0
X9sgaKbU,1403395200000,1389,3425,1313,9,1566,1830,1506,1,0
X9sgaKbU,1403481600000,1411,3431,1288,9,1551,1828,1526,5,0
X9sgaKbU,1403568000000,1408,3455,1311,9,1545,1832,1519,7,0
X9sgaKbU,1403654400000,1409,3457,1328,9,1553,1820,1515,7,0
X9sgaKbU,1403740800000,1419,3471,1352,9,1535,1818,1517,8,0
X9sgaKbU,1403827200000,1442,3475,1329,9,1560,1802,1497,3,0
X9sgaKbU,1403913600000,1466,3493,1341,9,1537,1827,1504,5,0
X9sgaKbU,1404000000000,1451,3499,1360,9,1532,1824,1497,6,0
X9sgaKbU,1404086400000,1449,3489,1388,9,1512,1840,1471,7,0
X9sgaKbU,1404172800000,1424,3518,1407,9,1534,1824,1443,6,0
X9sgaKbU,1404259200000,1420,3493,1434,9,1548,1796,1458,8,0
X9sgaKbU,1404345600000,1422,3498,1461,9,1568,1772,1487,6,0
X9sgaKbU,1404432000000,1438,3498,1472,9,1575,1748,1487,8,0
X9sgaKbU,1404518400000,1437,3516,1497,9,1603,1718,1490,5,0
X9sgaKbU,1404604800000,1420,3520,1501,9,1631,1742,1495,6,0
X9sgaKbU,1404691200000,1433,3543,1473,9,1614,1752,1467,5,0
X9sgaKbU,1404777600000,1439,3572,1501,9,1643,1722,1475,1,0
X9sgaKbU,1404864000000,1432,3545,1505,9,1619,1721,1496,2,0
X9sgaKbU,1404950400000,1431,3562,1503,9,1641,1716,1512,2,0
X9sgaKbU,1405036800000,1448,3540,1506,9,1667,1733,1489,0,0
X9sgaKbU,1405123200000,1435,3511,1527,9,1689,1715,1516,2,0
X9sgaKbU,1405209600000,1419,3500,1497,9,1687,1726,1520,4,0
X9sgaKbU,1405296000000,1438,3494,1474,9,1669,1704,1495,2,0
X9sgaKbU,1405382400000,1430,3487,1476,9,1653,1733,1511,3,0
X9sgaKbU,1405468800000,1454,3503,1483,9,1625,1721,1509,2,0
X9sgaKbU,1405555200000,1467,3499,1502,9,1598,1717,1531,0,0
X9sgaKbU,1405641600000,1437,3524,1492,9,1625,1700,1552,1,0
X9sgaKbU,1405728000000,1418,3525,1467,9,1613,1691,1576,5,0
