user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
ZFfpQnxh,1398902400000,320,3506,1696,10,1470,1447,1478,42,0
ZFfpQnxh,1398988800000,343,3511,1684,10,1474,1448,1461,45,0
ZFfpQnxh,1399075200000,330,3487,1654,10,1499,1463,1444,48,0
ZFfpQnxh,1399161600000,325,3497,1630,10,1481,1452,1420,52,0
ZFfpQnxh,1399248000000,333,3521,1647,10,1469,1478,1416,47,0
ZFfpQnxh,1399334400000,357,3530,1646,10,1458,1500,1422,47,0
ZFfpQnxh,1399420800000,335,3545,1642,10,1439,1528,1427,45,0
ZFfpQnxh,1399507200000,358,3542,1619,10,1420,1530,1425,47,0
ZFfpQnxh,1399593600000,348,3567,1647,10,1410,1549,1450,49,0
ZFfpQnxh,1399680000000,330,3590,1617,10,1382,1577,1459,45,0
ZFfpQnxh,1399766400000,349,3601,1623,10,1388,1598,1471,44,0
ZFfpQnxh,1399852800000,362,3623,1615,10,1409,1619,1489,39,0
ZFfpQnxh,1399939200000,345,3593,1586,10,1391,1600,1485,34,0
ZFfpQnxh,1400025600000,370,3622,1573,10,1369,1584,1502,36,0
ZFfpQnxh,1400112000000,368,3636,1554,10,1344,1560,1519,39,0
ZFfpQnxh,1400198400000,362,3622,1537,10,1335,1533,1530,35,0
ZFfpQnxh,1400284800000,385,3630,1520,10,1352,1552,1512,31,0
ZFfpQnxh,1400371200000,385,3629,1509,10,1336,1553,1519,30,0
ZFfpQnxh,1400457600000,380,3617,1485,10,1357,1569,1491,29,0
ZFfpQnxh,1400544000000,366,3601,1496,10,1329,1573,1475,33,0
ZFfpQnxh,1400630400000,384,3588,1508,10,1327,1594,1468,37,0
ZFfpQnxh,1400716800000,393,3608,1487,10,1307,1603,1443,40,0
ZFfpQnxh,1400803200000,401,3606,1459,10,1294,1615,1422,37,0
ZFfpQnxh,1400889600000,404,3579,1455,10,1299,1623,1400,38,0
ZFfpQnxh,1400976000000,385,3604,1465,10,1284,1606,1417,42,0
ZFfpQnxh,1401062400000,388,3612,1490,10,1275,1626,1411,40,0
ZFfpQnxh,1401148800000,380,3596,1480,10,1267,1650,1427,36,0
ZFfpQnxh,1401235200000,383,3611,1485,10,1256,1649,1417,31,0
ZFfpQnxh,1401321600000,354,3615,1479,10,1251,1674,1421,32,0
ZFfpQnxh,1401408000000,356,3633,1454,10,1238,1700,1432,32,0
ZFfpQnxh,1401494400000,336,3612,1433,10,1218,1683,1442,28,0
ZFfpQnxh,1401580800000,339,3612,1459,10,1228,1701,1466,28,0
ZFfpQnxh,1401667200000,336,3604,1434,10,1245,1679,1454,30,0
ZFfpQnxh,1401753600000,341,3619,1435,10,1238,1697,1425,27,0
ZFfpQnxh,1401840000000,316,3603,1419,10,1213,1668,1431,31,0
ZFfpQnxh,1401926400000,289,3623,1429,10,1192,1672,1422,28,0
ZFfpQnxh,1402012800000,280,3644,1412,10,1215,1684,1408,24,0
ZFfpQnxh,1402099200000,295,3672,1416,10,1214,1666,1405,26,0
ZFfpQnxh,1402185600000,285,3690,1445,10,1234,1641,1387,23,0
ZFfpQnxh,1402272000000,268,3704,1463,10,1229,1614,1397,22,0
ZFfpQnxh,1402358400000,294,3713,1448,10,1249,1613,1398,19,0
ZFfpQnxh,1402444800000,272,3696,1455,10,1261,1625,1374,14,0
ZFfpQnxh,1402531200000,262,3686,1480,10,1248,1636,1367,14,0
ZFfpQnxh,1402617600000,267,3688,1485,10,1268,1639,1378,9,0
ZFfpQnxh,1402704000000,279,3689,1480,10,1256,1639,1365,13,0
ZFfpQnxh,1402790400000,253,3705,1477,10,1258,1660,1350,13,0
ZFfpQnxh,1402876800000,261,3675,1469,10,1274,1660,1373,11,0
ZFfpQnxh,1402963200000,272,3671,1488,10,1253,1638,1365,13,0
ZFfpQnxh,1403049600000,250,3668,1468,10,1236,1664,1370,14,0
ZFfpQnxh,1403136000000,257,3694,1465,10,1227,1664,1357,15,0
ZFfpQnxh,1403222400000,278,3664,1491,10,1220,1639,1348,16,0
ZFfpQnxh,1403308800000,302,3693,1520,10,1248,1639,1361,15,0
ZFfpQnxh,1403395200000,330,3695,1531,10,1220,1630,1351,10,0
ZFfpQnxh,1403481600000,340,3723,1538,10,1231,1649,1374,12,0
ZFfpQnxh,1403568000000,322,3696,1532,10,1226,1669,1388,11,0
ZFfpQnxh,1403654400000,331,3699,1515,10,1247,1672,1406,11,0
ZFfpQnxh,1403740800000,335,3697,1493,10,1247,1694,1388,13,0
ZFfpQnxh,1403827200000,309,3685,1508,10,1267,1706,1385,16,0
ZFfpQnxh,1403913600000,332,3707,1536,10,1295,1716,1355,15,0
ZFfpQnxh,1404000000000,310,3682,1559,10,1319,1721,1338,10,0
ZFfpQnxh,1404086400000,305,3654,1578,10,1323,1750,1358,7,0
ZFfpQnxh,1404172800000,307,3640,1577,10,1351,1749,1343,7,0
ZFfpQnxh,1404259200000,301,3611,1596,10,1338,1725,1342,5,0
