user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
ZID[EOUK,1412121600000,1409,1485,1433,1,1450,1416,1485,25,2
ZID[EOUK,1412208000000,1425,1505,1458,1,1436,1413,1509,28,2
ZID[EOUK,1412294400000,1402,1508,1473,1,1460,1383,1512,24,2
ZID[EOUK,1412380800000,1380,1484,1455,1,1444,1382,1492,20,2
ZID[EOUK,1412467200000,1367,1512,1481,1,1459,1407,1490,21,1
ZID[EOUK,1412553600000,1340,1488,1494,1,1441,1434,1460,20,1
ZID[EOUK,1412640000000,1341,1487,1487,1,1426,1425,1477,21,1
ZID[EOUK,1412726400000,1344,1472,1514,1,1455,1431,1476,17,1
ZID[EOUK,1412812800000,1353,1488,1512,1,1470,1429,1447,14,1
ZID[EOUK,1412899200000,1337,1513,1535,1,1497,1458,1443,16,0
ZID[EOUK,1412985600000,1362,1528,1520,1,1487,1450,1427,18,0
ZID[EOUK,1413072000000,1349,1533,1490,1,1470,1440,1456,14,0
ZID[EOUK,1413158400000,1355,1510,1497,1,1456,1464,1431,18,0
ZID[EOUK,1413244800000,1349,1515,1472,1,1437,1449,1421,20,0
ZID[EOUK,1413331200000,1339,1525,1454,1,1460,1462,1406,21,0
ZID[EOUK,1413417600000,1324,1523,1477,1,1488,1450,1434,19,0
ZID[EOUK,1413504000000,1327,1505,1477,1,1505,1457,1417,23,0
ZID[EOUK,1413590400000,1325,1502,1488,1,1505,1431,1433,22,0
ZID[EOUK,1413676800000,1303,1516,1504,1,1505,1430,1447,17,0
ZID[EOUK,1413763200000,1316,1486,1514,1,1532,1434,1434,17,0
ZID[EOUK,1413849600000,1292,1484,1515,1,1517,1445,1419,16,0
ZID[EOUK,1413936000000,1272,1455,1488,1,1522,1415,1418,13,0
ZID[EOUK,1414022400000,1267,1478,1467,1,1501,1443,1391,14,0
ZID[EOUK,1414108800000,1269,1502,1466,1,1496,1426,1389,12,0
ZID[EOUK,1414195200000,1256,1504,1466,1,1472,1447,1382,16,0
ZID[EOUK,1414281600000,1261,1531,1479,1,1473,1452,1361,17,0
ZID[EOUK,1414368000000,1248,1539,1463,1,1499,1463,1375,15,0
ZID[EOUK,1414454400000,1272,1551,1447,1,1472,1469,1363,18,0
ZID[EOUK,1414540800000,1269,1542,1438,1,1496,1463,1378,14,0
ZID[EOUK,1414627200000,1261,1552,1434,1,1491,1473,1353,17,0
ZID[EOUK,1414713600000,1236,1530,1461,1,1467,1488,1354,13,0
