user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
[2cfnPKm,1401580800000,1476,1455,1429,5,170,1453,1277,26,0
[2cfnPKm,1401667200000,1496,1472,1434,5,177,1464,1285,27,0
[2cfnPKm,1401753600000,1492,1462,1412,5,205,1434,1270,26,0
[2cfnPKm,1401840000000,1477,1459,1385,5,179,1460,1269,27,0
[2cfnPKm,1401926400000,1464,1488,1390,5,195,1450,1282,31,0
[2cfnPKm,1402012800000,1462,1517,1419,5,205,1452,1306,35,0
[2cfnPKm,1402099200000,1443,1496,1423,5,189,1453,1331,35,0
[2cfnPKm,1402185600000,1447,1510,1400,5,203,1456,1315,37,0
[2cfnPKm,1402272000000,1441,1537,1416,5,188,1443,1320,36,0
[2cfnPKm,1402358400000,1420,1543,1434,5,204,1432,1341,35,0
[2cfnPKm,1402444800000,1445,1520,1412,5,230,1403,1312,35,0
[2cfnPKm,1402531200000,1456,1501,1432,5,258,1381,1327,37,0
[2cfnPKm,1402617600000,1470,1523,1446,5,251,1380,1316,33,0
[2cfnPKm,1402704000000,1473,1533,1427,5,261,1364,1329,35,0
[2cfnPKm,1402790400000,1456,1558,1401,5,268,1387,1331,39,0
[2cfnPKm,1402876800000,1426,1574,1397,5,267,1387,1322,42,0
[2cfnPKm,1402963200000,1429,1597,1378,5,279,1388,1347,41,0
[2cfnPKm,1403049600000,1403,1613,1407,5,253,1387,1363,39,0
[2cfnPKm,1403136000000,1392,1605,1402,5,282,1411,1355,35,0
[2cfnPKm,1403222400000,1386,1577,1417,5,259,1398,1337,37,0
[2cfnPKm,1403308800000,1378,1583,1387,5,253,1415,1358,40,0
[2cfnPKm,1403395200000,1397,1607,1357,5,256,1439,1369,39,0
[2cfnPKm,1403481600000,1379,1632,1366,5,245,1416,1369,42,0
[2cfnPKm,1403568000000,1352,1617,1344,5,264,1443,1379,39,0
[2cfnPKm,1403654400000,1371,1588,1350,5,273,1417,1374,40,0
[2cfnPKm,1403740800000,1342,1601,1332,5,295,1425,1392,39,0
[2cfnPKm,1403827200000,1349,1592,1319,5,320,1413,1420,37,0
[2cfnPKm,1403913600000,1323,1603,1309,5,344,1426,1441,35,0
[2cfnPKm,1404000000000,1351,1628,1338,5,314,1452,1456,37,0
[2cfnPKm,1404086400000,1358,1601,1316,5,326,1464,1460,37,0
[2cfnPKm,1404172800000,1341,1598,1298,5,321,1467,1442,37,0
[2cfnPKm,1404259200000,1328,1591,1327,5,349,1444,1452,37,0
[2cfnPKm,1404345600000,1328,1599,1355,5,356,1434,1438,38,0
[2cfnPKm,1404432000000,1300,1627,1374,5,380,1414,1436,41,0
[2cfnPKm,1404518400000,1295,1613,1373,5,379,1406,1407,38,0
[2cfnPKm,1404604800000,1266,1624,1370,5,363,1402,1387,36,0
[2cfnPKm,1404691200000,1271,1595,1342,5,350,1372,1412,33,0
[2cfnPKm,1404777600000,1281,1569,1363,5,366,1367,1399,28,0
[2cfnPKm,1404864000000,1299,1561,1339,5,336,1396,1401,24,0
[2cfnPKm,1404950400000,1294,1563,1347,5,333,1384,1423,22,0
[2cfnPKm,1405036800000,1285,1591,1356,5,360,1406,1420,21,0
[2cfnPKm,1405123200000,1275,1612,1349,5,386,1418,1443,25,0
[2cfnPKm,1405209600000,1269,1600,1361,5,402,1393,1440,27,0
[2cfnPKm,1405296000000,1244,1579,1390,5,413,1363,1422,26,0
[2cfnPKm,1405382400000,1227,1552,1417,5,425,1335,1423,21,0
[2cfnPKm,1405468800000,1238,1528,1409,5,446,1358,1410,24,0
[2cfnPKm,1405555200000,1257,1500,1398,5,453,1387,1409,25,0
[2cfnPKm,1405641600000,1277,1500,1394,5,446,1377,1417,21,0
[2cfnPKm,1405728000000,1283,1526,1391,5,426,1373,1414,24,0
[2cfnPKm,1405814400000,1286,1548,1362,5,454,1358,1441,22,0
[2cfnPKm,1405900800000,1275,1528,1380,5,434,1334,1428,17,0
[2cfnPKm,1405987200000,1283,1502,1382,5,451,1313,1444,16,0
[2cfnPKm,1406073600000,1298,1512,1402,5,472,1290,1420,20,0
[2cfnPKm,1406160000000,1302,1499,1416,5,456,1291,1445,24,0
[2cfnPKm,1406246400000,1284,1476,1407,5,467,1268,1455,22,0
[2cfnPKm,1406332800000,1289,1469,1413,5,459,1287,1456,18,0
[2cfnPKm,1406419200000,1291,1451,1390,5,484,1295,1468,17,0
[2cfnPKm,1406505600000,1295,1446,1395,5,469,1310,1466,21,0
[2cfnPKm,1406592000000,1273,1459,1381,5,491,1283,1449,23,0
[2cfnPKm,1406678400000,1301,1459,1395,5,520,1272,1445,27,0
[2cfnPKm,1406764800000,1317,1451,1418,5,506,1257,1415,23,0
