user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
[ROOugma,1401580800000,1447,1881,1447,10,1450,1463,1414,18,0
[ROOugma,1401667200000,1421,1891,1436,10,1463,1451,1406,19,0
[ROOugma,1401753600000,1440,1897,1440,10,1471,1433,1384,19,0
[ROOugma,1401840000000,1420,1870,1441,10,1447,1456,1410,23,0
[ROOugma,1401926400000,1422,1879,1448,10,1440,1441,1404,18,0
[ROOugma,1402012800000,1431,1877,1423,10,1432,1460,1407,20,0
[ROOugma,1402099200000,1416,1847,1399,10,1428,1457,1378,15,0
[ROOugma,1402185600000,1411,1874,1424,10,1440,1483,1407,13,0
[ROOugma,1402272000000,1391,1899,1398,10,1456,1456,1383,16,0
[ROOugma,1402358400000,1413,1910,1394,10,1453,1441,1368,15,0
[ROOugma,1402444800000,1417,1929,1395,10,1423,1466,1359,11,0
[ROOugma,1402531200000,1387,1939,1417,10,1427,1461,1359,6,0
[ROOugma,1402617600000,1386,1967,1440,10,1424,1452,1383,5,0
[ROOugma,1402704000000,1381,1990,1431,10,1432,1476,1394,6,0
[ROOugma,1402790400000,1368,1982,1446,10,1457,1492,1407,5,0
[ROOugma,1402876800000,1379,2006,1464,10,1454,1475,1382,2,0
[ROOugma,1402963200000,1398,2002,1492,10,1481,1488,1394,4,0
[ROOugma,1403049600000,1424,1997,1493,10,1479,1517,1387,8,0
[ROOugma,1403136000000,1419,1975,1472,10,1454,1532,1403,7,0
[ROOugma,1403222400000,1411,1987,1479,10,1477,1507,1406,8,0
[ROOugma,1403308800000,1431,1979,1504,10,1502,1487,1391,10,0
[ROOugma,1403395200000,1442,1990,1475,10,1495,1506,1389,9,0
[ROOugma,1403481600000,1422,2018,1474,10,1512,1527,1403,10,0
[ROOugma,1403568000000,1448,2038,1500,10,1483,1527,1414,8,0
[ROOugma,1403654400000,1444,2024,1528,10,1492,1553,1401,10,0
[ROOugma,1403740800000,1464,2012,1501,10,1474,1536,1420,7,0
[ROOugma,1403827200000,1457,2008,1472,10,1500,1517,1436,6,0
[ROOugma,1403913600000,1446,1988,1489,10,1528,1492,1440,6,0
[ROOugma,1404000000000,1471,1990,1506,10,1504,1474,1463,4,0
[ROOugma,1404086400000,1443,2006,1478,10,1523,1491,1460,1,0
[ROOugma,1404172800000,1472,2033,1487,10,1533,1494,1430,4,0
[ROOugma,1404259200000,1475,2008,1490,10,1536,1517,1420,5,0
[ROOugma,1404345600000,1456,2022,1513,10,1563,1532,1398,3,0
[ROOugma,1404432000000,1440,2024,1508,10,1579,1505,1403,0,0
[ROOugma,1404518400000,1456,1996,1537,10,1563,1501,1428,1,0
[ROOugma,1404604800000,1439,2005,1562,10,1569,1511,1434,2,0
[ROOugma,1404691200000,1427,1979,1578,10,1575,1522,1412,1,0
[ROOugma,1404777600000,1419,1984,1602,10,1569,1508,1423,4,0
[ROOugma,1404864000000,1410,2008,1578,10,1555,1478,1397,5,0
[ROOugma,1404950400000,1403,2021,1590,10,1563,1466,1420,6,0
[ROOugma,1405036800000,1432,1998,1560,10,1535,1494,1440,2,0
[ROOugma,1405123200000,1418,2014,1551,10,1505,1464,1451,2,0
[ROOugma,1405209600000,1431,2010,1579,10,1516,1492,1470,5,0
[ROOugma,1405296000000,1456,2013,1604,10,1545,1468,1458,6,0
