user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
aHU7CUkV,1409529600000,124,170,218,2,29,75,170,33,99
aHU7CUkV,1409616000000,162,178,646,9,9,85,264,8,107
aHU7CUkV,1409702400000,199,90,718,3,20,63,186,36,92
aHU7CUkV,1409788800000,96,37,656,11,166,174,521,10,71
aHU7CUkV,1409875200000,185,161,516,3,152,78,292,43,166
aHU7CUkV,1409961600000,161,152,284,1,107,191,399,35,128
aHU7CUkV,1410048000000,87,160,323,3,151,141,437,11,60
aHU7CUkV,1410134400000,53,1,431,0,170,144,240,15,138
aHU7CUkV,1410220800000,12,124,339,11,37,49,332,2,100
aHU7CUkV,1410307200000,142,129,184,15,42,134,528,16,190
aHU7CUkV,1410393600000,166,119,466,4,69,34,215,1,54
aHU7CUkV,1410480000000,2,137,59,16,119,6,500,9,159
aHU7CUkV,1410566400000,108,18,583,2,156,98,538,15,71
aHU7CUkV,1410652800000,36,49,324,13,117,146,298,13,34
aHU7CUkV,1410739200000,47,197,709,10,143,113,260,32,5
aHU7CUkV,1410825600000,103,37,645,0,139,25,231,31,83
aHU7CUkV,1410912000000,165,169,563,8,98,103,177,25,97
aHU7CUkV,1410998400000,50,64,731,5,169,102,493,44,117
aHU7CUkV,1411084800000,44,18,664,15,58,58,257,1,38
aHU7CUkV,1411171200000,106,105,231,19,36,188,176,33,63
aHU7CUkV,1411257600000,150,127,796,8,120,104,165,26,72
aHU7CUkV,1411344000000,76,150,689,2,192,26,458,18,142
aHU7CUkV,1411430400000,182,61,676,2,159,78,186,45,81
aHU7CUkV,1411516800000,48,0,603,2,178,28,326,25,131
aHU7CUkV,1411603200000,58,91,677,16,22,62,483,25,193
aHU7CUkV,1411689600000,177,165,342,13,68,9,164,7,135
aHU7CUkV,1411776000000,154,57,411,13,178,142,497,4,100
aHU7CUkV,1411862400000,45,57,501,14,121,54,519,25,14
aHU7CUkV,1411948800000,117,188,346,9,183,78,344,39,118
aHU7CUkV,1412035200000,112,152,681,3,191,57,348,37,138
