user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
cpx8yXBM,1414800000000,1429,3264,1428,10,1535,1449,1450,28,0
cpx8yXBM,1414886400000,1427,3290,1434,10,1563,1452,1469,28,0
cpx8yXBM,1414972800000,1411,3273,1405,10,1571,1481,1444,26,0
cpx8yXBM,1415059200000,1434,3270,1399,10,1555,1454,1443,30,0
cpx8yXBM,1415145600000,1455,3275,1417,10,1533,1476,1452,32,0
cpx8yXBM,1415232000000,1450,3290,1388,10,1542,1485,1457,35,0
cpx8yXBM,1415318400000,1464,3273,1403,10,1525,1461,1454,35,0
cpx8yXBM,1415404800000,1444,3257,1413,10,1495,1476,1468,31,0
cpx8yXBM,1415491200000,1448,3236,1398,10,1497,1451,1453,31,0
cpx8yXBM,1415577600000,1422,3206,1372,10,1500,1480,1446,30,0
cpx8yXBM,1415664000000,1435,3200,1369,10,1524,1502,1434,30,0
cpx8yXBM,1415750400000,1414,3200,1363,10,1530,1514,1410,33,0
cpx8yXBM,1415836800000,1394,3176,1353,10,1546,1534,1407,32,0
cpx8yXBM,1415923200000,1406,3193,1336,10,1545,1534,1384,33,0
cpx8yXBM,1416009600000,1382,3172,1336,10,1522,1542,1412,37,0
cpx8yXBM,1416096000000,1398,3160,1314,10,1529,1539,1400,34,0
cpx8yXBM,1416182400000,1369,3188,1333,10,1514,1560,1378,38,0
cpx8yXBM,1416268800000,1383,3193,1361,10,1526,1540,1388,33,0
cpx8yXBM,1416355200000,1393,3218,1374,10,1544,1567,1376,35,0
cpx8yXBM,1416441600000,1415,3203,1397,10,1532,1590,1383,33,0
cpx8yXBM,1416528000000,1433,3215,1388,10,1529,1580,1397,34,0
cpx8yXBM,1416614400000,1446,3199,1378,10,1555,1553,1369,33,0
cpx8yXBM,1416700800000,1467,3220,1395,10,1559,1550,1350,33,0
cpx8yXBM,1416787200000,1486,3207,1414,10,1566,1553,1329,37,0
cpx8yXBM,1416873600000,1467,3210,1417,10,1557,1560,1315,32,0
cpx8yXBM,1416960000000,1441,3230,1442,10,1555,1560,1328,29,0
cpx8yXBM,1417046400000,1425,3245,1469,10,1539,1568,1323,28,0
cpx8yXBM,1417132800000,1411,3264,1472,10,1535,1581,1350,25,0
cpx8yXBM,1417219200000,1416,3244,1489,10,1535,1554,1362,28,0
cpx8yXBM,1417305600000,1415,3237,1492,10,1529,1539,1380,32,0
