user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
dQEMrjYm,1396310400000,1451,1455,4090,15,1452,1450,1450,10,0
dQEMrjYm,1396396800000,1459,1460,4081,15,1429,1455,1477,13,0
dQEMrjYm,1396483200000,1469,1468,4079,15,1419,1437,1451,15,0
dQEMrjYm,1396569600000,1461,1441,4062,15,1431,1450,1453,11,0
dQEMrjYm,1396656000000,1463,1438,4040,15,1443,1459,1428,8,0
dQEMrjYm,1396742400000,1447,1451,4045,15,1424,1475,1405,5,0
dQEMrjYm,1396828800000,1427,1449,4033,15,1402,1502,1383,7,0
dQEMrjYm,1396915200000,1397,1459,4050,15,1377,1517,1359,7,0
dQEMrjYm,1397001600000,1392,1466,4062,15,1368,1533,1340,5,0
dQEMrjYm,1397088000000,1374,1452,4044,15,1340,1537,1346,1,0
dQEMrjYm,1397174400000,1362,1481,4049,15,1338,1554,1346,3,0
dQEMrjYm,1397260800000,1334,1472,4033,15,1361,1536,1347,7,0
dQEMrjYm,1397347200000,1338,1446,4052,15,1337,1532,1323,7,0
dQEMrjYm,1397433600000,1337,1433,4062,15,1321,1546,1299,11,0
dQEMrjYm,1397520000000,1328,1442,4062,15,1340,1571,1293,6,0
dQEMrjYm,1397606400000,1322,1433,4091,15,1359,1586,1320,10,0
dQEMrjYm,1397692800000,1300,1438,4075,15,1379,1615,1341,8,0
dQEMrjYm,1397779200000,1273,1419,4072,15,1374,1591,1345,8,0
dQEMrjYm,1397865600000,1253,1415,4068,15,1377,1587,1366,7,0
dQEMrjYm,1397952000000,1278,1438,4078,15,1349,1569,1350,7,0
dQEMrjYm,1398038400000,1253,1460,4065,15,1349,1544,1375,2,0
dQEMrjYm,1398124800000,1261,1436,4038,15,1324,1559,1383,0,0
dQEMrjYm,1398211200000,1245,1448,4048,15,1305,1529,1401,2,0
dQEMrjYm,1398297600000,1226,1465,4076,15,1312,1541,1415,5,0
dQEMrjYm,1398384000000,1252,1474,4088,15,1311,1558,1399,9,0
dQEMrjYm,1398470400000,1276,1449,4115,15,1290,1541,1406,13,0
dQEMrjYm,1398556800000,1277,1433,4122,15,1291,1528,1428,13,0
dQEMrjYm,1398643200000,1260,1454,4149,15,1287,1537,1452,8,0
dQEMrjYm,1398729600000,1256,1436,4165,15,1292,1540,1428,6,0
dQEMrjYm,1398816000000,1285,1419,4163,15,1282,1529,1426,3,0
dQEMrjYm,1398902400000,1314,1428,4155,15,1266,1522,1424,3,0
dQEMrjYm,1398988800000,1306,1430,4145,15,1247,1544,1428,2,0
dQEMrjYm,1399075200000,1276,1448,4117,15,1256,1535,1399,4,0
dQEMrjYm,1399161600000,1274,1454,4118,15,1264,1526,1398,7,0
dQEMrjYm,1399248000000,1293,1461,4125,15,1282,1534,1425,9,0
dQEMrjYm,1399334400000,1319,1451,4131,15,1280,1530,1418,13,0
dQEMrjYm,1399420800000,1331,1436,4128,15,1299,1508,1425,13,0
dQEMrjYm,1399507200000,1317,1450,4132,15,1289,1529,1449,16,0
dQEMrjYm,1399593600000,1323,1451,4115,15,1269,1546,1454,20,0
dQEMrjYm,1399680000000,1351,1471,4142,15,1250,1538,1467,19,0
dQEMrjYm,1399766400000,1348,1477,4140,15,1274,1560,1482,17,0
dQEMrjYm,1399852800000,1330,1456,4126,15,1270,1552,1458,15,0
dQEMrjYm,1399939200000,1339,1456,4112,15,1254,1551,1452,16,0
dQEMrjYm,1400025600000,1331,1441,4133,15,1277,1544,1447,12,0
dQEMrjYm,1400112000000,1353,1461,4115,15,1285,1545,1434,13,0
dQEMrjYm,1400198400000,1343,1439,4140,15,1275,1542,1452,10,0
dQEMrjYm,1400284800000,1339,1467,4134,15,1287,1524,1428,5,0
dQEMrjYm,1400371200000,1311,1443,4151,15,1315,1548,1415,8,0
dQEMrjYm,1400457600000,1329,1429,4175,15,1329,1577,1427,7,0
dQEMrjYm,1400544000000,1336,1453,4204,15,1329,1553,1411,7,0
dQEMrjYm,1400630400000,1346,1471,4225,15,1315,1529,1428,8,0
dQEMrjYm,1400716800000,1349,1495,4246,15,1323,1518,1450,4,0
dQEMrjYm,1400803200000,1370,1514,4243,15,1299,1498,1458,4,0
dQEMrjYm,1400889600000,1386,1515,4226,15,1298,1479,1468,7,0
dQEMrjYm,1400976000000,1413,1510,4239,15,1272,1475,1484,2,0
dQEMrjYm,1401062400000,1390,1504,4212,15,1271,1482,1504,4,0
dQEMrjYm,1401148800000,1409,1512,4208,15,1287,1475,1488,3,0
dQEMrjYm,1401235200000,1410,1489,4230,15,1298,1450,1492,4,0
dQEMrjYm,1401321600000,1418,1506,4253,15,1310,1420,1517,6,0
dQEMrjYm,1401408000000,1405,1528,4279,15,1334,1412,1506,2,0
dQEMrjYm,1401494400000,1404,1514,4285,15,1306,1422,1480,4,0
dQEMrjYm,1401580800000,1401,1531,4313,15,1312,1417,1478,6,0
dQEMrjYm,1401667200000,1417,1555,4331,15,1325,1396,1492,3,0
dQEMrjYm,1401753600000,1395,1536,4349,15,1299,1392,1464,6,0
dQEMrjYm,1401840000000,1371,1560,4323,15,1294,1409,1480,2,0
dQEMrjYm,1401926400000,1363,1577,4294,15,1265,1433,1476,5,0
dQEMrjYm,1402012800000,1348,1553,4264,15,1291,1456,1449,4,0
dQEMrjYm,1402099200000,1321,1576,4250,15,1317,1479,1423,8,0
dQEMrjYm,1402185600000,1307,1596,4230,15,1294,1477,1393,7,0
dQEMrjYm,1402272000000,1278,1603,4213,15,1318,1501,1391,7,0
dQEMrjYm,1402358400000,1306,1598,4233,15,1301,1483,1371,10,0
dQEMrjYm,1402444800000,1283,1613,4204,15,1284,1491,1372,14,0
dQEMrjYm,1402531200000,1304,1594,4233,15,1284,1484,1377,18,0
dQEMrjYm,1402617600000,1308,1618,4230,15,1259,1495,1372,22,0
dQEMrjYm,1402704000000,1287,1596,4204,15,1268,1521,1364,20,0
dQEMrjYm,1402790400000,1282,1605,4229,15,1290,1533,1359,20,0
dQEMrjYm,1402876800000,1289,1627,4230,15,1281,1551,1349,18,0
dQEMrjYm,1402963200000,1273,1637,4218,15,1255,1556,1377,19,0
dQEMrjYm,1403049600000,1269,1629,4215,15,1234,1537,1380,19,0
dQEMrjYm,1403136000000,1268,1606,4240,15,1222,1547,1378,14,0
dQEMrjYm,1403222400000,1257,1599,4238,15,1250,1535,1358,14,0
dQEMrjYm,1403308800000,1258,1604,4252,15,1264,1508,1376,13,0
dQEMrjYm,1403395200000,1254,1608,4262,15,1245,1504,1385,14,0
dQEMrjYm,1403481600000,1259,1581,4245,15,1239,1480,1384,12,0
dQEMrjYm,1403568000000,1239,1604,4242,15,1228,1505,1366,15,0
dQEMrjYm,1403654400000,1246,1626,4244,15,1228,1489,1387,13,0
dQEMrjYm,1403740800000,1250,1610,4247,15,1229,1464,1363,13,0
dQEMrjYm,1403827200000,1262,1595,4222,15,1227,1485,1392,8,0
dQEMrjYm,1403913600000,1281,1603,4210,15,1219,1514,1413,8,0
dQEMrjYm,1404000000000,1267,1601,4208,15,1191,1496,1403,5,0
dQEMrjYm,1404086400000,1249,1591,4202,15,1172,1515,1391,5,0
