user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
daEOPqvX,1412121600000,453,1422,1451,7,1448,1454,1448,32,0
daEOPqvX,1412208000000,469,1439,1428,7,1439,1453,1476,33,0
daEOPqvX,1412294400000,485,1467,1425,7,1440,1446,1459,35,0
daEOPqvX,1412380800000,514,1447,1447,7,1435,1431,1488,39,0
daEOPqvX,1412467200000,534,1456,1462,7,1425,1416,1491,38,0
daEOPqvX,1412553600000,554,1446,1477,7,1409,1386,1485,33,0
daEOPqvX,1412640000000,557,1466,1482,7,1389,1411,1509,35,0
daEOPqvX,1412726400000,570,1437,1458,7,1386,1427,1505,37,0
daEOPqvX,1412812800000,544,1425,1450,7,1388,1408,1501,35,0
daEOPqvX,1412899200000,533,1410,1437,7,1406,1409,1518,32,0
daEOPqvX,1412985600000,522,1410,1414,7,1376,1397,1518,27,0
daEOPqvX,1413072000000,527,1419,1408,7,1377,1379,1529,28,0
daEOPqvX,1413158400000,544,1443,1409,7,1403,1390,1526,31,0
daEOPqvX,1413244800000,554,1468,1395,7,1410,1375,1510,29,0
daEOPqvX,1413331200000,565,1469,1423,7,1388,1403,1496,25,0
daEOPqvX,1413417600000,592,1439,1452,7,1372,1412,1499,24,0
daEOPqvX,1413504000000,603,1460,1445,7,1347,1425,1475,28,0
daEOPqvX,1413590400000,592,1472,1467,7,1348,1448,1458,30,0
daEOPqvX,1413676800000,571,1488,1458,7,1365,1473,1464,26,0
daEOPqvX,1413763200000,555,1464,1467,7,1345,1446,1456,26,0
daEOPqvX,1413849600000,566,1434,1477,7,1364,1416,1451,21,0
daEOPqvX,1413936000000,573,1437,1484,7,1374,1409,1474,20,0
daEOPqvX,1414022400000,543,1417,1479,7,1372,1433,1473,19,0
daEOPqvX,1414108800000,572,1446,1485,7,1343,1461,1456,22,0
daEOPqvX,1414195200000,546,1444,1474,7,1330,1464,1435,25,0
daEOPqvX,1414281600000,571,1466,1455,7,1300,1474,1447,20,0
daEOPqvX,1414368000000,567,1458,1477,7,1275,1493,1422,19,0
daEOPqvX,1414454400000,566,1471,1496,7,1303,1511,1402,17,0
daEOPqvX,1414540800000,557,1497,1482,7,1286,1509,1425,18,0
daEOPqvX,1414627200000,533,1510,1474,7,1271,1508,1425,19,0
daEOPqvX,1414713600000,562,1498,1486,7,1259,1478,1414,21,0
daEOPqvX,1414800000000,579,1523,1512,7,1277,1468,1427,21,0
daEOPqvX,1414886400000,605,1519,1523,7,1293,1446,1414,18,0
daEOPqvX,1414972800000,583,1521,1539,7,1298,1455,1433,18,0
daEOPqvX,1415059200000,564,1544,1559,7,1287,1483,1421,14,0
daEOPqvX,1415145600000,573,1514,1565,7,1304,1466,1413,18,0
daEOPqvX,1415232000000,593,1492,1549,7,1287,1465,1407,14,0
daEOPqvX,1415318400000,601,1520,1522,7,1291,1444,1388,14,0
daEOPqvX,1415404800000,588,1520,1494,7,1303,1432,1391,18,0
daEOPqvX,1415491200000,585,1530,1511,7,1295,1404,1369,18,0
daEOPqvX,1415577600000,561,1518,1506,7,1298,1425,1392,22,0
daEOPqvX,1415664000000,566,1488,1497,7,1275,1397,1385,26,0
daEOPqvX,1415750400000,557,1501,1506,7,1249,1385,1367,30,0
daEOPqvX,1415836800000,556,1491,1502,7,1230,1399,1355,31,0
daEOPqvX,1415923200000,573,1467,1473,7,1226,1402,1366,31,0
daEOPqvX,1416009600000,568,1438,1469,7,1233,1379,1352,34,0
daEOPqvX,1416096000000,539,1437,1491,7,1256,1395,1328,35,0
daEOPqvX,1416182400000,565,1462,1492,7,1284,1417,1342,36,0
daEOPqvX,1416268800000,561,1450,1521,7,1275,1412,1330,36,0
daEOPqvX,1416355200000,562,1433,1541,7,1251,1423,1329,32,0
daEOPqvX,1416441600000,589,1459,1541,7,1236,1402,1317,27,0
daEOPqvX,1416528000000,594,1468,1531,7,1214,1414,1334,24,0
daEOPqvX,1416614400000,600,1461,1542,7,1226,1426,1362,20,0
daEOPqvX,1416700800000,597,1458,1559,7,1232,1447,1388,20,0
daEOPqvX,1416787200000,594,1442,1572,7,1261,1457,1361,16,0
daEOPqvX,1416873600000,622,1432,1578,7,1262,1449,1344,17,0
daEOPqvX,1416960000000,639,1435,1549,7,1244,1428,1373,21,0
daEOPqvX,1417046400000,651,1451,1562,7,1259,1427,1359,24,0
daEOPqvX,1417132800000,621,1441,1532,7,1230,1415,1376,21,0
daEOPqvX,1417219200000,620,1459,1548,7,1212,1405,1401,19,0
daEOPqvX,1417305600000,638,1459,1570,7,1185,1385,1395,16,0
