user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
gCQnaDZP,1404172800000,146,16,156,7,80,131,536,21,46
gCQnaDZP,1404259200000,196,32,629,7,99,165,428,33,32
gCQnaDZP,1404345600000,119,129,742,15,4,106,465,32,94
gCQnaDZP,1404432000000,97,148,686,6,149,50,285,21,40
gCQnaDZP,1404518400000,55,193,332,18,82,120,399,49,93
gCQnaDZP,1404604800000,84,55,147,2,148,22,386,15,42
gCQnaDZP,1404691200000,90,164,166,10,186,58,456,14,107
gCQnaDZP,1404777600000,22,189,498,15,104,141,364,0,135
gCQnaDZP,1404864000000,141,39,717,2,171,91,530,16,110
gCQnaDZP,1404950400000,81,110,585,19,34,113,503,17,164
gCQnaDZP,1405036800000,101,76,623,1,62,141,496,10,11
gCQnaDZP,1405123200000,185,35,223,2,168,160,477,24,111
gCQnaDZP,1405209600000,15,150,203,19,153,65,326,11,140
gCQnaDZP,1405296000000,150,53,506,11,14,193,288,49,1
gCQnaDZP,1405382400000,130,77,471,3,159,131,525,30,186
gCQnaDZP,1405468800000,170,109,646,16,52,110,450,1,172
gCQnaDZP,1405555200000,129,68,631,4,198,113,405,4,110
gCQnaDZP,1405641600000,136,148,106,1,192,103,530,17,152
gCQnaDZP,1405728000000,176,171,108,0,49,118,202,32,152
gCQnaDZP,1405814400000,175,157,262,13,56,72,287,36,41
gCQnaDZP,1405900800000,90,81,97,11,68,189,373,2,105
gCQnaDZP,1405987200000,29,10,705,7,136,39,193,9,168
gCQnaDZP,1406073600000,190,130,385,19,74,138,480,6,92
gCQnaDZP,1406160000000,184,169,745,8,163,48,211,44,16
gCQnaDZP,1406246400000,24,52,325,19,20,111,161,17,93
gCQnaDZP,1406332800000,19,129,181,8,58,89,524,47,15
gCQnaDZP,1406419200000,16,5,761,4,14,1,358,15,16
gCQnaDZP,1406505600000,116,165,773,10,22,180,369,34,156
gCQnaDZP,1406592000000,162,149,443,9,184,107,313,13,192
gCQnaDZP,1406678400000,162,89,350,3,44,182,474,31,171
gCQnaDZP,1406764800000,104,134,228,7,88,30,157,34,181
