user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
hiEwevU1,1406851200000,118,39,539,0,50,10,431,38,71
hiEwevU1,1406937600000,91,196,289,13,170,187,208,29,18
hiEwevU1,1407024000000,87,110,161,7,16,128,291,45,120
hiEwevU1,1407110400000,39,119,565,16,53,54,509,23,28
hiEwevU1,1407196800000,43,76,141,15,58,72,308,11,62
hiEwevU1,1407283200000,8,148,669,10,23,144,514,22,27
hiEwevU1,1407369600000,195,133,150,10,46,128,350,8,146
hiEwevU1,1407456000000,30,189,746,18,132,126,350,33,34
hiEwevU1,1407542400000,98,167,586,10,6,138,286,14,197
hiEwevU1,1407628800000,137,72,282,9,14,22,388,35,33
hiEwevU1,1407715200000,195,187,645,18,199,21,221,32,133
hiEwevU1,1407801600000,176,30,343,5,181,72,453,4,113
hiEwevU1,1407888000000,31,38,312,1,190,101,295,34,143
hiEwevU1,1407974400000,56,131,10,15,70,52,311,8,182
hiEwevU1,1408060800000,83,197,436,2,71,131,355,49,180
hiEwevU1,1408147200000,91,32,601,12,198,100,409,7,169
hiEwevU1,1408233600000,101,15,379,17,91,199,272,3,162
hiEwevU1,1408320000000,78,119,620,3,13,75,321,16,71
hiEwevU1,1408406400000,138,147,390,10,67,10,245,21,35
hiEwevU1,1408492800000,199,176,489,1,176,121,535,25,122
hiEwevU1,1408579200000,153,74,320,19,91,156,350,32,16
hiEwevU1,1408665600000,57,105,305,8,123,194,253,3,158
hiEwevU1,1408752000000,66,49,414,15,90,4,496,4,93
hiEwevU1,1408838400000,103,24,252,18,141,185,367,12,117
hiEwevU1,1408924800000,180,154,489,5,108,99,420,42,95
hiEwevU1,1409011200000,22,146,465,19,23,28,460,11,13
hiEwevU1,1409097600000,27,111,644,14,135,31,208,32,106
hiEwevU1,1409184000000,51,191,750,14,101,177,235,2,76
hiEwevU1,1409270400000,176,4,769,17,85,183,429,14,41
hiEwevU1,1409356800000,180,47,481,18,101,87,254,4,93
hiEwevU1,1409443200000,49,70,433,17,154,141,340,41,37
