user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
j[nkPiJv,1414800000000,27,23,207,19,110,142,321,24,33
j[nkPiJv,1414886400000,84,104,35,10,189,182,198,28,159
j[nkPiJv,1414972800000,35,109,55,14,86,30,404,9,63
j[nkPiJv,1415059200000,46,195,170,17,133,65,183,9,131
j[nkPiJv,1415145600000,105,188,457,19,4,145,549,11,149
j[nkPiJv,1415232000000,196,110,436,16,87,46,267,42,82
j[nkPiJv,1415318400000,187,183,749,8,15,106,517,40,126
j[nkPiJv,1415404800000,46,19,141,4,34,154,441,12,135
j[nkPiJv,1415491200000,124,95,26,13,102,143,187,13,57
j[nkPiJv,1415577600000,115,28,749,3,1,67,221,36,8
j[nkPiJv,1415664000000,139,27,695,19,8,15,473,15,179
j[nkPiJv,1415750400000,163,127,328,8,166,113,179,32,167
j[nkPiJv,1415836800000,118,100,544,13,187,162,299,9,156
j[nkPiJv,1415923200000,134,1,652,6,64,40,514,29,100
j[nkPiJv,1416009600000,198,138,569,19,72,117,222,4,73
j[nkPiJv,1416096000000,175,161,724,6,22,149,164,26,6
j[nkPiJv,1416182400000,113,144,607,14,186,113,466,13,5
j[nkPiJv,1416268800000,6,23,356,12,132,182,216,8,14
j[nkPiJv,1416355200000,100,148,514,2,104,32,321,18,111
j[nkPiJv,1416441600000,95,151,739,9,191,196,512,43,160
j[nkPiJv,1416528000000,50,82,113,4,190,101,298,41,57
j[nkPiJv,1416614400000,9,94,774,1,47,89,403,10,158
j[nkPiJv,1416700800000,183,154,523,1,48,74,452,21,144
j[nkPiJv,1416787200000,99,125,258,11,77,94,276,25,150
j[nkPiJv,1416873600000,48,10,370,12,77,72,363,49,125
j[nkPiJv,1416960000000,30,54,620,18,61,116,412,6,92
j[nkPiJv,1417046400000,126,166,604,10,15,44,304,41,174
j[nkPiJv,1417132800000,34,116,703,18,51,83,371,43,39
j[nkPiJv,1417219200000,128,126,247,16,36,57,546,8,16
j[nkPiJv,1417305600000,199,61,759,8,66,9,500,22,17
