user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
lWVRwRXE,1396310400000,131,86,230,8,41,185,277,21,50
lWVRwRXE,1396396800000,158,158,237,0,133,139,458,24,120
lWVRwRXE,1396483200000,78,74,586,10,182,194,544,45,10
lWVRwRXE,1396569600000,157,168,391,10,14,183,327,13,80
lWVRwRXE,1396656000000,86,118,480,1,0,185,479,10,135
lWVRwRXE,1396742400000,3,114,265,4,179,52,490,20,154
lWVRwRXE,1396828800000,133,143,445,13,112,116,309,12,186
lWVRwRXE,1396915200000,38,177,595,18,120,50,522,10,103
lWVRwRXE,1397001600000,96,32,533,10,32,121,190,17,181
lWVRwRXE,1397088000000,37,132,261,13,32,74,529,25,104
lWVRwRXE,1397174400000,136,55,290,14,113,29,266,2,128
lWVRwRXE,1397260800000,82,190,492,13,85,63,384,39,140
lWVRwRXE,1397347200000,88,94,799,3,139,34,152,2,43
lWVRwRXE,1397433600000,118,3,505,16,11,11,394,1,44
lWVRwRXE,1397520000000,58,121,415,5,56,17,387,17,3
lWVRwRXE,1397606400000,141,30,360,1,28,196,278,0,47
lWVRwRXE,1397692800000,185,40,200,19,46,43,428,37,177
lWVRwRXE,1397779200000,94,31,413,13,191,155,372,19,101
lWVRwRXE,1397865600000,177,77,58,8,112,26,542,10,30
lWVRwRXE,1397952000000,156,63,61,0,107,23,309,40,65
lWVRwRXE,1398038400000,126,24,226,2,188,161,436,47,67
lWVRwRXE,1398124800000,155,150,108,2,41,153,330,21,79
lWVRwRXE,1398211200000,102,54,567,17,14,17,519,36,101
lWVRwRXE,1398297600000,167,15,795,14,187,92,231,19,65
lWVRwRXE,1398384000000,154,71,392,18,138,23,354,37,144
lWVRwRXE,1398470400000,158,154,744,7,58,30,411,0,83
lWVRwRXE,1398556800000,9,47,245,9,2,162,269,49,195
lWVRwRXE,1398643200000,37,112,257,10,38,137,298,9,175
lWVRwRXE,1398729600000,81,37,520,9,70,61,470,19,16
lWVRwRXE,1398816000000,139,21,137,6,162,119,379,19,183
lWVRwRXE,1398902400000,34,103,479,19,71,137,342,35,114
lWVRwRXE,1398988800000,26,139,767,14,50,112,340,4,100
lWVRwRXE,1399075200000,38,89,494,18,60,77,517,38,80
lWVRwRXE,1399161600000,181,177,238,2,162,153,198,1,62
lWVRwRXE,1399248000000,28,198,547,12,89,14,547,14,141
lWVRwRXE,1399334400000,49,83,343,6,44,86,469,42,5
lWVRwRXE,1399420800000,112,12,690,6,111,156,280,20,54
lWVRwRXE,1399507200000,163,24,719,19,87,75,392,46,45
lWVRwRXE,1399593600000,10,83,500,0,9,191,296,21,184
lWVRwRXE,1399680000000,24,105,257,6,157,156,307,0,176
lWVRwRXE,1399766400000,155,65,330,18,135,116,432,22,114
lWVRwRXE,1399852800000,104,50,201,0,150,89,303,23,190
lWVRwRXE,1399939200000,12,133,156,19,45,52,442,5,104
lWVRwRXE,1400025600000,39,9,221,10,189,131,159,40,55
lWVRwRXE,1400112000000,94,22,32,3,80,63,458,18,111
lWVRwRXE,1400198400000,179,63,408,9,2,126,314,27,46
lWVRwRXE,1400284800000,88,161,685,7,82,165,416,18,57
lWVRwRXE,1400371200000,56,158,5,14,13,150,282,40,191
lWVRwRXE,1400457600000,55,58,509,17,72,94,402,23,197
lWVRwRXE,1400544000000,77,135,659,14,121,166,523,14,126
lWVRwRXE,1400630400000,97,142,369,17,120,147,276,18,100
lWVRwRXE,1400716800000,196,86,749,4,55,90,543,21,41
lWVRwRXE,1400803200000,136,63,476,1,125,194,500,9,103
lWVRwRXE,1400889600000,167,45,711,4,72,3,334,15,106
lWVRwRXE,1400976000000,70,89,599,14,75,197,294,23,132
lWVRwRXE,1401062400000,56,0,502,0,100,195,314,42,131
lWVRwRXE,1401148800000,22,9,508,15,128,25,461,18,64
lWVRwRXE,1401235200000,111,121,529,19,185,57,244,4,9
lWVRwRXE,1401321600000,142,156,537,13,113,69,337,0,32
lWVRwRXE,1401408000000,37,158,253,17,92,104,235,15,78
lWVRwRXE,1401494400000,16,128,778,2,44,163,535,25,21
lWVRwRXE,1401580800000,0,113,235,1,120,50,346,19,17
lWVRwRXE,1401667200000,104,158,583,12,104,140,538,39,141
lWVRwRXE,1401753600000,114,147,460,13,42,175,232,42,153
lWVRwRXE,1401840000000,158,118,745,13,112,165,389,4,185
lWVRwRXE,1401926400000,78,146,498,6,160,133,487,8,199
lWVRwRXE,1402012800000,144,100,32,14,179,176,201,8,138
lWVRwRXE,1402099200000,173,17,218,11,189,59,406,38,94
lWVRwRXE,1402185600000,194,125,70,9,189,133,448,12,19
lWVRwRXE,1402272000000,131,61,704,0,59,157,284,45,53
lWVRwRXE,1402358400000,129,78,437,12,66,148,174,6,6
lWVRwRXE,1402444800000,131,181,638,14,43,101,171,17,57
lWVRwRXE,1402531200000,154,138,651,9,125,105,466,45,30
lWVRwRXE,1402617600000,52,165,593,15,40,57,458,24,20
lWVRwRXE,1402704000000,194,110,703,7,11,164,349,48,142
lWVRwRXE,1402790400000,170,187,578,18,146,131,490,37,10
lWVRwRXE,1402876800000,126,179,514,4,140,54,512,40,64
lWVRwRXE,1402963200000,128,187,100,11,107,152,218,6,118
lWVRwRXE,1403049600000,98,40,523,6,96,172,527,48,48
lWVRwRXE,1403136000000,106,3,743,4,100,107,439,46,119
lWVRwRXE,1403222400000,90,145,176,3,20,183,342,2,55
lWVRwRXE,1403308800000,194,76,563,17,75,155,330,46,181
lWVRwRXE,1403395200000,159,75,511,17,178,198,271,33,125
lWVRwRXE,1403481600000,23,117,404,17,35,26,414,25,64
lWVRwRXE,1403568000000,49,141,569,18,155,59,546,39,165
lWVRwRXE,1403654400000,95,134,384,7,48,1,380,19,119
lWVRwRXE,1403740800000,156,85,47,11,42,104,221,31,167
lWVRwRXE,1403827200000,49,9,500,13,8,73,327,40,78
lWVRwRXE,1403913600000,57,32,361,4,199,61,261,3,49
lWVRwRXE,1404000000000,81,168,249,17,153,153,485,12,0
lWVRwRXE,1404086400000,69,68,409,18,42,165,545,39,150
lWVRwRXE,1404172800000,42,148,784,0,56,88,213,40,136
lWVRwRXE,1404259200000,51,125,223,14,34,51,312,0,60
lWVRwRXE,1404345600000,78,88,652,17,79,34,203,20,126
lWVRwRXE,1404432000000,9,133,309,6,4,162,440,23,104
lWVRwRXE,1404518400000,103,1,204,0,179,81,363,21,158
lWVRwRXE,1404604800000,49,185,399,14,17,166,235,35,134
lWVRwRXE,1404691200000,182,85,483,9,50,106,345,33,199
lWVRwRXE,1404777600000,85,35,349,10,155,93,488,24,176
lWVRwRXE,1404864000000,183,79,515,6,142,130,374,6,146
lWVRwRXE,1404950400000,108,9,489,0,84,35,370,2,71
lWVRwRXE,1405036800000,18,183,365,19,14,44,348,33,122
lWVRwRXE,1405123200000,161,95,93,16,59,141,478,28,85
lWVRwRXE,1405209600000,155,74,242,5,171,195,217,42,34
