user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
lseaslvI,1412121600000,3638,1450,1338,5,3506,1445,806,27,3
lseaslvI,1412208000000,3664,1435,1355,5,3509,1474,776,30,3
lseaslvI,1412294400000,3667,1462,1346,5,3528,1481,786,32,3
lseaslvI,1412380800000,3675,1486,1330,5,3513,1469,813,31,3
lseaslvI,1412467200000,3683,1471,1348,5,3505,1451,838,32,2
lseaslvI,1412553600000,3672,1494,1359,5,3506,1465,834,32,1
lseaslvI,1412640000000,3642,1486,1375,5,3499,1487,860,35,0
lseaslvI,1412726400000,3671,1491,1366,5,3481,1476,834,37,0
lseaslvI,1412812800000,3678,1505,1346,5,3453,1462,831,35,0
lseaslvI,1412899200000,3652,1487,1319,5,3454,1453,858,30,0
lseaslvI,1412985600000,3656,1468,1298,5,3433,1449,859,27,0
lseaslvI,1413072000000,3639,1476,1313,5,3445,1434,862,31,0
lseaslvI,1413158400000,3628,1447,1330,5,3462,1461,888,33,0
lseaslvI,1413244800000,3640,1444,1325,5,3476,1473,871,32,0
lseaslvI,1413331200000,3618,1446,1349,5,3450,1466,852,27,0
lseaslvI,1413417600000,3608,1442,1323,5,3424,1440,837,27,0
lseaslvI,1413504000000,3623,1426,1296,5,3408,1418,817,23,0
lseaslvI,1413590400000,3606,1413,1304,5,3427,1421,827,23,0
lseaslvI,1413676800000,3597,1420,1278,5,3441,1392,849,21,0
lseaslvI,1413763200000,3619,1448,1307,5,3411,1372,844,17,0
lseaslvI,1413849600000,3600,1428,1293,5,3421,1357,821,16,0
lseaslvI,1413936000000,3609,1445,1302,5,3440,1364,831,20,0
lseaslvI,1414022400000,3601,1432,1331,5,3451,1335,838,24,0
lseaslvI,1414108800000,3624,1438,1352,5,3458,1358,851,21,0
lseaslvI,1414195200000,3634,1439,1381,5,3477,1375,866,22,0
lseaslvI,1414281600000,3626,1443,1352,5,3450,1376,871,23,0
lseaslvI,1414368000000,3642,1454,1369,5,3448,1394,891,26,0
lseaslvI,1414454400000,3622,1439,1385,5,3464,1422,914,29,0
lseaslvI,1414540800000,3598,1454,1405,5,3456,1450,930,30,0
lseaslvI,1414627200000,3618,1450,1421,5,3451,1467,959,29,0
lseaslvI,1414713600000,3600,1446,1425,5,3440,1470,976,32,0
lseaslvI,1414800000000,3573,1420,1452,5,3460,1474,968,32,0
lseaslvI,1414886400000,3567,1414,1425,5,3450,1481,938,28,0
lseaslvI,1414972800000,3585,1429,1449,5,3476,1510,930,23,0
lseaslvI,1415059200000,3561,1407,1423,5,3456,1482,937,26,0
lseaslvI,1415145600000,3532,1408,1397,5,3444,1490,955,27,0
lseaslvI,1415232000000,3554,1395,1405,5,3442,1495,963,30,0
lseaslvI,1415318400000,3527,1373,1434,5,3436,1500,935,28,0
lseaslvI,1415404800000,3513,1390,1433,5,3431,1521,930,23,0
lseaslvI,1415491200000,3485,1390,1441,5,3412,1525,925,20,0
lseaslvI,1415577600000,3508,1368,1415,5,3387,1525,911,22,0
lseaslvI,1415664000000,3526,1394,1388,5,3360,1550,921,19,0
lseaslvI,1415750400000,3544,1400,1360,5,3378,1564,900,20,0
lseaslvI,1415836800000,3534,1380,1376,5,3359,1587,913,23,0
lseaslvI,1415923200000,3537,1373,1351,5,3378,1588,916,24,0
lseaslvI,1416009600000,3544,1363,1349,5,3362,1599,940,22,0
lseaslvI,1416096000000,3518,1360,1329,5,3349,1581,937,21,0
lseaslvI,1416182400000,3488,1353,1329,5,3371,1610,909,23,0
lseaslvI,1416268800000,3507,1323,1343,5,3366,1605,907,24,0
lseaslvI,1416355200000,3493,1308,1368,5,3384,1616,922,20,0
lseaslvI,1416441600000,3484,1305,1374,5,3391,1614,934,19,0
lseaslvI,1416528000000,3488,1334,1392,5,3389,1595,953,20,0
lseaslvI,1416614400000,3476,1310,1416,5,3374,1590,925,15,0
lseaslvI,1416700800000,3505,1291,1425,5,3377,1597,939,15,0
lseaslvI,1416787200000,3506,1315,1438,5,3369,1594,956,16,0
lseaslvI,1416873600000,3508,1315,1462,5,3349,1570,984,17,0
lseaslvI,1416960000000,3530,1287,1437,5,3350,1555,993,15,0
lseaslvI,1417046400000,3500,1301,1418,5,3324,1552,969,14,0
lseaslvI,1417132800000,3471,1297,1435,5,3307,1545,970,17,0
lseaslvI,1417219200000,3467,1312,1435,5,3327,1542,946,18,0
lseaslvI,1417305600000,3470,1327,1449,5,3300,1533,944,22,0
