user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
oCaxFyeE,1391212800000,2421,247,1451,14,1540,1525,1448,30,1
oCaxFyeE,1391299200000,2435,256,1469,14,1566,1553,1468,30,1
oCaxFyeE,1391385600000,2410,242,1494,14,1581,1557,1464,28,0
oCaxFyeE,1391472000000,2426,246,1506,14,1580,1554,1447,30,0
oCaxFyeE,1391558400000,2440,217,1505,14,1587,1559,1442,32,0
oCaxFyeE,1391644800000,2426,243,1516,14,1560,1532,1453,31,0
oCaxFyeE,1391731200000,2399,253,1495,14,1536,1525,1475,35,0
oCaxFyeE,1391817600000,2398,234,1524,14,1562,1553,1462,35,0
oCaxFyeE,1391904000000,2391,232,1527,14,1537,1524,1448,36,0
oCaxFyeE,1391990400000,2408,227,1512,14,1534,1494,1459,35,0
oCaxFyeE,1392076800000,2395,235,1484,14,1514,1469,1476,38,0
oCaxFyeE,1392163200000,2389,260,1505,14,1529,1448,1496,41,0
oCaxFyeE,1392249600000,2390,257,1527,14,1532,1423,1515,39,0
oCaxFyeE,1392336000000,2413,254,1555,14,1513,1400,1526,41,0
oCaxFyeE,1392422400000,2392,263,1558,14,1525,1418,1524,39,0
oCaxFyeE,1392508800000,2371,255,1543,14,1536,1404,1501,41,0
oCaxFyeE,1392595200000,2391,283,1547,14,1524,1406,1504,43,0
oCaxFyeE,1392681600000,2380,284,1519,14,1496,1381,1475,41,0
oCaxFyeE,1392768000000,2400,282,1512,14,1493,1376,1495,37,0
oCaxFyeE,1392854400000,2413,305,1514,14,1470,1373,1497,41,0
oCaxFyeE,1392940800000,2399,319,1501,14,1495,1387,1515,43,0
oCaxFyeE,1393027200000,2425,332,1495,14,1524,1409,1492,47,0
oCaxFyeE,1393113600000,2395,360,1477,14,1521,1401,1464,43,0
oCaxFyeE,1393200000000,2409,345,1463,14,1500,1411,1451,42,0
oCaxFyeE,1393286400000,2392,370,1435,14,1504,1417,1437,39,0
oCaxFyeE,1393372800000,2400,360,1434,14,1496,1441,1437,42,0
oCaxFyeE,1393459200000,2378,344,1458,14,1520,1451,1441,39,0
oCaxFyeE,1393545600000,2375,320,1476,14,1544,1474,1463,34,0
oCaxFyeE,1393632000000,2349,297,1452,14,1559,1488,1451,34,0
oCaxFyeE,1393718400000,2375,307,1443,14,1551,1515,1475,29,0
oCaxFyeE,1393804800000,2374,288,1470,14,1537,1512,1447,26,0
oCaxFyeE,1393891200000,2391,266,1481,14,1549,1520,1445,25,0
oCaxFyeE,1393977600000,2389,252,1485,14,1577,1507,1416,24,0
oCaxFyeE,1394064000000,2391,230,1505,14,1604,1519,1409,28,0
oCaxFyeE,1394150400000,2370,235,1477,14,1580,1490,1393,31,0
oCaxFyeE,1394236800000,2391,233,1485,14,1597,1498,1370,35,0
oCaxFyeE,1394323200000,2414,240,1492,14,1577,1506,1347,36,0
oCaxFyeE,1394409600000,2424,242,1463,14,1580,1482,1354,35,0
oCaxFyeE,1394496000000,2424,248,1477,14,1592,1493,1335,34,0
oCaxFyeE,1394582400000,2397,268,1460,14,1605,1466,1362,38,0
oCaxFyeE,1394668800000,2401,282,1462,14,1627,1461,1388,37,0
oCaxFyeE,1394755200000,2384,311,1484,14,1611,1435,1408,36,0
oCaxFyeE,1394841600000,2376,298,1467,14,1611,1463,1381,34,0
oCaxFyeE,1394928000000,2396,298,1479,14,1606,1475,1371,35,0
oCaxFyeE,1395014400000,2421,282,1474,14,1610,1464,1360,39,0
oCaxFyeE,1395100800000,2441,289,1460,14,1583,1484,1335,35,0
oCaxFyeE,1395187200000,2411,282,1470,14,1558,1482,1331,36,0
oCaxFyeE,1395273600000,2399,258,1440,14,1570,1508,1311,33,0
oCaxFyeE,1395360000000,2417,273,1456,14,1575,1500,1285,35,0
oCaxFyeE,1395446400000,2417,260,1449,14,1593,1487,1295,30,0
oCaxFyeE,1395532800000,2427,259,1440,14,1617,1514,1268,30,0
oCaxFyeE,1395619200000,2422,271,1415,14,1621,1513,1238,30,0
oCaxFyeE,1395705600000,2418,252,1406,14,1619,1495,1227,27,0
oCaxFyeE,1395792000000,2412,276,1397,14,1623,1469,1200,30,0
oCaxFyeE,1395878400000,2397,274,1390,14,1600,1452,1184,32,0
oCaxFyeE,1395964800000,2413,287,1400,14,1622,1437,1204,32,0
oCaxFyeE,1396051200000,2429,288,1391,14,1647,1412,1223,35,0
oCaxFyeE,1396137600000,2458,261,1406,14,1651,1439,1222,30,0
oCaxFyeE,1396224000000,2460,272,1411,14,1651,1458,1217,33,0
oCaxFyeE,1396310400000,2471,285,1383,14,1675,1476,1207,37,0
oCaxFyeE,1396396800000,2476,281,1380,14,1668,1495,1189,33,0
oCaxFyeE,1396483200000,2470,306,1350,14,1657,1479,1177,32,0
oCaxFyeE,1396569600000,2479,297,1324,14,1685,1495,1187,27,0
oCaxFyeE,1396656000000,2477,274,1304,14,1713,1468,1173,28,0
