user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
of2jBXuV,1401580800000,44,112,636,15,180,126,335,14,190
of2jBXuV,1401667200000,39,22,19,13,76,122,235,37,132
of2jBXuV,1401753600000,39,176,698,0,53,194,328,24,100
of2jBXuV,1401840000000,84,72,751,0,79,160,437,22,84
of2jBXuV,1401926400000,73,154,82,6,94,94,253,44,98
of2jBXuV,1402012800000,100,58,726,16,68,89,153,33,66
of2jBXuV,1402099200000,30,122,77,15,109,13,373,25,172
of2jBXuV,1402185600000,71,169,373,18,169,78,294,16,158
of2jBXuV,1402272000000,74,29,500,14,38,19,434,35,127
of2jBXuV,1402358400000,112,176,399,19,20,6,532,5,82
of2jBXuV,1402444800000,69,124,247,16,52,109,219,23,68
of2jBXuV,1402531200000,55,105,466,2,125,66,279,48,114
of2jBXuV,1402617600000,18,104,429,10,41,67,282,42,24
of2jBXuV,1402704000000,15,85,299,0,154,140,450,16,76
of2jBXuV,1402790400000,52,68,220,4,19,113,290,14,113
of2jBXuV,1402876800000,44,104,698,12,14,124,303,19,115
of2jBXuV,1402963200000,133,175,645,17,33,161,273,19,31
of2jBXuV,1403049600000,83,63,740,17,193,104,347,43,182
of2jBXuV,1403136000000,52,123,230,6,30,169,413,12,146
of2jBXuV,1403222400000,181,149,670,14,114,193,334,8,47
of2jBXuV,1403308800000,135,4,438,4,146,190,151,48,54
of2jBXuV,1403395200000,47,63,595,12,38,88,546,32,188
of2jBXuV,1403481600000,60,68,291,10,81,100,365,10,191
of2jBXuV,1403568000000,137,153,439,0,24,199,268,30,99
of2jBXuV,1403654400000,77,49,123,17,111,78,459,33,34
of2jBXuV,1403740800000,125,158,656,17,152,46,150,36,139
of2jBXuV,1403827200000,93,195,40,16,160,90,374,7,180
of2jBXuV,1403913600000,71,127,754,8,94,174,492,22,194
of2jBXuV,1404000000000,112,28,304,15,97,21,267,45,49
of2jBXuV,1404086400000,122,198,591,2,60,46,284,21,6
of2jBXuV,1404172800000,189,194,57,9,125,120,533,8,156
of2jBXuV,1404259200000,25,194,553,17,11,20,506,37,184
of2jBXuV,1404345600000,47,116,240,3,89,180,459,26,61
of2jBXuV,1404432000000,27,120,734,5,136,182,313,45,140
of2jBXuV,1404518400000,1,175,65,9,89,164,450,48,168
of2jBXuV,1404604800000,30,93,195,11,153,131,181,15,31
of2jBXuV,1404691200000,160,25,391,1,153,72,326,4,54
of2jBXuV,1404777600000,115,34,579,8,49,146,280,3,54
of2jBXuV,1404864000000,24,6,787,7,156,45,213,34,187
of2jBXuV,1404950400000,155,106,736,19,18,97,406,29,124
of2jBXuV,1405036800000,48,158,106,4,195,73,363,32,177
of2jBXuV,1405123200000,0,106,170,7,171,54,323,42,96
of2jBXuV,1405209600000,155,59,695,11,157,53,338,12,89
of2jBXuV,1405296000000,173,23,538,1,63,121,335,22,153
of2jBXuV,1405382400000,3,126,602,17,178,3,377,9,91
of2jBXuV,1405468800000,97,64,119,18,98,112,445,36,52
of2jBXuV,1405555200000,136,148,334,14,168,101,348,30,181
of2jBXuV,1405641600000,89,184,347,13,184,80,236,21,135
of2jBXuV,1405728000000,187,70,96,15,147,160,190,15,74
of2jBXuV,1405814400000,18,146,697,15,145,156,356,21,119
of2jBXuV,1405900800000,11,154,573,10,96,36,458,41,160
of2jBXuV,1405987200000,23,29,650,2,75,73,229,23,46
of2jBXuV,1406073600000,156,97,433,17,66,135,241,38,147
of2jBXuV,1406160000000,25,27,450,13,169,159,168,21,187
of2jBXuV,1406246400000,95,95,676,3,77,11,203,40,148
of2jBXuV,1406332800000,114,100,189,1,72,142,219,29,116
of2jBXuV,1406419200000,144,153,43,6,184,165,207,30,139
of2jBXuV,1406505600000,150,171,385,7,171,184,246,38,183
of2jBXuV,1406592000000,30,184,171,7,24,48,160,13,183
of2jBXuV,1406678400000,192,175,447,8,69,29,429,11,118
of2jBXuV,1406764800000,108,121,267,10,198,122,411,18,45
