user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
rSHoGc2w,1393632000000,3930,1455,1451,13,1373,1450,1444,25,0
rSHoGc2w,1393718400000,3928,1442,1432,13,1376,1422,1436,26,0
rSHoGc2w,1393804800000,3918,1436,1425,13,1405,1415,1454,22,0
rSHoGc2w,1393891200000,3910,1445,1443,13,1393,1402,1434,17,0
rSHoGc2w,1393977600000,3900,1420,1458,13,1372,1425,1451,12,0
rSHoGc2w,1394064000000,3876,1399,1477,13,1368,1405,1479,8,0
rSHoGc2w,1394150400000,3889,1428,1448,13,1355,1393,1489,7,0
rSHoGc2w,1394236800000,3898,1425,1456,13,1366,1380,1466,9,0
rSHoGc2w,1394323200000,3884,1399,1445,13,1378,1351,1464,13,0
rSHoGc2w,1394409600000,3862,1371,1435,13,1404,1330,1492,8,0
rSHoGc2w,1394496000000,3876,1395,1455,13,1392,1339,1516,9,0
rSHoGc2w,1394582400000,3863,1408,1473,13,1394,1358,1526,8,0
rSHoGc2w,1394668800000,3871,1428,1465,13,1397,1370,1519,7,0
rSHoGc2w,1394755200000,3856,1399,1492,13,1373,1390,1491,11,0
rSHoGc2w,1394841600000,3831,1417,1493,13,1387,1382,1480,7,0
rSHoGc2w,1394928000000,3842,1387,1478,13,1400,1385,1466,8,0
rSHoGc2w,1395014400000,3857,1379,1492,13,1420,1410,1452,9,0
rSHoGc2w,1395100800000,3868,1407,1474,13,1390,1437,1455,10,0
rSHoGc2w,1395187200000,3879,1385,1485,13,1386,1443,1431,7,0
rSHoGc2w,1395273600000,3900,1370,1474,13,1378,1423,1457,10,0
rSHoGc2w,1395360000000,3906,1384,1474,13,1404,1433,1455,11,0
rSHoGc2w,1395446400000,3929,1410,1490,13,1421,1407,1463,15,0
rSHoGc2w,1395532800000,3925,1414,1474,13,1401,1379,1477,12,0
rSHoGc2w,1395619200000,3896,1410,1493,13,1398,1375,1474,15,0
rSHoGc2w,1395705600000,3874,1400,1492,13,1424,1386,1497,14,0
rSHoGc2w,1395792000000,3891,1392,1496,13,1451,1408,1489,17,0
rSHoGc2w,1395878400000,3903,1403,1467,13,1457,1433,1464,14,0
rSHoGc2w,1395964800000,3892,1390,1462,13,1437,1426,1458,9,0
rSHoGc2w,1396051200000,3907,1385,1432,13,1412,1431,1457,13,0
rSHoGc2w,1396137600000,3918,1403,1439,13,1409,1454,1427,12,0
rSHoGc2w,1396224000000,3929,1430,1467,13,1386,1453,1399,13,0
rSHoGc2w,1396310400000,3922,1459,1444,13,1398,1446,1404,14,0
rSHoGc2w,1396396800000,3937,1439,1441,13,1395,1461,1383,10,0
rSHoGc2w,1396483200000,3926,1420,1460,13,1392,1445,1385,13,0
rSHoGc2w,1396569600000,3944,1433,1459,13,1386,1427,1388,11,0
rSHoGc2w,1396656000000,3937,1411,1482,13,1389,1445,1389,6,0
rSHoGc2w,1396742400000,3942,1401,1484,13,1384,1473,1384,4,0
rSHoGc2w,1396828800000,3970,1429,1457,13,1411,1484,1397,8,0
rSHoGc2w,1396915200000,3979,1456,1471,13,1436,1465,1375,12,0
rSHoGc2w,1397001600000,3953,1437,1456,13,1437,1448,1359,11,0
rSHoGc2w,1397088000000,3924,1409,1476,13,1454,1462,1362,9,0
rSHoGc2w,1397174400000,3900,1414,1500,13,1456,1472,1372,8,0
rSHoGc2w,1397260800000,3901,1386,1484,13,1471,1466,1389,10,0
rSHoGc2w,1397347200000,3907,1361,1457,13,1493,1468,1391,8,0
rSHoGc2w,1397433600000,3935,1336,1456,13,1501,1490,1372,8,0
rSHoGc2w,1397520000000,3955,1310,1431,13,1526,1518,1365,9,0
rSHoGc2w,1397606400000,3947,1319,1445,13,1531,1545,1339,11,0
rSHoGc2w,1397692800000,3948,1294,1456,13,1526,1539,1323,7,0
rSHoGc2w,1397779200000,3926,1289,1473,13,1551,1536,1351,8,0
rSHoGc2w,1397865600000,3953,1304,1473,13,1526,1552,1380,11,0
rSHoGc2w,1397952000000,3950,1300,1471,13,1525,1533,1355,7,0
rSHoGc2w,1398038400000,3968,1317,1484,13,1533,1559,1353,4,0
rSHoGc2w,1398124800000,3994,1294,1467,13,1556,1569,1355,3,0
rSHoGc2w,1398211200000,3990,1268,1461,13,1563,1580,1370,4,0
rSHoGc2w,1398297600000,3988,1245,1459,13,1564,1557,1390,3,0
rSHoGc2w,1398384000000,4000,1246,1485,13,1559,1565,1373,4,0
rSHoGc2w,1398470400000,3978,1273,1493,13,1584,1551,1366,8,0
rSHoGc2w,1398556800000,3974,1258,1492,13,1602,1538,1388,11,0
rSHoGc2w,1398643200000,3961,1237,1466,13,1590,1536,1378,8,0
rSHoGc2w,1398729600000,3945,1236,1476,13,1595,1552,1377,12,0
rSHoGc2w,1398816000000,3965,1218,1465,13,1567,1575,1355,9,0
rSHoGc2w,1398902400000,3958,1230,1463,13,1561,1550,1328,6,0
rSHoGc2w,1398988800000,3933,1221,1448,13,1532,1560,1302,10,0
rSHoGc2w,1399075200000,3954,1230,1418,13,1551,1562,1322,10,0
rSHoGc2w,1399161600000,3978,1245,1409,13,1576,1591,1350,7,0
rSHoGc2w,1399248000000,3990,1229,1400,13,1580,1596,1337,5,0
rSHoGc2w,1399334400000,3986,1234,1391,13,1597,1577,1329,4,0
rSHoGc2w,1399420800000,3980,1216,1417,13,1573,1603,1345,3,0
rSHoGc2w,1399507200000,3963,1209,1390,13,1581,1607,1361,0,0
rSHoGc2w,1399593600000,3972,1181,1398,13,1609,1631,1333,0,0
rSHoGc2w,1399680000000,3978,1161,1412,13,1624,1641,1319,1,0
rSHoGc2w,1399766400000,3968,1149,1419,13,1619,1643,1297,3,0
rSHoGc2w,1399852800000,3950,1159,1435,13,1608,1613,1268,2,0
rSHoGc2w,1399939200000,3945,1138,1446,13,1613,1624,1256,4,0
rSHoGc2w,1400025600000,3973,1146,1443,13,1612,1652,1244,6,0
rSHoGc2w,1400112000000,3978,1173,1432,13,1593,1681,1255,5,0
rSHoGc2w,1400198400000,3964,1201,1429,13,1579,1699,1236,4,0
rSHoGc2w,1400284800000,3952,1186,1413,13,1604,1704,1247,5,0
rSHoGc2w,1400371200000,3980,1171,1401,13,1620,1677,1255,4,0
rSHoGc2w,1400457600000,3970,1197,1425,13,1604,1682,1283,1,0
rSHoGc2w,1400544000000,3990,1226,1454,13,1597,1687,1308,4,0
rSHoGc2w,1400630400000,3977,1223,1470,13,1577,1703,1326,4,0
rSHoGc2w,1400716800000,4004,1252,1491,13,1597,1723,1299,3,0
rSHoGc2w,1400803200000,4016,1277,1477,13,1602,1727,1276,3,0
rSHoGc2w,1400889600000,4009,1272,1491,13,1592,1733,1257,1,0
rSHoGc2w,1400976000000,4033,1280,1488,13,1603,1712,1273,0,0
rSHoGc2w,1401062400000,4034,1294,1489,13,1616,1730,1254,4,0
