user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
s2DUDzJz,1388534400000,1468,1619,1447,13,2863,1008,1432,23,0
s2DUDzJz,1388620800000,1446,1644,1440,13,2838,986,1430,25,0
s2DUDzJz,1388707200000,1475,1668,1449,13,2817,957,1457,24,0
s2DUDzJz,1388793600000,1479,1689,1431,13,2805,955,1471,23,0
s2DUDzJz,1388880000000,1489,1715,1459,13,2823,928,1482,18,0
s2DUDzJz,1388966400000,1469,1702,1438,13,2793,909,1457,19,0
s2DUDzJz,1389052800000,1442,1711,1409,13,2783,935,1475,21,0
s2DUDzJz,1389139200000,1448,1681,1423,13,2777,952,1463,18,0
s2DUDzJz,1389225600000,1448,1672,1413,13,2749,947,1489,22,0
s2DUDzJz,1389312000000,1433,1654,1422,13,2731,951,1487,21,0
s2DUDzJz,1389398400000,1461,1641,1397,13,2705,959,1513,19,0
s2DUDzJz,1389484800000,1484,1667,1383,13,2681,968,1522,18,0
s2DUDzJz,1389571200000,1502,1656,1393,13,2674,989,1550,13,0
s2DUDzJz,1389657600000,1482,1634,1369,13,2654,971,1526,9,0
s2DUDzJz,1389744000000,1473,1644,1354,13,2639,959,1506,11,0
s2DUDzJz,1389830400000,1459,1632,1334,13,2626,935,1527,6,0
s2DUDzJz,1389916800000,1488,1649,1353,13,2629,938,1538,10,0
s2DUDzJz,1390003200000,1511,1634,1336,13,2633,927,1510,12,0
s2DUDzJz,1390089600000,1487,1619,1317,13,2603,939,1490,12,0
s2DUDzJz,1390176000000,1460,1605,1303,13,2630,926,1467,12,0
s2DUDzJz,1390262400000,1467,1625,1282,13,2639,954,1489,9,0
s2DUDzJz,1390348800000,1450,1597,1260,13,2665,956,1502,8,0
s2DUDzJz,1390435200000,1477,1571,1244,13,2669,954,1472,9,0
s2DUDzJz,1390521600000,1476,1561,1263,13,2685,979,1498,5,0
s2DUDzJz,1390608000000,1502,1540,1241,13,2699,990,1474,4,0
s2DUDzJz,1390694400000,1516,1512,1241,13,2704,1012,1495,2,0
s2DUDzJz,1390780800000,1514,1511,1218,13,2683,1020,1470,4,0
s2DUDzJz,1390867200000,1526,1540,1207,13,2690,1010,1472,8,0
s2DUDzJz,1390953600000,1496,1542,1179,13,2687,1017,1451,10,0
s2DUDzJz,1391040000000,1489,1528,1178,13,2666,1014,1436,5,0
s2DUDzJz,1391126400000,1486,1541,1169,13,2687,1021,1416,2,0
s2DUDzJz,1391212800000,1476,1560,1171,13,2698,1046,1424,5,0
s2DUDzJz,1391299200000,1470,1540,1190,13,2696,1056,1402,6,0
s2DUDzJz,1391385600000,1463,1522,1179,13,2677,1060,1407,4,0
s2DUDzJz,1391472000000,1467,1508,1190,13,2695,1051,1402,5,0
s2DUDzJz,1391558400000,1481,1506,1185,13,2720,1031,1377,2,0
s2DUDzJz,1391644800000,1507,1477,1166,13,2696,1048,1397,5,0
s2DUDzJz,1391731200000,1494,1490,1177,13,2672,1044,1418,5,0
s2DUDzJz,1391817600000,1523,1464,1160,13,2656,1017,1414,6,0
s2DUDzJz,1391904000000,1502,1434,1157,13,2670,1034,1385,9,0
s2DUDzJz,1391990400000,1511,1409,1165,13,2645,1015,1357,11,0
s2DUDzJz,1392076800000,1530,1381,1190,13,2649,1043,1376,6,0
s2DUDzJz,1392163200000,1508,1354,1219,13,2647,1072,1358,2,0
s2DUDzJz,1392249600000,1508,1325,1247,13,2667,1053,1375,5,0
s2DUDzJz,1392336000000,1521,1335,1253,13,2667,1038,1370,5,0
s2DUDzJz,1392422400000,1514,1339,1262,13,2678,1052,1379,1,0
s2DUDzJz,1392508800000,1540,1349,1274,13,2702,1063,1361,4,0
s2DUDzJz,1392595200000,1521,1328,1260,13,2708,1089,1350,5,0
s2DUDzJz,1392681600000,1516,1341,1250,13,2696,1072,1360,8,0
s2DUDzJz,1392768000000,1545,1317,1232,13,2674,1096,1358,6,0
s2DUDzJz,1392854400000,1548,1295,1231,13,2663,1103,1330,1,0
s2DUDzJz,1392940800000,1531,1309,1214,13,2639,1074,1302,1,0
s2DUDzJz,1393027200000,1537,1326,1195,13,2660,1087,1327,0,0
s2DUDzJz,1393113600000,1533,1352,1202,13,2630,1110,1297,1,0
s2DUDzJz,1393200000000,1552,1364,1178,13,2658,1103,1283,4,0
s2DUDzJz,1393286400000,1547,1377,1149,13,2647,1108,1266,6,0
s2DUDzJz,1393372800000,1560,1382,1151,13,2645,1130,1254,2,0
s2DUDzJz,1393459200000,1567,1354,1137,13,2640,1127,1275,6,0
s2DUDzJz,1393545600000,1587,1378,1127,13,2651,1139,1291,3,0
s2DUDzJz,1393632000000,1560,1370,1138,13,2640,1129,1309,4,0
s2DUDzJz,1393718400000,1541,1381,1152,13,2633,1148,1296,1,0
s2DUDzJz,1393804800000,1532,1386,1158,13,2659,1148,1325,1,0
s2DUDzJz,1393891200000,1519,1409,1128,13,2637,1155,1313,0,0
s2DUDzJz,1393977600000,1498,1431,1133,13,2612,1136,1306,3,0
s2DUDzJz,1394064000000,1481,1423,1141,13,2584,1144,1301,7,0
s2DUDzJz,1394150400000,1462,1451,1131,13,2568,1162,1287,6,0
s2DUDzJz,1394236800000,1441,1479,1134,13,2545,1172,1315,3,0
s2DUDzJz,1394323200000,1426,1457,1150,13,2541,1187,1331,5,0
s2DUDzJz,1394409600000,1415,1442,1127,13,2526,1216,1338,2,0
s2DUDzJz,1394496000000,1443,1438,1143,13,2541,1224,1364,3,0
s2DUDzJz,1394582400000,1472,1436,1126,13,2553,1206,1364,5,0
s2DUDzJz,1394668800000,1500,1454,1121,13,2532,1192,1364,8,0
s2DUDzJz,1394755200000,1520,1460,1144,13,2514,1175,1345,5,0
s2DUDzJz,1394841600000,1539,1459,1123,13,2538,1165,1336,3,0
s2DUDzJz,1394928000000,1518,1454,1146,13,2523,1189,1355,1,0
s2DUDzJz,1395014400000,1496,1443,1145,13,2514,1188,1367,0,0
s2DUDzJz,1395100800000,1511,1461,1170,13,2533,1211,1360,2,0
s2DUDzJz,1395187200000,1512,1447,1163,13,2547,1220,1335,1,0
s2DUDzJz,1395273600000,1540,1428,1180,13,2532,1199,1310,3,0
s2DUDzJz,1395360000000,1525,1407,1201,13,2527,1212,1313,3,0
s2DUDzJz,1395446400000,1523,1397,1175,13,2528,1194,1326,2,0
s2DUDzJz,1395532800000,1511,1373,1183,13,2505,1198,1350,1,0
s2DUDzJz,1395619200000,1512,1365,1166,13,2498,1181,1371,5,0
s2DUDzJz,1395705600000,1522,1349,1160,13,2509,1203,1353,9,0
s2DUDzJz,1395792000000,1549,1365,1134,13,2506,1211,1339,10,0
s2DUDzJz,1395878400000,1566,1361,1161,13,2482,1217,1336,13,0
s2DUDzJz,1395964800000,1544,1350,1168,13,2485,1201,1347,10,0
s2DUDzJz,1396051200000,1562,1330,1166,13,2511,1186,1335,14,0
s2DUDzJz,1396137600000,1538,1304,1167,13,2511,1178,1324,12,0
s2DUDzJz,1396224000000,1532,1289,1155,13,2521,1203,1345,13,0
s2DUDzJz,1396310400000,1555,1313,1133,13,2499,1206,1317,10,0
s2DUDzJz,1396396800000,1571,1329,1146,13,2497,1211,1288,5,0
s2DUDzJz,1396483200000,1587,1329,1171,13,2488,1205,1294,4,0
s2DUDzJz,1396569600000,1613,1350,1178,13,2515,1226,1269,1,0
s2DUDzJz,1396656000000,1609,1348,1166,13,2498,1253,1294,1,0
s2DUDzJz,1396742400000,1622,1335,1165,13,2493,1245,1288,1,0
s2DUDzJz,1396828800000,1629,1330,1141,13,2481,1219,1287,3,0
s2DUDzJz,1396915200000,1639,1356,1158,13,2457,1230,1291,4,0
s2DUDzJz,1397001600000,1660,1344,1166,13,2441,1201,1300,3,0
s2DUDzJz,1397088000000,1652,1341,1173,13,2435,1184,1289,6,0
s2DUDzJz,1397174400000,1624,1313,1171,13,2439,1202,1284,7,0
s2DUDzJz,1397260800000,1604,1301,1188,13,2444,1223,1289,11,0
s2DUDzJz,1397347200000,1614,1322,1209,13,2458,1210,1273,15,0
s2DUDzJz,1397433600000,1623,1346,1221,13,2458,1201,1270,12,0
s2DUDzJz,1397520000000,1645,1333,1197,13,2470,1186,1291,8,0
s2DUDzJz,1397606400000,1657,1329,1200,13,2494,1178,1316,3,0
s2DUDzJz,1397692800000,1647,1336,1170,13,2495,1150,1304,0,0
s2DUDzJz,1397779200000,1639,1325,1142,13,2522,1149,1296,3,0
s2DUDzJz,1397865600000,1611,1333,1149,13,2544,1136,1278,7,0
s2DUDzJz,1397952000000,1602,1359,1134,13,2541,1122,1256,2,0
s2DUDzJz,1398038400000,1591,1372,1151,13,2570,1095,1257,2,0
s2DUDzJz,1398124800000,1606,1345,1140,13,2555,1091,1243,6,0
s2DUDzJz,1398211200000,1608,1324,1128,13,2569,1093,1242,4,0
s2DUDzJz,1398297600000,1632,1311,1138,13,2575,1105,1240,8,0
s2DUDzJz,1398384000000,1650,1324,1138,13,2598,1109,1225,12,0
s2DUDzJz,1398470400000,1621,1326,1137,13,2599,1101,1214,8,0
s2DUDzJz,1398556800000,1625,1311,1148,13,2583,1092,1198,9,0
s2DUDzJz,1398643200000,1597,1284,1166,13,2555,1101,1213,8,0
