user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
tEI9M[XC,1414800000000,150,66,770,18,80,68,490,24,113
tEI9M[XC,1414886400000,123,60,132,13,86,135,523,20,165
tEI9M[XC,1414972800000,115,50,8,16,117,126,539,28,196
tEI9M[XC,1415059200000,167,72,588,0,91,134,166,4,44
tEI9M[XC,1415145600000,5,123,152,15,3,53,283,30,40
tEI9M[XC,1415232000000,108,47,206,4,185,145,396,6,126
tEI9M[XC,1415318400000,162,150,157,8,192,29,523,46,83
tEI9M[XC,1415404800000,117,2,618,1,128,110,309,42,81
tEI9M[XC,1415491200000,131,198,256,7,57,57,348,33,95
tEI9M[XC,1415577600000,130,16,372,19,187,58,465,26,93
tEI9M[XC,1415664000000,165,90,696,14,159,25,170,47,98
tEI9M[XC,1415750400000,179,96,626,10,187,97,478,40,48
tEI9M[XC,1415836800000,63,160,380,2,188,108,295,40,4
tEI9M[XC,1415923200000,151,111,309,19,25,130,466,17,108
tEI9M[XC,1416009600000,78,61,787,2,17,131,204,1,132
tEI9M[XC,1416096000000,1,151,509,17,28,20,418,43,142
tEI9M[XC,1416182400000,179,42,378,16,29,184,291,31,18
tEI9M[XC,1416268800000,141,81,137,8,5,170,275,29,3
tEI9M[XC,1416355200000,73,15,420,18,185,3,225,6,105
tEI9M[XC,1416441600000,162,76,344,0,82,166,293,13,125
tEI9M[XC,1416528000000,158,123,165,13,71,68,290,13,139
tEI9M[XC,1416614400000,109,69,3,1,73,113,381,28,104
tEI9M[XC,1416700800000,183,178,319,19,182,120,364,13,63
tEI9M[XC,1416787200000,146,99,790,13,187,38,203,12,140
tEI9M[XC,1416873600000,142,70,463,7,20,13,531,44,55
tEI9M[XC,1416960000000,106,152,659,9,173,11,188,31,54
tEI9M[XC,1417046400000,52,103,481,19,87,192,210,46,146
tEI9M[XC,1417132800000,81,193,728,5,13,85,457,45,103
tEI9M[XC,1417219200000,12,52,216,6,7,199,270,0,88
tEI9M[XC,1417305600000,62,165,772,13,37,150,382,24,23
