user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
ujbZ6R3P,1414800000000,2421,1474,1448,10,1446,1546,1455,25,0
ujbZ6R3P,1414886400000,2417,1455,1453,10,1460,1541,1484,26,0
ujbZ6R3P,1414972800000,2395,1458,1442,10,1457,1556,1486,24,0
ujbZ6R3P,1415059200000,2396,1463,1464,10,1432,1581,1498,27,0
ujbZ6R3P,1415145600000,2409,1489,1436,10,1432,1566,1513,23,0
ujbZ6R3P,1415232000000,2402,1459,1410,10,1455,1543,1484,26,0
ujbZ6R3P,1415318400000,2422,1468,1432,10,1460,1570,1472,23,0
ujbZ6R3P,1415404800000,2444,1446,1437,10,1430,1557,1473,22,0
ujbZ6R3P,1415491200000,2458,1451,1461,10,1447,1558,1498,18,0
ujbZ6R3P,1415577600000,2443,1473,1475,10,1442,1548,1473,13,0
ujbZ6R3P,1415664000000,2465,1460,1504,10,1464,1543,1472,17,0
ujbZ6R3P,1415750400000,2454,1464,1501,10,1466,1572,1486,15,0
ujbZ6R3P,1415836800000,2454,1441,1523,10,1465,1573,1504,10,0
ujbZ6R3P,1415923200000,2467,1422,1523,10,1456,1582,1475,9,0
ujbZ6R3P,1416009600000,2442,1402,1549,10,1473,1600,1500,11,0
ujbZ6R3P,1416096000000,2462,1401,1544,10,1484,1586,1472,8,0
ujbZ6R3P,1416182400000,2484,1395,1531,10,1504,1574,1478,3,0
ujbZ6R3P,1416268800000,2513,1372,1511,10,1501,1577,1467,3,0
ujbZ6R3P,1416355200000,2519,1355,1521,10,1510,1583,1471,5,0
ujbZ6R3P,1416441600000,2544,1369,1533,10,1530,1554,1488,6,0
ujbZ6R3P,1416528000000,2565,1398,1519,10,1515,1527,1499,2,0
ujbZ6R3P,1416614400000,2535,1400,1532,10,1506,1532,1486,4,0
ujbZ6R3P,1416700800000,2562,1370,1543,10,1520,1518,1496,2,0
ujbZ6R3P,1416787200000,2562,1352,1521,10,1498,1515,1487,3,0
ujbZ6R3P,1416873600000,2558,1352,1500,10,1527,1513,1469,2,0
ujbZ6R3P,1416960000000,2545,1333,1519,10,1520,1521,1494,6,0
ujbZ6R3P,1417046400000,2521,1335,1536,10,1547,1497,1471,9,0
ujbZ6R3P,1417132800000,2533,1326,1564,10,1573,1506,1460,8,0
ujbZ6R3P,1417219200000,2517,1305,1570,10,1547,1506,1476,6,0
ujbZ6R3P,1417305600000,2532,1299,1569,10,1559,1520,1492,1,0
