user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
vQZf0Z62,1391212800000,1681,1008,1331,13,1446,1397,1450,45,0
vQZf0Z62,1391299200000,1690,988,1339,13,1445,1398,1460,47,0
vQZf0Z62,1391385600000,1704,986,1330,13,1466,1370,1480,50,0
vQZf0Z62,1391472000000,1675,978,1343,13,1442,1352,1492,50,0
vQZf0Z62,1391558400000,1696,950,1367,13,1421,1373,1493,54,0
vQZf0Z62,1391644800000,1704,950,1340,13,1446,1358,1486,57,0
vQZf0Z62,1391731200000,1708,952,1318,13,1457,1376,1500,58,0
vQZf0Z62,1391817600000,1686,962,1319,13,1478,1404,1487,53,0
vQZf0Z62,1391904000000,1670,976,1330,13,1451,1430,1473,54,0
vQZf0Z62,1391990400000,1678,973,1305,13,1433,1431,1485,50,0
vQZf0Z62,1392076800000,1663,985,1286,13,1417,1420,1487,47,0
vQZf0Z62,1392163200000,1669,956,1281,13,1415,1430,1496,46,0
vQZf0Z62,1392249600000,1651,960,1309,13,1390,1410,1518,44,0
vQZf0Z62,1392336000000,1677,948,1322,13,1367,1387,1493,45,0
vQZf0Z62,1392422400000,1704,933,1332,13,1396,1393,1492,47,0
vQZf0Z62,1392508800000,1724,917,1310,13,1378,1364,1483,48,0
vQZf0Z62,1392595200000,1717,927,1303,13,1384,1385,1473,44,0
vQZf0Z62,1392681600000,1729,947,1319,13,1391,1411,1472,48,0
vQZf0Z62,1392768000000,1749,966,1298,13,1416,1423,1491,47,0
vQZf0Z62,1392854400000,1735,946,1298,13,1394,1432,1496,43,0
vQZf0Z62,1392940800000,1759,922,1268,13,1367,1430,1520,45,0
vQZf0Z62,1393027200000,1739,896,1285,13,1363,1437,1536,49,0
vQZf0Z62,1393113600000,1731,917,1293,13,1371,1433,1543,45,0
vQZf0Z62,1393200000000,1722,904,1278,13,1366,1454,1551,48,0
vQZf0Z62,1393286400000,1704,881,1280,13,1340,1433,1580,50,0
vQZf0Z62,1393372800000,1731,893,1305,13,1335,1412,1604,52,0
vQZf0Z62,1393459200000,1723,898,1327,13,1322,1409,1579,53,0
vQZf0Z62,1393545600000,1703,923,1311,13,1348,1408,1605,53,0
vQZf0Z62,1393632000000,1732,907,1308,13,1367,1430,1598,54,0
vQZf0Z62,1393718400000,1743,908,1286,13,1362,1423,1601,56,0
vQZf0Z62,1393804800000,1765,891,1276,13,1349,1415,1620,56,0
vQZf0Z62,1393891200000,1778,863,1303,13,1340,1426,1636,52,0
vQZf0Z62,1393977600000,1792,850,1323,13,1319,1450,1665,56,0
vQZf0Z62,1394064000000,1774,846,1328,13,1289,1469,1680,53,0
vQZf0Z62,1394150400000,1790,874,1352,13,1265,1487,1663,55,0
