user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
w5nGif7s,1401580800000,1448,1590,1468,6,1450,1473,1451,23,0
w5nGif7s,1401667200000,1427,1591,1457,6,1459,1494,1458,24,0
w5nGif7s,1401753600000,1441,1620,1465,6,1442,1465,1447,26,0
w5nGif7s,1401840000000,1455,1615,1444,6,1425,1445,1436,24,0
w5nGif7s,1401926400000,1451,1635,1460,6,1450,1471,1431,22,0
w5nGif7s,1402012800000,1434,1645,1474,6,1432,1470,1438,25,0
w5nGif7s,1402099200000,1450,1643,1472,6,1431,1487,1464,29,0
w5nGif7s,1402185600000,1454,1626,1486,6,1418,1457,1480,33,0
w5nGif7s,1402272000000,1424,1636,1509,6,1392,1468,1488,37,0
w5nGif7s,1402358400000,1417,1657,1489,6,1407,1477,1513,39,0
w5nGif7s,1402444800000,1430,1685,1490,6,1381,1467,1518,37,0
w5nGif7s,1402531200000,1434,1655,1518,6,1385,1466,1528,35,0
w5nGif7s,1402617600000,1454,1655,1515,6,1372,1490,1510,37,0
w5nGif7s,1402704000000,1430,1648,1512,6,1395,1464,1506,40,0
w5nGif7s,1402790400000,1456,1674,1499,6,1417,1450,1497,36,0
w5nGif7s,1402876800000,1444,1670,1522,6,1395,1463,1498,35,0
w5nGif7s,1402963200000,1434,1662,1506,6,1405,1465,1521,32,0
w5nGif7s,1403049600000,1453,1656,1518,6,1429,1485,1536,28,0
w5nGif7s,1403136000000,1426,1650,1543,6,1436,1463,1511,29,0
w5nGif7s,1403222400000,1421,1648,1559,6,1408,1469,1525,31,0
w5nGif7s,1403308800000,1414,1620,1580,6,1387,1479,1517,31,0
w5nGif7s,1403395200000,1427,1618,1601,6,1365,1451,1522,31,0
w5nGif7s,1403481600000,1401,1614,1628,6,1342,1425,1509,31,0
w5nGif7s,1403568000000,1399,1623,1629,6,1317,1450,1512,28,0
w5nGif7s,1403654400000,1410,1598,1654,6,1292,1444,1497,32,0
w5nGif7s,1403740800000,1390,1592,1667,6,1306,1472,1485,28,0
w5nGif7s,1403827200000,1395,1566,1658,6,1290,1449,1488,24,0
w5nGif7s,1403913600000,1379,1538,1639,6,1286,1450,1480,24,0
w5nGif7s,1404000000000,1390,1554,1655,6,1314,1420,1489,23,0
w5nGif7s,1404086400000,1385,1559,1626,6,1320,1391,1493,20,0
w5nGif7s,1404172800000,1366,1556,1653,6,1329,1365,1489,15,0
w5nGif7s,1404259200000,1381,1527,1650,6,1304,1343,1467,10,0
w5nGif7s,1404345600000,1358,1535,1650,6,1278,1344,1494,8,0
w5nGif7s,1404432000000,1375,1524,1628,6,1307,1338,1512,9,0
w5nGif7s,1404518400000,1401,1529,1647,6,1304,1315,1513,5,0
w5nGif7s,1404604800000,1422,1551,1668,6,1303,1343,1500,4,0
w5nGif7s,1404691200000,1412,1543,1662,6,1304,1328,1479,3,0
w5nGif7s,1404777600000,1396,1568,1689,6,1313,1305,1506,1,0
w5nGif7s,1404864000000,1387,1562,1714,6,1283,1276,1490,5,0
