user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
wo8TglP9,1409529600000,1414,1609,1450,0,2117,2117,2160,37,1
wo8TglP9,1409616000000,1436,1616,1469,0,2121,2106,2152,41,0
wo8TglP9,1409702400000,1433,1621,1471,0,2142,2080,2166,41,0
wo8TglP9,1409788800000,1431,1597,1442,0,2132,2105,2155,43,0
wo8TglP9,1409875200000,1425,1584,1417,0,2131,2112,2179,41,0
wo8TglP9,1409961600000,1428,1602,1445,0,2108,2088,2155,44,0
wo8TglP9,1410048000000,1406,1612,1428,0,2130,2089,2167,47,0
wo8TglP9,1410134400000,1384,1627,1439,0,2103,2094,2158,47,0
wo8TglP9,1410220800000,1412,1648,1452,0,2126,2085,2136,46,0
wo8TglP9,1410307200000,1410,1674,1453,0,2138,2095,2112,42,0
wo8TglP9,1410393600000,1439,1675,1482,0,2145,2095,2122,39,0
wo8TglP9,1410480000000,1425,1683,1480,0,2127,2121,2131,41,0
wo8TglP9,1410566400000,1432,1689,1476,0,2111,2150,2130,41,0
wo8TglP9,1410652800000,1424,1677,1501,0,2122,2178,2127,45,0
wo8TglP9,1410739200000,1405,1683,1483,0,2114,2168,2132,40,0
wo8TglP9,1410825600000,1378,1697,1466,0,2122,2173,2112,41,0
wo8TglP9,1410912000000,1370,1706,1453,0,2124,2193,2093,45,0
wo8TglP9,1410998400000,1384,1681,1438,0,2127,2206,2085,48,0
wo8TglP9,1411084800000,1413,1703,1422,0,2103,2179,2055,51,0
wo8TglP9,1411171200000,1408,1674,1447,0,2110,2153,2067,47,0
wo8TglP9,1411257600000,1398,1671,1442,0,2119,2139,2052,49,0
wo8TglP9,1411344000000,1426,1676,1426,0,2148,2116,2058,50,0
wo8TglP9,1411430400000,1424,1650,1452,0,2143,2107,2059,48,0
wo8TglP9,1411516800000,1441,1661,1445,0,2150,2105,2060,52,0
wo8TglP9,1411603200000,1413,1652,1416,0,2130,2089,2086,49,0
wo8TglP9,1411689600000,1396,1623,1427,0,2101,2079,2093,47,0
wo8TglP9,1411776000000,1371,1600,1429,0,2105,2078,2102,48,0
wo8TglP9,1411862400000,1377,1575,1427,0,2114,2103,2116,47,0
wo8TglP9,1411948800000,1377,1566,1444,0,2136,2074,2145,49,0
wo8TglP9,1412035200000,1405,1557,1423,0,2154,2050,2136,44,0
wo8TglP9,1412121600000,1395,1541,1447,0,2145,2077,2122,45,0
wo8TglP9,1412208000000,1392,1511,1444,0,2128,2093,2131,43,0
wo8TglP9,1412294400000,1379,1502,1414,0,2136,2104,2152,46,0
wo8TglP9,1412380800000,1350,1518,1433,0,2145,2106,2155,47,0
wo8TglP9,1412467200000,1363,1543,1448,0,2152,2077,2132,46,0
wo8TglP9,1412553600000,1334,1524,1476,0,2138,2058,2143,42,0
wo8TglP9,1412640000000,1327,1552,1483,0,2109,2075,2154,37,0
wo8TglP9,1412726400000,1316,1541,1507,0,2130,2078,2165,38,0
wo8TglP9,1412812800000,1289,1539,1534,0,2143,2082,2147,36,0
wo8TglP9,1412899200000,1265,1544,1544,0,2165,2062,2146,31,0
wo8TglP9,1412985600000,1278,1537,1525,0,2151,2044,2170,35,0
wo8TglP9,1413072000000,1267,1552,1502,0,2147,2037,2197,32,0
wo8TglP9,1413158400000,1289,1547,1488,0,2132,2051,2217,34,0
wo8TglP9,1413244800000,1284,1541,1499,0,2108,2058,2226,36,0
wo8TglP9,1413331200000,1312,1552,1490,0,2079,2038,2238,33,0
wo8TglP9,1413417600000,1323,1556,1485,0,2080,2042,2244,29,0
wo8TglP9,1413504000000,1330,1530,1513,0,2100,2042,2249,28,0
wo8TglP9,1413590400000,1347,1548,1528,0,2124,2048,2252,24,0
wo8TglP9,1413676800000,1321,1572,1549,0,2128,2066,2254,21,0
wo8TglP9,1413763200000,1298,1588,1545,0,2151,2079,2270,23,0
wo8TglP9,1413849600000,1271,1569,1569,0,2137,2090,2278,20,0
wo8TglP9,1413936000000,1268,1562,1544,0,2152,2105,2304,21,0
wo8TglP9,1414022400000,1242,1546,1532,0,2153,2093,2308,16,0
wo8TglP9,1414108800000,1231,1535,1510,0,2160,2084,2296,20,0
wo8TglP9,1414195200000,1218,1561,1489,0,2140,2091,2268,24,0
wo8TglP9,1414281600000,1193,1540,1484,0,2135,2068,2283,21,0
wo8TglP9,1414368000000,1175,1523,1455,0,2122,2044,2312,16,0
wo8TglP9,1414454400000,1156,1502,1448,0,2148,2045,2312,14,0
wo8TglP9,1414540800000,1157,1528,1443,0,2138,2036,2287,9,0
wo8TglP9,1414627200000,1153,1505,1420,0,2132,2026,2305,12,0
wo8TglP9,1414713600000,1125,1532,1423,0,2138,2008,2278,16,0
wo8TglP9,1414800000000,1149,1516,1427,0,2132,1988,2255,18,0
wo8TglP9,1414886400000,1157,1539,1423,0,2119,2005,2225,16,0
wo8TglP9,1414972800000,1154,1562,1427,0,2098,1982,2198,20,0
wo8TglP9,1415059200000,1125,1559,1445,0,2072,1979,2225,17,0
wo8TglP9,1415145600000,1118,1578,1465,0,2089,1957,2207,20,0
wo8TglP9,1415232000000,1116,1561,1456,0,2088,1978,2192,17,0
wo8TglP9,1415318400000,1117,1555,1430,0,2105,1990,2167,17,0
wo8TglP9,1415404800000,1093,1557,1438,0,2134,1960,2176,12,0
wo8TglP9,1415491200000,1070,1544,1448,0,2154,1985,2163,8,0
wo8TglP9,1415577600000,1083,1540,1477,0,2183,1974,2188,11,0
wo8TglP9,1415664000000,1075,1541,1469,0,2190,1992,2199,14,0
wo8TglP9,1415750400000,1051,1548,1457,0,2161,2006,2200,14,0
wo8TglP9,1415836800000,1062,1573,1481,0,2185,1986,2184,14,0
wo8TglP9,1415923200000,1033,1585,1459,0,2205,1960,2185,18,0
wo8TglP9,1416009600000,1012,1609,1483,0,2228,1988,2168,14,0
wo8TglP9,1416096000000,1032,1604,1473,0,2233,1987,2159,13,0
wo8TglP9,1416182400000,1016,1633,1448,0,2233,2011,2143,17,0
wo8TglP9,1416268800000,989,1614,1465,0,2203,1981,2160,15,0
wo8TglP9,1416355200000,985,1604,1451,0,2178,1957,2141,15,0
wo8TglP9,1416441600000,999,1625,1463,0,2192,1977,2154,16,0
wo8TglP9,1416528000000,1018,1615,1465,0,2201,1958,2174,18,0
wo8TglP9,1416614400000,990,1634,1488,0,2217,1955,2150,18,0
wo8TglP9,1416700800000,961,1611,1516,0,2244,1940,2143,18,0
wo8TglP9,1416787200000,944,1590,1486,0,2262,1942,2131,14,0
wo8TglP9,1416873600000,946,1592,1460,0,2274,1958,2118,11,0
wo8TglP9,1416960000000,921,1593,1487,0,2248,1952,2094,14,0
wo8TglP9,1417046400000,927,1570,1513,0,2263,1946,2091,18,0
wo8TglP9,1417132800000,955,1577,1514,0,2276,1916,2075,20,0
wo8TglP9,1417219200000,929,1568,1511,0,2280,1934,2050,24,0
wo8TglP9,1417305600000,903,1586,1494,0,2253,1929,2057,25,0
