user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
x6fb[ieU,1396310400000,1146,674,1447,6,1437,1455,845,22,0
x6fb[ieU,1396396800000,1167,654,1440,6,1412,1432,831,20,0
x6fb[ieU,1396483200000,1177,661,1415,6,1414,1448,833,18,0
x6fb[ieU,1396569600000,1204,681,1409,6,1425,1475,856,14,0
x6fb[ieU,1396656000000,1232,678,1423,6,1453,1491,831,14,0
x6fb[ieU,1396742400000,1261,688,1416,6,1448,1467,831,18,0
x6fb[ieU,1396828800000,1256,658,1407,6,1432,1488,837,22,0
x6fb[ieU,1396915200000,1248,657,1390,6,1406,1467,849,25,0
x6fb[ieU,1397001600000,1269,639,1408,6,1382,1476,837,23,0
x6fb[ieU,1397088000000,1286,611,1400,6,1403,1483,809,25,0
x6fb[ieU,1397174400000,1268,616,1391,6,1394,1477,829,21,0
x6fb[ieU,1397260800000,1265,641,1396,6,1395,1485,811,18,0
x6fb[ieU,1397347200000,1263,655,1403,6,1399,1508,820,20,0
x6fb[ieU,1397433600000,1279,676,1400,6,1385,1483,825,18,0
x6fb[ieU,1397520000000,1294,648,1372,6,1372,1511,818,17,0
x6fb[ieU,1397606400000,1295,619,1374,6,1362,1498,804,12,0
x6fb[ieU,1397692800000,1309,596,1383,6,1370,1473,776,13,0
x6fb[ieU,1397779200000,1318,597,1401,6,1356,1472,773,14,0
x6fb[ieU,1397865600000,1311,596,1392,6,1366,1469,780,17,0
x6fb[ieU,1397952000000,1289,577,1395,6,1344,1479,781,15,0
x6fb[ieU,1398038400000,1297,556,1406,6,1346,1484,791,19,0
x6fb[ieU,1398124800000,1296,566,1427,6,1349,1464,780,23,0
x6fb[ieU,1398211200000,1300,574,1429,6,1321,1437,757,26,0
x6fb[ieU,1398297600000,1298,599,1424,6,1335,1419,782,25,0
x6fb[ieU,1398384000000,1303,571,1432,6,1315,1425,807,27,0
x6fb[ieU,1398470400000,1302,555,1439,6,1289,1416,802,23,0
x6fb[ieU,1398556800000,1299,582,1432,6,1304,1416,804,25,0
x6fb[ieU,1398643200000,1323,564,1420,6,1330,1402,811,28,0
x6fb[ieU,1398729600000,1325,579,1394,6,1328,1418,810,25,0
x6fb[ieU,1398816000000,1339,602,1381,6,1337,1444,783,22,0
x6fb[ieU,1398902400000,1340,601,1395,6,1318,1416,794,17,0
x6fb[ieU,1398988800000,1346,602,1394,6,1296,1420,789,17,0
x6fb[ieU,1399075200000,1342,623,1417,6,1285,1402,803,16,0
x6fb[ieU,1399161600000,1332,623,1404,6,1281,1403,778,14,0
x6fb[ieU,1399248000000,1302,625,1396,6,1281,1395,778,12,0
x6fb[ieU,1399334400000,1318,636,1388,6,1257,1379,780,13,0
x6fb[ieU,1399420800000,1313,646,1383,6,1253,1403,777,10,0
x6fb[ieU,1399507200000,1332,616,1389,6,1250,1424,803,12,0
x6fb[ieU,1399593600000,1310,629,1364,6,1236,1441,797,9,0
x6fb[ieU,1399680000000,1294,623,1340,6,1240,1454,794,10,0
x6fb[ieU,1399766400000,1273,599,1314,6,1261,1437,783,6,0
x6fb[ieU,1399852800000,1291,598,1297,6,1232,1428,784,8,0
x6fb[ieU,1399939200000,1263,609,1270,6,1207,1398,777,11,0
x6fb[ieU,1400025600000,1279,581,1252,6,1190,1383,803,11,0
x6fb[ieU,1400112000000,1266,599,1237,6,1215,1392,773,14,0
x6fb[ieU,1400198400000,1257,613,1248,6,1244,1363,788,18,0
x6fb[ieU,1400284800000,1274,591,1238,6,1253,1355,759,18,0
x6fb[ieU,1400371200000,1274,598,1223,6,1246,1359,784,17,0
x6fb[ieU,1400457600000,1276,572,1206,6,1262,1353,792,14,0
x6fb[ieU,1400544000000,1266,576,1188,6,1287,1334,799,13,0
x6fb[ieU,1400630400000,1257,602,1174,6,1259,1345,825,14,0
x6fb[ieU,1400716800000,1235,609,1145,6,1261,1322,804,18,0
x6fb[ieU,1400803200000,1223,583,1118,6,1276,1301,819,13,0
x6fb[ieU,1400889600000,1247,559,1143,6,1276,1315,804,10,0
x6fb[ieU,1400976000000,1217,579,1120,6,1259,1327,799,9,0
x6fb[ieU,1401062400000,1232,606,1097,6,1243,1350,794,13,0
x6fb[ieU,1401148800000,1235,631,1117,6,1243,1329,793,10,0
x6fb[ieU,1401235200000,1257,641,1099,6,1228,1356,780,11,0
x6fb[ieU,1401321600000,1260,647,1077,6,1198,1379,790,14,0
x6fb[ieU,1401408000000,1270,656,1091,6,1190,1390,788,16,0
x6fb[ieU,1401494400000,1268,683,1116,6,1179,1404,767,13,0
