user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
xaURcW5G,1398902400000,1765,1495,1425,13,3506,1386,1451,1,3
xaURcW5G,1398988800000,1759,1473,1453,13,3515,1361,1432,1,2
xaURcW5G,1399075200000,1733,1463,1433,13,3529,1368,1452,4,1
xaURcW5G,1399161600000,1737,1454,1416,13,3533,1342,1426,1,0
xaURcW5G,1399248000000,1727,1438,1444,13,3536,1350,1423,4,0
xaURcW5G,1399334400000,1716,1444,1439,13,3532,1332,1427,4,0
xaURcW5G,1399420800000,1737,1451,1466,13,3558,1318,1421,6,0
xaURcW5G,1399507200000,1738,1449,1444,13,3574,1304,1438,2,0
xaURcW5G,1399593600000,1758,1459,1421,13,3579,1326,1413,5,0
xaURcW5G,1399680000000,1740,1470,1395,13,3593,1355,1388,4,0
xaURcW5G,1399766400000,1754,1488,1406,13,3604,1341,1359,3,0
xaURcW5G,1399852800000,1774,1490,1434,13,3601,1317,1351,3,0
xaURcW5G,1399939200000,1775,1514,1406,13,3629,1346,1347,2,0
xaURcW5G,1400025600000,1796,1516,1410,13,3602,1367,1360,1,0
xaURcW5G,1400112000000,1778,1499,1439,13,3613,1352,1388,1,0
xaURcW5G,1400198400000,1807,1500,1453,13,3616,1363,1413,4,0
xaURcW5G,1400284800000,1784,1504,1454,13,3622,1345,1411,6,0
xaURcW5G,1400371200000,1760,1482,1445,13,3648,1369,1393,6,0
xaURcW5G,1400457600000,1781,1459,1466,13,3635,1391,1406,5,0
xaURcW5G,1400544000000,1758,1429,1465,13,3659,1373,1424,5,0
xaURcW5G,1400630400000,1778,1434,1489,13,3661,1349,1427,1,0
xaURcW5G,1400716800000,1803,1428,1503,13,3670,1340,1401,5,0
xaURcW5G,1400803200000,1783,1406,1508,13,3651,1351,1405,1,0
xaURcW5G,1400889600000,1796,1384,1478,13,3676,1366,1433,2,0
xaURcW5G,1400976000000,1774,1361,1451,13,3679,1391,1407,0,0
xaURcW5G,1401062400000,1799,1337,1478,13,3650,1371,1425,1,0
xaURcW5G,1401148800000,1776,1309,1474,13,3637,1342,1419,3,0
xaURcW5G,1401235200000,1746,1292,1461,13,3611,1346,1423,1,0
xaURcW5G,1401321600000,1728,1278,1445,13,3632,1369,1396,3,0
xaURcW5G,1401408000000,1700,1263,1434,13,3640,1357,1400,3,0
xaURcW5G,1401494400000,1719,1284,1446,13,3621,1348,1397,7,0
xaURcW5G,1401580800000,1737,1313,1474,13,3591,1359,1406,5,0
xaURcW5G,1401667200000,1751,1296,1489,13,3620,1336,1377,1,0
xaURcW5G,1401753600000,1733,1303,1465,13,3599,1364,1381,2,0
xaURcW5G,1401840000000,1757,1294,1477,13,3624,1344,1399,2,0
xaURcW5G,1401926400000,1765,1305,1453,13,3638,1362,1370,4,0
xaURcW5G,1402012800000,1774,1331,1455,13,3648,1338,1377,8,0
xaURcW5G,1402099200000,1745,1360,1470,13,3653,1309,1350,9,0
xaURcW5G,1402185600000,1761,1367,1498,13,3626,1281,1326,7,0
xaURcW5G,1402272000000,1784,1367,1490,13,3608,1252,1324,7,0
xaURcW5G,1402358400000,1778,1359,1488,13,3582,1245,1344,9,0
xaURcW5G,1402444800000,1783,1340,1484,13,3590,1262,1359,9,0
xaURcW5G,1402531200000,1755,1344,1454,13,3571,1272,1352,12,0
xaURcW5G,1402617600000,1753,1327,1476,13,3590,1275,1343,13,0
xaURcW5G,1402704000000,1765,1316,1497,13,3605,1266,1320,15,0
xaURcW5G,1402790400000,1794,1318,1501,13,3594,1284,1345,10,0
xaURcW5G,1402876800000,1818,1297,1511,13,3618,1300,1342,12,0
xaURcW5G,1402963200000,1821,1274,1539,13,3616,1279,1342,10,0
xaURcW5G,1403049600000,1819,1245,1568,13,3638,1303,1349,7,0
xaURcW5G,1403136000000,1819,1256,1552,13,3662,1324,1376,4,0
xaURcW5G,1403222400000,1799,1265,1556,13,3669,1313,1397,6,0
xaURcW5G,1403308800000,1820,1240,1581,13,3683,1296,1405,2,0
xaURcW5G,1403395200000,1835,1257,1605,13,3697,1273,1383,2,0
xaURcW5G,1403481600000,1809,1247,1581,13,3719,1249,1392,0,0
xaURcW5G,1403568000000,1812,1258,1574,13,3723,1249,1393,2,0
xaURcW5G,1403654400000,1824,1275,1545,13,3737,1224,1380,0,0
xaURcW5G,1403740800000,1849,1285,1554,13,3737,1201,1374,2,0
xaURcW5G,1403827200000,1864,1263,1541,13,3742,1202,1375,4,0
xaURcW5G,1403913600000,1856,1233,1538,13,3748,1183,1366,1,0
xaURcW5G,1404000000000,1841,1204,1530,13,3726,1197,1357,3,0
xaURcW5G,1404086400000,1855,1177,1512,13,3744,1184,1334,3,0
xaURcW5G,1404172800000,1860,1162,1494,13,3723,1159,1320,6,0
xaURcW5G,1404259200000,1869,1153,1521,13,3705,1178,1317,2,0
xaURcW5G,1404345600000,1855,1135,1511,13,3709,1187,1300,0,0
xaURcW5G,1404432000000,1846,1127,1534,13,3738,1206,1304,3,0
xaURcW5G,1404518400000,1837,1118,1546,13,3721,1203,1301,1,0
xaURcW5G,1404604800000,1858,1112,1575,13,3691,1231,1281,3,0
xaURcW5G,1404691200000,1871,1105,1576,13,3670,1231,1287,1,0
xaURcW5G,1404777600000,1875,1115,1550,13,3674,1218,1257,3,0
xaURcW5G,1404864000000,1902,1103,1553,13,3644,1205,1231,3,0
xaURcW5G,1404950400000,1918,1114,1525,13,3653,1220,1205,2,0
xaURcW5G,1405036800000,1916,1118,1497,13,3661,1222,1181,4,0
xaURcW5G,1405123200000,1937,1147,1491,13,3675,1220,1191,7,0
xaURcW5G,1405209600000,1914,1141,1504,13,3654,1192,1182,10,0
xaURcW5G,1405296000000,1924,1144,1512,13,3652,1182,1191,12,0
xaURcW5G,1405382400000,1949,1158,1538,13,3649,1154,1213,15,0
xaURcW5G,1405468800000,1939,1138,1525,13,3629,1135,1198,12,0
xaURcW5G,1405555200000,1913,1158,1529,13,3608,1151,1201,15,0
xaURcW5G,1405641600000,1921,1180,1516,13,3592,1129,1229,14,0
xaURcW5G,1405728000000,1928,1171,1542,13,3592,1155,1204,9,0
xaURcW5G,1405814400000,1912,1157,1570,13,3572,1166,1174,4,0
xaURcW5G,1405900800000,1885,1159,1580,13,3570,1160,1186,3,0
xaURcW5G,1405987200000,1863,1174,1572,13,3544,1156,1208,1,0
xaURcW5G,1406073600000,1874,1199,1577,13,3573,1133,1208,3,0
xaURcW5G,1406160000000,1848,1192,1581,13,3579,1128,1207,4,0
xaURcW5G,1406246400000,1828,1217,1574,13,3602,1136,1179,1,0
xaURcW5G,1406332800000,1814,1242,1603,13,3624,1141,1186,1,0
xaURcW5G,1406419200000,1784,1229,1630,13,3642,1117,1190,4,0
xaURcW5G,1406505600000,1804,1199,1619,13,3670,1112,1207,8,0
xaURcW5G,1406592000000,1822,1194,1594,13,3645,1104,1215,10,0
xaURcW5G,1406678400000,1828,1208,1615,13,3625,1086,1227,8,0
xaURcW5G,1406764800000,1843,1195,1632,13,3601,1105,1248,7,0
xaURcW5G,1406851200000,1835,1212,1652,13,3626,1127,1276,10,0
xaURcW5G,1406937600000,1806,1227,1626,13,3619,1142,1286,13,0
xaURcW5G,1407024000000,1810,1242,1644,13,3603,1135,1274,13,0
xaURcW5G,1407110400000,1798,1256,1655,13,3599,1113,1297,12,0
xaURcW5G,1407196800000,1778,1279,1673,13,3588,1087,1311,11,0
xaURcW5G,1407283200000,1800,1284,1693,13,3604,1073,1307,8,0
xaURcW5G,1407369600000,1797,1255,1722,13,3613,1087,1277,10,0
xaURcW5G,1407456000000,1773,1248,1742,13,3632,1074,1248,6,0
xaURcW5G,1407542400000,1750,1245,1722,13,3638,1071,1245,6,0
xaURcW5G,1407628800000,1747,1244,1723,13,3639,1058,1229,3,0
xaURcW5G,1407715200000,1733,1268,1742,13,3652,1055,1252,5,0
xaURcW5G,1407801600000,1708,1260,1753,13,3634,1077,1275,0,0
xaURcW5G,1407888000000,1731,1266,1768,13,3633,1049,1303,3,0
xaURcW5G,1407974400000,1719,1255,1753,13,3619,1030,1330,6,0
xaURcW5G,1408060800000,1695,1234,1750,13,3648,1048,1301,4,0
xaURcW5G,1408147200000,1723,1263,1753,13,3643,1021,1324,4,0
xaURcW5G,1408233600000,1745,1247,1764,13,3642,1030,1345,4,0
xaURcW5G,1408320000000,1738,1233,1779,13,3633,1036,1327,2,0
xaURcW5G,1408406400000,1734,1228,1784,13,3629,1024,1331,1,0
xaURcW5G,1408492800000,1735,1212,1759,13,3628,1001,1305,0,0
xaURcW5G,1408579200000,1739,1231,1755,13,3633,998,1291,0,0
xaURcW5G,1408665600000,1735,1228,1740,13,3613,982,1290,2,0
xaURcW5G,1408752000000,1758,1202,1755,13,3607,976,1302,1,0
xaURcW5G,1408838400000,1759,1201,1776,13,3632,950,1306,1,0
xaURcW5G,1408924800000,1736,1221,1805,13,3658,934,1317,3,0
xaURcW5G,1409011200000,1711,1228,1819,13,3653,949,1328,6,0
xaURcW5G,1409097600000,1719,1242,1834,13,3679,978,1317,2,0
xaURcW5G,1409184000000,1706,1254,1828,13,3651,998,1320,2,0
xaURcW5G,1409270400000,1715,1239,1805,13,3678,1003,1320,1,0
xaURcW5G,1409356800000,1711,1261,1798,13,3705,1000,1309,2,0
xaURcW5G,1409443200000,1734,1264,1778,13,3730,977,1326,5,0
xaURcW5G,1409529600000,1740,1260,1780,13,3743,995,1305,8,0
xaURcW5G,1409616000000,1739,1256,1764,13,3726,982,1298,8,0
xaURcW5G,1409702400000,1723,1284,1744,13,3733,989,1310,8,0
xaURcW5G,1409788800000,1738,1303,1755,13,3736,979,1293,7,0
xaURcW5G,1409875200000,1748,1309,1738,13,3755,1005,1263,6,0
xaURcW5G,1409961600000,1745,1334,1754,13,3725,1017,1248,6,0
xaURcW5G,1410048000000,1733,1322,1732,13,3746,1008,1231,6,0
xaURcW5G,1410134400000,1740,1292,1751,13,3749,1014,1237,2,0
xaURcW5G,1410220800000,1723,1269,1740,13,3777,1041,1262,3,0
xaURcW5G,1410307200000,1726,1292,1713,13,3794,1031,1283,0,0
xaURcW5G,1410393600000,1750,1315,1733,13,3812,1001,1260,1,0
xaURcW5G,1410480000000,1748,1305,1751,13,3834,973,1239,3,0
xaURcW5G,1410566400000,1725,1298,1725,13,3841,968,1254,3,0
xaURcW5G,1410652800000,1705,1313,1695,13,3831,967,1255,1,0
xaURcW5G,1410739200000,1690,1309,1702,13,3823,950,1265,0,0
xaURcW5G,1410825600000,1715,1295,1682,13,3816,944,1275,0,0
xaURcW5G,1410912000000,1695,1314,1679,13,3819,963,1290,4,0
xaURcW5G,1410998400000,1692,1287,1698,13,3793,945,1270,3,0
xaURcW5G,1411084800000,1694,1285,1670,13,3768,956,1297,4,0
xaURcW5G,1411171200000,1667,1287,1669,13,3786,934,1285,4,0
xaURcW5G,1411257600000,1678,1301,1662,13,3764,915,1308,6,0
xaURcW5G,1411344000000,1665,1303,1645,13,3745,894,1304,3,0
xaURcW5G,1411430400000,1687,1299,1660,13,3726,904,1297,4,0
xaURcW5G,1411516800000,1688,1270,1640,13,3743,923,1291,2,0
xaURcW5G,1411603200000,1677,1240,1650,13,3714,945,1281,3,0
xaURcW5G,1411689600000,1659,1222,1654,13,3732,961,1275,3,0
xaURcW5G,1411776000000,1639,1241,1671,13,3725,990,1278,2,0
xaURcW5G,1411862400000,1635,1213,1682,13,3750,978,1300,1,0
xaURcW5G,1411948800000,1624,1228,1675,13,3765,977,1270,2,0
xaURcW5G,1412035200000,1628,1226,1664,13,3790,973,1244,2,0
xaURcW5G,1412121600000,1599,1204,1646,13,3786,965,1242,3,0
xaURcW5G,1412208000000,1596,1199,1644,13,3764,966,1248,4,0
xaURcW5G,1412294400000,1592,1188,1647,13,3770,960,1229,0,0
xaURcW5G,1412380800000,1577,1186,1642,13,3796,951,1233,4,0
xaURcW5G,1412467200000,1570,1174,1631,13,3796,978,1213,4,0
xaURcW5G,1412553600000,1545,1167,1610,13,3785,949,1194,8,0
xaURcW5G,1412640000000,1546,1170,1584,13,3802,946,1171,4,0
xaURcW5G,1412726400000,1533,1155,1594,13,3775,924,1141,1,0
xaURcW5G,1412812800000,1516,1127,1584,13,3763,944,1127,5,0
xaURcW5G,1412899200000,1511,1107,1586,13,3771,943,1124,1,0
xaURcW5G,1412985600000,1534,1082,1561,13,3744,951,1117,2,0
xaURcW5G,1413072000000,1539,1108,1554,13,3748,979,1095,3,0
xaURcW5G,1413158400000,1512,1084,1548,13,3736,991,1079,2,0
xaURcW5G,1413244800000,1526,1068,1518,13,3752,999,1072,6,0
xaURcW5G,1413331200000,1549,1089,1522,13,3770,1014,1085,3,0
xaURcW5G,1413417600000,1576,1109,1521,13,3768,1003,1070,4,0
xaURcW5G,1413504000000,1602,1132,1508,13,3784,975,1075,8,0
xaURcW5G,1413590400000,1583,1110,1506,13,3809,972,1073,3,0
xaURcW5G,1413676800000,1560,1127,1488,13,3837,968,1078,0,0
xaURcW5G,1413763200000,1547,1104,1498,13,3812,945,1085,0,0
xaURcW5G,1413849600000,1563,1122,1487,13,3805,919,1101,4,0
xaURcW5G,1413936000000,1578,1130,1508,13,3791,905,1106,1,0
xaURcW5G,1414022400000,1603,1122,1478,13,3818,923,1094,3,0
xaURcW5G,1414108800000,1584,1125,1472,13,3847,952,1114,0,0
xaURcW5G,1414195200000,1591,1129,1486,13,3855,946,1087,4,0
xaURcW5G,1414281600000,1587,1125,1460,13,3849,973,1077,2,0
xaURcW5G,1414368000000,1573,1104,1438,13,3852,965,1063,4,0
xaURcW5G,1414454400000,1570,1089,1442,13,3841,969,1050,3,0
xaURcW5G,1414540800000,1556,1092,1463,13,3837,997,1060,5,0
xaURcW5G,1414627200000,1579,1093,1437,13,3809,998,1038,9,0
xaURcW5G,1414713600000,1553,1089,1460,13,3791,973,1060,10,0
xaURcW5G,1414800000000,1548,1091,1434,13,3785,982,1040,8,0
xaURcW5G,1414886400000,1575,1117,1420,13,3799,999,1028,6,0
xaURcW5G,1414972800000,1602,1113,1429,13,3782,1020,1008,8,0
xaURcW5G,1415059200000,1603,1114,1437,13,3753,1008,991,9,0
xaURcW5G,1415145600000,1607,1099,1459,13,3757,980,1008,10,0
xaURcW5G,1415232000000,1612,1086,1433,13,3743,976,1035,5,0
xaURcW5G,1415318400000,1635,1078,1450,13,3753,988,1022,4,0
xaURcW5G,1415404800000,1655,1082,1445,13,3729,963,1000,2,0
xaURcW5G,1415491200000,1635,1093,1474,13,3749,955,1000,2,0
xaURcW5G,1415577600000,1654,1063,1446,13,3740,937,994,2,0
xaURcW5G,1415664000000,1654,1048,1467,13,3723,930,1013,6,0
xaURcW5G,1415750400000,1661,1032,1482,13,3720,950,1027,10,0
xaURcW5G,1415836800000,1675,1058,1502,13,3693,950,1008,12,0
xaURcW5G,1415923200000,1670,1086,1517,13,3674,924,1033,14,0
xaURcW5G,1416009600000,1641,1101,1491,13,3662,915,1050,15,0
xaURcW5G,1416096000000,1648,1111,1469,13,3672,898,1068,14,0
xaURcW5G,1416182400000,1630,1114,1440,13,3674,869,1083,11,0
xaURcW5G,1416268800000,1657,1101,1422,13,3674,864,1088,7,0
xaURcW5G,1416355200000,1671,1113,1411,13,3674,857,1063,9,0
xaURcW5G,1416441600000,1696,1138,1411,13,3657,827,1080,8,0
