user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
xtUIUa8C,1404172800000,1450,1414,2117,12,1469,1447,2307,25,2
xtUIUa8C,1404259200000,1429,1421,2110,12,1490,1422,2329,26,2
xtUIUa8C,1404345600000,1454,1407,2132,12,1519,1447,2306,25,2
xtUIUa8C,1404432000000,1468,1401,2143,12,1491,1424,2317,27,2
xtUIUa8C,1404518400000,1453,1403,2160,12,1463,1445,2342,25,2
xtUIUa8C,1404604800000,1436,1373,2137,12,1445,1448,2348,25,1
xtUIUa8C,1404691200000,1422,1380,2144,12,1457,1452,2329,25,1
xtUIUa8C,1404777600000,1427,1380,2133,12,1484,1427,2315,23,1
xtUIUa8C,1404864000000,1455,1354,2131,12,1505,1426,2286,23,1
xtUIUa8C,1404950400000,1445,1324,2119,12,1517,1450,2265,26,0
xtUIUa8C,1405036800000,1421,1312,2134,12,1523,1435,2265,25,0
xtUIUa8C,1405123200000,1393,1298,2136,12,1549,1462,2279,29,0
xtUIUa8C,1405209600000,1368,1271,2165,12,1565,1441,2250,25,0
xtUIUa8C,1405296000000,1353,1291,2136,12,1550,1422,2245,21,0
xtUIUa8C,1405382400000,1367,1320,2112,12,1545,1397,2240,20,0
xtUIUa8C,1405468800000,1356,1336,2124,12,1563,1416,2228,21,0
xtUIUa8C,1405555200000,1345,1349,2095,12,1591,1407,2224,22,0
xtUIUa8C,1405641600000,1368,1372,2098,12,1591,1408,2250,17,0
xtUIUa8C,1405728000000,1371,1393,2078,12,1564,1408,2222,13,0
xtUIUa8C,1405814400000,1386,1412,2059,12,1561,1388,2200,16,0
xtUIUa8C,1405900800000,1385,1419,2069,12,1562,1415,2190,19,0
xtUIUa8C,1405987200000,1360,1448,2088,12,1574,1386,2201,15,0
xtUIUa8C,1406073600000,1346,1470,2064,12,1568,1369,2197,11,0
xtUIUa8C,1406160000000,1344,1499,2043,12,1576,1373,2191,14,0
xtUIUa8C,1406246400000,1335,1490,2064,12,1551,1357,2210,11,0
xtUIUa8C,1406332800000,1344,1506,2079,12,1528,1384,2187,11,0
xtUIUa8C,1406419200000,1336,1510,2068,12,1506,1411,2213,10,0
xtUIUa8C,1406505600000,1354,1488,2064,12,1505,1419,2185,9,0
xtUIUa8C,1406592000000,1355,1498,2037,12,1500,1441,2179,11,0
xtUIUa8C,1406678400000,1345,1503,2032,12,1488,1438,2181,13,0
xtUIUa8C,1406764800000,1348,1502,2009,12,1502,1447,2203,12,0
xtUIUa8C,1406851200000,1377,1529,2003,12,1510,1455,2231,15,0
xtUIUa8C,1406937600000,1406,1529,2004,12,1497,1447,2214,14,0
xtUIUa8C,1407024000000,1401,1538,2025,12,1476,1440,2219,15,0
xtUIUa8C,1407110400000,1410,1544,2025,12,1496,1450,2205,13,0
xtUIUa8C,1407196800000,1400,1565,2046,12,1470,1478,2215,17,0
xtUIUa8C,1407283200000,1390,1572,2059,12,1461,1505,2221,17,0
xtUIUa8C,1407369600000,1364,1542,2054,12,1438,1505,2233,20,0
xtUIUa8C,1407456000000,1388,1534,2052,12,1415,1534,2226,19,0
xtUIUa8C,1407542400000,1409,1541,2032,12,1418,1560,2197,18,0
xtUIUa8C,1407628800000,1401,1545,2053,12,1445,1531,2184,13,0
xtUIUa8C,1407715200000,1413,1518,2023,12,1419,1542,2156,8,0
xtUIUa8C,1407801600000,1403,1513,2049,12,1418,1540,2171,6,0
xtUIUa8C,1407888000000,1392,1500,2077,12,1443,1557,2154,3,0
xtUIUa8C,1407974400000,1386,1486,2058,12,1467,1531,2175,2,0
xtUIUa8C,1408060800000,1374,1464,2057,12,1472,1551,2156,0,0
xtUIUa8C,1408147200000,1358,1483,2033,12,1472,1528,2174,4,0
xtUIUa8C,1408233600000,1334,1500,2061,12,1475,1503,2164,6,0
xtUIUa8C,1408320000000,1325,1499,2060,12,1457,1475,2165,4,0
xtUIUa8C,1408406400000,1315,1477,2046,12,1461,1498,2150,8,0
xtUIUa8C,1408492800000,1294,1452,2042,12,1479,1495,2142,10,0
xtUIUa8C,1408579200000,1306,1465,2040,12,1459,1471,2124,10,0
xtUIUa8C,1408665600000,1278,1481,2040,12,1440,1441,2129,12,0
xtUIUa8C,1408752000000,1264,1453,2011,12,1417,1437,2153,16,0
xtUIUa8C,1408838400000,1269,1464,2038,12,1441,1455,2162,13,0
xtUIUa8C,1408924800000,1267,1442,2030,12,1422,1430,2167,16,0
xtUIUa8C,1409011200000,1254,1423,2051,12,1433,1449,2154,20,0
xtUIUa8C,1409097600000,1271,1427,2046,12,1445,1446,2159,15,0
xtUIUa8C,1409184000000,1254,1452,2042,12,1467,1463,2186,17,0
xtUIUa8C,1409270400000,1233,1456,2042,12,1479,1439,2160,18,0
xtUIUa8C,1409356800000,1240,1481,2053,12,1483,1456,2160,17,0
xtUIUa8C,1409443200000,1262,1483,2073,12,1483,1440,2135,17,0
xtUIUa8C,1409529600000,1277,1464,2092,12,1471,1414,2148,20,0
xtUIUa8C,1409616000000,1248,1475,2065,12,1470,1405,2132,18,0
xtUIUa8C,1409702400000,1246,1446,2068,12,1492,1383,2161,20,0
xtUIUa8C,1409788800000,1267,1448,2093,12,1467,1410,2142,15,0
xtUIUa8C,1409875200000,1257,1460,2106,12,1456,1435,2168,15,0
xtUIUa8C,1409961600000,1229,1484,2080,12,1461,1457,2176,11,0
xtUIUa8C,1410048000000,1210,1507,2080,12,1442,1443,2189,8,0
xtUIUa8C,1410134400000,1181,1515,2050,12,1449,1435,2164,9,0
xtUIUa8C,1410220800000,1193,1506,2033,12,1441,1451,2159,7,0
xtUIUa8C,1410307200000,1218,1531,2042,12,1442,1442,2177,2,0
