user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
zbIP9jEW,1391212800000,1451,1471,1448,1,570,1213,2421,38,0
zbIP9jEW,1391299200000,1428,1483,1435,1,559,1209,2416,37,0
zbIP9jEW,1391385600000,1418,1467,1451,1,570,1201,2392,35,0
zbIP9jEW,1391472000000,1440,1467,1465,1,592,1230,2421,37,0
zbIP9jEW,1391558400000,1420,1464,1472,1,620,1233,2427,35,0
zbIP9jEW,1391644800000,1429,1459,1493,1,625,1242,2445,37,0
zbIP9jEW,1391731200000,1447,1475,1521,1,606,1260,2434,32,0
zbIP9jEW,1391817600000,1473,1482,1511,1,623,1254,2451,32,0
zbIP9jEW,1391904000000,1486,1493,1536,1,598,1246,2465,34,0
zbIP9jEW,1391990400000,1490,1467,1532,1,625,1249,2492,37,0
zbIP9jEW,1392076800000,1490,1460,1560,1,615,1240,2517,33,0
zbIP9jEW,1392163200000,1518,1475,1554,1,591,1261,2545,37,0
zbIP9jEW,1392249600000,1524,1482,1528,1,564,1249,2535,37,0
zbIP9jEW,1392336000000,1518,1492,1538,1,571,1244,2520,32,0
zbIP9jEW,1392422400000,1545,1481,1559,1,590,1244,2504,33,0
zbIP9jEW,1392508800000,1540,1504,1553,1,591,1257,2526,31,0
zbIP9jEW,1392595200000,1544,1521,1551,1,604,1246,2539,28,0
zbIP9jEW,1392681600000,1562,1533,1549,1,607,1247,2566,30,0
zbIP9jEW,1392768000000,1569,1525,1563,1,609,1250,2560,32,0
zbIP9jEW,1392854400000,1597,1502,1590,1,605,1220,2548,34,0
zbIP9jEW,1392940800000,1568,1502,1599,1,622,1220,2566,33,0
zbIP9jEW,1393027200000,1573,1485,1595,1,633,1227,2595,30,0
zbIP9jEW,1393113600000,1587,1493,1566,1,629,1239,2577,30,0
zbIP9jEW,1393200000000,1609,1514,1536,1,637,1212,2581,28,0
zbIP9jEW,1393286400000,1608,1505,1540,1,665,1217,2606,23,0
zbIP9jEW,1393372800000,1613,1529,1567,1,664,1234,2618,27,0
zbIP9jEW,1393459200000,1604,1552,1592,1,663,1236,2637,25,0
zbIP9jEW,1393545600000,1582,1547,1563,1,678,1225,2625,22,0
zbIP9jEW,1393632000000,1563,1573,1580,1,667,1230,2644,25,0
zbIP9jEW,1393718400000,1574,1576,1598,1,665,1236,2642,21,0
zbIP9jEW,1393804800000,1572,1570,1583,1,665,1228,2670,20,0
zbIP9jEW,1393891200000,1561,1577,1566,1,665,1222,2673,21,0
zbIP9jEW,1393977600000,1586,1576,1576,1,693,1208,2690,16,0
zbIP9jEW,1394064000000,1595,1591,1549,1,695,1189,2712,18,0
zbIP9jEW,1394150400000,1604,1595,1541,1,706,1183,2691,18,0
zbIP9jEW,1394236800000,1591,1573,1549,1,734,1199,2716,18,0
zbIP9jEW,1394323200000,1582,1556,1553,1,761,1188,2701,14,0
zbIP9jEW,1394409600000,1580,1552,1573,1,773,1179,2703,15,0
zbIP9jEW,1394496000000,1572,1560,1581,1,794,1189,2720,17,0
zbIP9jEW,1394582400000,1562,1569,1588,1,813,1213,2722,16,0
zbIP9jEW,1394668800000,1568,1561,1587,1,816,1219,2715,15,0
zbIP9jEW,1394755200000,1584,1576,1609,1,798,1245,2696,14,0
zbIP9jEW,1394841600000,1601,1584,1624,1,820,1234,2688,11,0
zbIP9jEW,1394928000000,1621,1569,1605,1,804,1251,2681,14,0
zbIP9jEW,1395014400000,1631,1576,1621,1,788,1277,2676,16,0
zbIP9jEW,1395100800000,1615,1577,1595,1,801,1252,2697,16,0
zbIP9jEW,1395187200000,1601,1602,1624,1,804,1262,2682,12,0
zbIP9jEW,1395273600000,1614,1595,1602,1,809,1275,2652,13,0
zbIP9jEW,1395360000000,1586,1573,1623,1,811,1246,2667,12,0
zbIP9jEW,1395446400000,1556,1599,1638,1,795,1228,2652,13,0
zbIP9jEW,1395532800000,1544,1591,1611,1,784,1199,2644,12,0
zbIP9jEW,1395619200000,1568,1580,1635,1,782,1181,2657,12,0
zbIP9jEW,1395705600000,1570,1571,1610,1,811,1201,2630,15,0
zbIP9jEW,1395792000000,1587,1580,1628,1,831,1203,2637,14,0
zbIP9jEW,1395878400000,1602,1593,1606,1,815,1187,2619,16,0
zbIP9jEW,1395964800000,1598,1577,1620,1,816,1177,2647,19,0
zbIP9jEW,1396051200000,1580,1577,1599,1,797,1155,2675,22,0
zbIP9jEW,1396137600000,1600,1549,1582,1,786,1177,2693,19,0
zbIP9jEW,1396224000000,1621,1572,1572,1,758,1184,2696,15,0
zbIP9jEW,1396310400000,1634,1544,1564,1,739,1193,2682,18,0
zbIP9jEW,1396396800000,1607,1534,1561,1,750,1185,2660,19,0
zbIP9jEW,1396483200000,1599,1532,1586,1,766,1197,2633,18,0
zbIP9jEW,1396569600000,1574,1515,1597,1,773,1195,2622,15,0
zbIP9jEW,1396656000000,1563,1519,1593,1,757,1217,2651,17,0
zbIP9jEW,1396742400000,1566,1520,1617,1,737,1240,2651,19,0
zbIP9jEW,1396828800000,1577,1494,1614,1,709,1261,2626,22,0
zbIP9jEW,1396915200000,1549,1509,1595,1,738,1259,2655,19,0
zbIP9jEW,1397001600000,1527,1485,1595,1,751,1253,2679,19,0
zbIP9jEW,1397088000000,1524,1495,1594,1,774,1232,2669,16,0
zbIP9jEW,1397174400000,1516,1509,1567,1,744,1228,2651,20,0
zbIP9jEW,1397260800000,1528,1500,1587,1,737,1233,2661,20,0
zbIP9jEW,1397347200000,1555,1526,1616,1,759,1203,2643,21,0
zbIP9jEW,1397433600000,1542,1503,1638,1,781,1212,2629,23,0
zbIP9jEW,1397520000000,1527,1475,1637,1,754,1217,2640,24,0
zbIP9jEW,1397606400000,1499,1498,1631,1,746,1214,2611,25,0
zbIP9jEW,1397692800000,1505,1505,1644,1,765,1236,2609,22,0
zbIP9jEW,1397779200000,1513,1521,1665,1,787,1233,2597,26,0
zbIP9jEW,1397865600000,1539,1544,1649,1,768,1231,2598,28,0
zbIP9jEW,1397952000000,1540,1527,1651,1,747,1213,2568,27,0
zbIP9jEW,1398038400000,1528,1511,1674,1,744,1229,2583,26,0
zbIP9jEW,1398124800000,1555,1522,1663,1,729,1236,2600,26,0
zbIP9jEW,1398211200000,1536,1497,1643,1,732,1219,2596,25,0
zbIP9jEW,1398297600000,1520,1484,1637,1,703,1199,2613,25,0
zbIP9jEW,1398384000000,1490,1490,1634,1,701,1194,2630,26,0
zbIP9jEW,1398470400000,1495,1468,1610,1,693,1173,2628,24,0
zbIP9jEW,1398556800000,1484,1461,1628,1,685,1157,2638,24,0
zbIP9jEW,1398643200000,1491,1475,1646,1,660,1132,2667,23,0
zbIP9jEW,1398729600000,1492,1463,1634,1,673,1156,2640,25,0
zbIP9jEW,1398816000000,1478,1461,1657,1,697,1181,2630,22,0
zbIP9jEW,1398902400000,1485,1464,1662,1,711,1193,2653,24,0
zbIP9jEW,1398988800000,1497,1437,1682,1,717,1200,2682,23,0
zbIP9jEW,1399075200000,1473,1416,1705,1,702,1225,2707,22,0
zbIP9jEW,1399161600000,1451,1442,1682,1,707,1243,2730,20,0
zbIP9jEW,1399248000000,1436,1433,1710,1,701,1223,2717,20,0
zbIP9jEW,1399334400000,1464,1447,1695,1,694,1215,2700,21,0
zbIP9jEW,1399420800000,1467,1432,1667,1,705,1198,2704,21,0
zbIP9jEW,1399507200000,1456,1411,1663,1,722,1178,2733,17,0
zbIP9jEW,1399593600000,1434,1427,1652,1,743,1198,2748,19,0
zbIP9jEW,1399680000000,1444,1416,1622,1,726,1212,2750,21,0
zbIP9jEW,1399766400000,1471,1433,1595,1,746,1212,2721,22,0
zbIP9jEW,1399852800000,1459,1412,1573,1,730,1194,2715,26,0
zbIP9jEW,1399939200000,1487,1432,1574,1,705,1211,2730,27,0
zbIP9jEW,1400025600000,1484,1413,1598,1,699,1187,2709,24,0
zbIP9jEW,1400112000000,1508,1404,1599,1,708,1185,2708,26,0
zbIP9jEW,1400198400000,1531,1377,1610,1,678,1203,2718,28,0
zbIP9jEW,1400284800000,1521,1384,1594,1,650,1181,2744,31,0
zbIP9jEW,1400371200000,1535,1377,1584,1,656,1180,2749,34,0
zbIP9jEW,1400457600000,1541,1367,1563,1,628,1157,2738,34,0
zbIP9jEW,1400544000000,1522,1373,1559,1,651,1131,2767,29,0
zbIP9jEW,1400630400000,1509,1372,1536,1,650,1111,2740,31,0
zbIP9jEW,1400716800000,1531,1401,1517,1,666,1108,2757,33,0
zbIP9jEW,1400803200000,1509,1412,1542,1,694,1090,2766,30,0
zbIP9jEW,1400889600000,1496,1416,1559,1,691,1099,2751,33,0
zbIP9jEW,1400976000000,1472,1429,1535,1,710,1101,2753,28,0
zbIP9jEW,1401062400000,1459,1441,1550,1,727,1122,2743,31,0
zbIP9jEW,1401148800000,1429,1412,1530,1,697,1116,2767,27,0
zbIP9jEW,1401235200000,1421,1402,1533,1,680,1102,2758,30,0
zbIP9jEW,1401321600000,1407,1425,1559,1,658,1097,2769,32,0
zbIP9jEW,1401408000000,1389,1440,1535,1,632,1070,2758,27,0
zbIP9jEW,1401494400000,1396,1419,1514,1,615,1045,2767,23,0
