user_id,timestamp,miles_walked,calories_burned,calories_eaten,distance,floors
1Rftcydx,1414800000000,10,309,2095,150,42
1Rftcydx,1414886400000,14,314,2195,147,19
1Rftcydx,1414972800000,16,432,2532,145,47
1Rftcydx,1415059200000,2,168,1057,121,3
1Rftcydx,1415145600000,14,166,1460,167,42
1Rftcydx,1415232000000,10,254,2464,106,23
1Rftcydx,1415318400000,17,350,1215,100,20
1Rftcydx,1415404800000,9,205,1490,153,4
1Rftcydx,1415491200000,3,548,2593,112,6
1Rftcydx,1415577600000,7,469,2142,54,38
1Rftcydx,1415664000000,3,514,1406,90,17
1Rftcydx,1415750400000,4,223,1250,86,13
1Rftcydx,1415836800000,18,252,2975,100,23
1Rftcydx,1415923200000,13,239,1275,58,34
1Rftcydx,1416009600000,16,524,2949,37,13
1Rftcydx,1416096000000,6,153,1380,110,6
1Rftcydx,1416182400000,3,242,2405,21,12
1Rftcydx,1416268800000,14,174,1195,7,11
1Rftcydx,1416355200000,5,365,1964,163,13
1Rftcydx,1416441600000,11,315,1498,95,21
1Rftcydx,1416528000000,13,259,1762,165,41
1Rftcydx,1416614400000,10,293,1043,153,27
1Rftcydx,1416700800000,16,209,1669,130,16
1Rftcydx,1416787200000,3,364,1243,124,10
1Rftcydx,1416873600000,2,527,2548,171,41
1Rftcydx,1416960000000,17,473,2736,75,8
1Rftcydx,1417046400000,2,274,1159,148,12
1Rftcydx,1417132800000,18,295,1047,40,38
1Rftcydx,1417219200000,12,220,1096,70,1
1Rftcydx,1417305600000,15,353,2799,187,35
