user_id,timestamp,miles_walked,calories_burned,calories_eaten,distance,floors
1wlTO8NB,1406851200000,1,352,1847,177,25
1wlTO8NB,1406937600000,11,514,2647,17,23
1wlTO8NB,1407024000000,10,454,2091,15,24
1wlTO8NB,1407110400000,9,220,1110,167,42
1wlTO8NB,1407196800000,4,491,2820,92,42
1wlTO8NB,1407283200000,8,511,1800,105,42
1wlTO8NB,1407369600000,13,308,1731,83,41
1wlTO8NB,1407456000000,5,245,2573,78,27
1wlTO8NB,1407542400000,15,361,1877,57,19
1wlTO8NB,1407628800000,6,357,1086,54,0
1wlTO8NB,1407715200000,14,377,2106,105,28
1wlTO8NB,1407801600000,11,193,2860,118,10
1wlTO8NB,1407888000000,18,214,1042,64,4
1wlTO8NB,1407974400000,8,291,1395,101,17
1wlTO8NB,1408060800000,4,382,1651,41,47
1wlTO8NB,1408147200000,14,461,2222,8,36
1wlTO8NB,1408233600000,10,227,1601,56,7
1wlTO8NB,1408320000000,17,473,1360,76,49
1wlTO8NB,1408406400000,4,365,2472,26,12
1wlTO8NB,1408492800000,3,289,1746,135,1
1wlTO8NB,1408579200000,1,357,1542,57,22
1wlTO8NB,1408665600000,18,281,1617,40,34
1wlTO8NB,1408752000000,8,276,1952,180,33
1wlTO8NB,1408838400000,18,225,2319,183,15
1wlTO8NB,1408924800000,16,317,1612,66,33
1wlTO8NB,1409011200000,17,346,2703,173,46
1wlTO8NB,1409097600000,19,536,1549,173,2
1wlTO8NB,1409184000000,13,396,2216,86,28
1wlTO8NB,1409270400000,2,395,1436,87,4
1wlTO8NB,1409356800000,13,388,2495,54,48
1wlTO8NB,1409443200000,7,204,1933,77,1
