user_id,timestamp,miles_walked,calories_burned,calories_eaten,distance,floors
6jwht8b4,1414800000000,18,254,1497,78,31
6jwht8b4,1414886400000,4,363,1280,81,44
6jwht8b4,1414972800000,13,259,2347,66,13
6jwht8b4,1415059200000,12,463,1695,155,28
6jwht8b4,1415145600000,17,432,2997,100,43
6jwht8b4,1415232000000,12,525,1933,48,44
6jwht8b4,1415318400000,8,436,1330,46,8
6jwht8b4,1415404800000,5,376,2413,71,15
6jwht8b4,1415491200000,10,377,1716,66,47
6jwht8b4,1415577600000,4,509,1112,118,5
6jwht8b4,1415664000000,6,518,2871,129,28
6jwht8b4,1415750400000,6,476,1634,98,46
6jwht8b4,1415836800000,19,268,2681,179,24
6jwht8b4,1415923200000,1,374,1540,165,47
6jwht8b4,1416009600000,7,387,2765,121,35
6jwht8b4,1416096000000,2,264,2045,122,29
6jwht8b4,1416182400000,16,434,1175,103,17
6jwht8b4,1416268800000,5,395,1647,199,12
6jwht8b4,1416355200000,11,190,2189,22,22
6jwht8b4,1416441600000,5,400,2005,55,30
6jwht8b4,1416528000000,8,357,1617,107,48
6jwht8b4,1416614400000,18,184,2356,89,35
6jwht8b4,1416700800000,4,259,1538,7,9
6jwht8b4,1416787200000,4,316,1172,49,8
6jwht8b4,1416873600000,19,191,2163,17,44
6jwht8b4,1416960000000,7,534,1306,189,2
6jwht8b4,1417046400000,16,512,1002,144,18
6jwht8b4,1417132800000,12,298,1518,108,22
6jwht8b4,1417219200000,2,400,1316,153,49
6jwht8b4,1417305600000,8,403,2649,177,36
