user_id,timestamp,miles_walked,calories_burned,calories_eaten,distance,floors
7xxZfhcu,1398902400000,6,407,1060,99,33
7xxZfhcu,1398988800000,3,481,1655,170,29
7xxZfhcu,1399075200000,5,420,2668,66,35
7xxZfhcu,1399161600000,12,447,2647,145,17
7xxZfhcu,1399248000000,11,452,1893,3,10
7xxZfhcu,1399334400000,2,428,1534,45,5
7xxZfhcu,1399420800000,1,444,1880,191,29
7xxZfhcu,1399507200000,9,206,2762,35,18
7xxZfhcu,1399593600000,14,335,2277,154,16
7xxZfhcu,1399680000000,13,406,1916,103,20
7xxZfhcu,1399766400000,5,430,2055,179,14
7xxZfhcu,1399852800000,4,209,1400,118,0
7xxZfhcu,1399939200000,5,172,1034,61,4
7xxZfhcu,1400025600000,6,397,1047,67,1
7xxZfhcu,1400112000000,13,538,1438,29,0
7xxZfhcu,1400198400000,18,410,2636,93,22
7xxZfhcu,1400284800000,12,303,2001,108,41
7xxZfhcu,1400371200000,10,262,1708,133,29
7xxZfhcu,1400457600000,6,384,2502,165,4
7xxZfhcu,1400544000000,18,180,1862,30,35
7xxZfhcu,1400630400000,12,524,1943,14,6
7xxZfhcu,1400716800000,11,434,2719,192,4
7xxZfhcu,1400803200000,1,318,1987,109,31
7xxZfhcu,1400889600000,11,443,2545,61,15
7xxZfhcu,1400976000000,5,483,1811,88,17
7xxZfhcu,1401062400000,8,345,2783,148,1
7xxZfhcu,1401148800000,15,399,2659,66,35
7xxZfhcu,1401235200000,18,402,2827,105,23
7xxZfhcu,1401321600000,3,386,2462,101,41
7xxZfhcu,1401408000000,14,326,1758,24,49
7xxZfhcu,1401494400000,14,486,2676,190,22
7xxZfhcu,1401580800000,8,459,2620,154,13
7xxZfhcu,1401667200000,16,316,2702,133,26
7xxZfhcu,1401753600000,11,352,2469,79,30
7xxZfhcu,1401840000000,17,462,1864,6,5
7xxZfhcu,1401926400000,7,512,1828,113,37
7xxZfhcu,1402012800000,1,238,2103,40,44
7xxZfhcu,1402099200000,13,269,2489,82,33
7xxZfhcu,1402185600000,3,515,2433,48,31
