user_id,timestamp,miles_walked,calories_burned,calories_eaten,distance,floors
CwjhikXU,1412121600000,16,484,2694,47,34
CwjhikXU,1412208000000,3,322,2135,164,7
CwjhikXU,1412294400000,13,333,1484,74,31
CwjhikXU,1412380800000,18,216,2967,142,46
CwjhikXU,1412467200000,12,356,2875,178,27
CwjhikXU,1412553600000,3,344,2589,5,38
CwjhikXU,1412640000000,17,489,1451,58,9
CwjhikXU,1412726400000,10,493,2484,10,16
CwjhikXU,1412812800000,6,262,1587,49,10
CwjhikXU,1412899200000,12,245,1339,196,31
CwjhikXU,1412985600000,0,455,1031,39,31
CwjhikXU,1413072000000,18,489,2541,103,35
CwjhikXU,1413158400000,19,461,1354,75,18
CwjhikXU,1413244800000,15,256,1692,135,40
CwjhikXU,1413331200000,10,422,1004,167,49
CwjhikXU,1413417600000,8,325,1475,49,11
CwjhikXU,1413504000000,12,162,2849,83,26
CwjhikXU,1413590400000,18,469,2360,46,8
CwjhikXU,1413676800000,10,390,1299,41,7
CwjhikXU,1413763200000,7,189,1045,109,23
CwjhikXU,1413849600000,2,188,2341,65,40
CwjhikXU,1413936000000,19,409,2128,33,46
CwjhikXU,1414022400000,4,314,2882,188,18
CwjhikXU,1414108800000,15,349,2951,112,19
CwjhikXU,1414195200000,3,361,1590,119,28
CwjhikXU,1414281600000,7,413,1053,40,46
CwjhikXU,1414368000000,6,516,2339,183,42
CwjhikXU,1414454400000,6,489,2184,70,15
CwjhikXU,1414540800000,13,239,1253,120,43
CwjhikXU,1414627200000,19,401,2980,157,30
CwjhikXU,1414713600000,8,244,2474,4,11
CwjhikXU,1414800000000,15,368,1272,62,41
CwjhikXU,1414886400000,5,527,1633,184,3
CwjhikXU,1414972800000,15,220,1713,165,5
CwjhikXU,1415059200000,10,245,1786,12,33
CwjhikXU,1415145600000,16,329,1282,32,21
CwjhikXU,1415232000000,13,346,1594,184,11
CwjhikXU,1415318400000,12,323,1631,14,38
CwjhikXU,1415404800000,3,238,2699,179,34
CwjhikXU,1415491200000,1,194,2969,96,28
CwjhikXU,1415577600000,16,174,1805,13,25
CwjhikXU,1415664000000,13,229,2728,8,39
CwjhikXU,1415750400000,11,521,2570,140,41
CwjhikXU,1415836800000,8,525,2867,89,29
CwjhikXU,1415923200000,7,448,2097,75,37
CwjhikXU,1416009600000,17,172,2121,178,45
CwjhikXU,1416096000000,16,264,1123,33,38
CwjhikXU,1416182400000,1,382,2283,110,15
CwjhikXU,1416268800000,17,398,2712,62,25
CwjhikXU,1416355200000,16,530,2879,42,20
CwjhikXU,1416441600000,0,519,2756,4,8
CwjhikXU,1416528000000,6,453,2175,192,49
CwjhikXU,1416614400000,3,150,1452,50,17
CwjhikXU,1416700800000,13,488,2707,107,7
CwjhikXU,1416787200000,7,441,2394,18,49
CwjhikXU,1416873600000,1,313,1702,126,18
CwjhikXU,1416960000000,15,454,1327,66,4
CwjhikXU,1417046400000,9,340,1498,90,31
CwjhikXU,1417132800000,9,191,1002,83,19
CwjhikXU,1417219200000,0,269,2858,113,3
CwjhikXU,1417305600000,18,403,2219,18,47
