user_id,timestamp,miles_walked,calories_burned,calories_eaten,distance,floors
EbXzspQl,1388534400000,11,249,2310,147,21
EbXzspQl,1388620800000,1,396,2699,193,13
EbXzspQl,1388707200000,13,245,2057,100,41
EbXzspQl,1388793600000,12,386,2061,3,36
EbXzspQl,1388880000000,6,481,2332,2,20
EbXzspQl,1388966400000,9,416,1421,58,30
EbXzspQl,1389052800000,5,225,1710,136,2
EbXzspQl,1389139200000,1,264,2889,85,4
EbXzspQl,1389225600000,14,390,1993,169,12
EbXzspQl,1389312000000,12,329,2351,20,32
EbXzspQl,1389398400000,16,447,2278,140,40
EbXzspQl,1389484800000,16,422,2504,37,29
EbXzspQl,1389571200000,8,213,2940,95,7
EbXzspQl,1389657600000,12,314,1775,21,43
EbXzspQl,1389744000000,6,173,1445,187,37
EbXzspQl,1389830400000,19,456,1357,8,1
EbXzspQl,1389916800000,13,174,1549,154,18
EbXzspQl,1390003200000,13,222,2604,86,27
EbXzspQl,1390089600000,5,513,2578,194,28
EbXzspQl,1390176000000,1,510,1079,23,27
EbXzspQl,1390262400000,0,473,1606,165,46
EbXzspQl,1390348800000,3,520,2621,10,20
EbXzspQl,1390435200000,9,262,2658,121,18
EbXzspQl,1390521600000,9,396,1323,194,27
EbXzspQl,1390608000000,6,181,2827,180,32
EbXzspQl,1390694400000,1,331,2615,103,19
EbXzspQl,1390780800000,7,344,2412,78,14
EbXzspQl,1390867200000,4,230,2510,30,25
EbXzspQl,1390953600000,8,385,1974,25,48
EbXzspQl,1391040000000,9,542,2002,65,12
EbXzspQl,1391126400000,3,439,1336,85,39
EbXzspQl,1391212800000,4,274,2895,98,41
EbXzspQl,1391299200000,8,302,1012,9,25
EbXzspQl,1391385600000,17,299,1610,80,24
EbXzspQl,1391472000000,13,248,1854,196,29
EbXzspQl,1391558400000,15,242,1541,189,23
EbXzspQl,1391644800000,16,436,2686,62,11
EbXzspQl,1391731200000,16,414,2090,34,37
EbXzspQl,1391817600000,18,175,1716,59,32
EbXzspQl,1391904000000,3,273,1805,40,36
EbXzspQl,1391990400000,6,165,2150,49,5
EbXzspQl,1392076800000,4,475,2144,63,14
EbXzspQl,1392163200000,5,221,1890,74,29
EbXzspQl,1392249600000,10,461,2748,57,39
EbXzspQl,1392336000000,19,430,1900,19,29
EbXzspQl,1392422400000,7,166,1167,58,19
EbXzspQl,1392508800000,11,509,2736,51,25
EbXzspQl,1392595200000,5,301,2511,6,4
EbXzspQl,1392681600000,16,208,2111,8,36
EbXzspQl,1392768000000,14,308,2222,157,20
EbXzspQl,1392854400000,8,413,1999,146,23
EbXzspQl,1392940800000,3,221,2133,132,4
EbXzspQl,1393027200000,1,290,1720,177,44
EbXzspQl,1393113600000,0,191,1360,143,37
EbXzspQl,1393200000000,7,205,2307,112,43
EbXzspQl,1393286400000,16,364,2547,111,17
EbXzspQl,1393372800000,1,215,1088,90,9
EbXzspQl,1393459200000,8,455,2182,109,19
EbXzspQl,1393545600000,11,232,1255,167,32
EbXzspQl,1393632000000,18,328,1547,42,46
EbXzspQl,1393718400000,2,156,2913,57,37
EbXzspQl,1393804800000,9,397,2289,107,8
EbXzspQl,1393891200000,0,279,1915,2,5
EbXzspQl,1393977600000,0,292,1403,51,5
