user_id,timestamp,miles_walked,calories_burned,calories_eaten,distance,floors
Go2aU10v,1404172800000,16,522,2856,24,46
Go2aU10v,1404259200000,15,212,1006,8,45
Go2aU10v,1404345600000,17,452,2340,171,19
Go2aU10v,1404432000000,14,346,2925,104,16
Go2aU10v,1404518400000,15,332,1679,44,15
Go2aU10v,1404604800000,16,539,2354,170,17
Go2aU10v,1404691200000,18,455,2471,194,38
Go2aU10v,1404777600000,16,533,2042,15,33
Go2aU10v,1404864000000,12,323,1070,106,38
Go2aU10v,1404950400000,16,158,1997,99,33
Go2aU10v,1405036800000,12,539,1902,173,38
Go2aU10v,1405123200000,9,402,1628,37,33
Go2aU10v,1405209600000,14,277,1536,187,18
Go2aU10v,1405296000000,11,533,2295,97,40
Go2aU10v,1405382400000,11,384,2332,101,48
Go2aU10v,1405468800000,9,182,2981,82,25
Go2aU10v,1405555200000,10,368,2576,117,8
Go2aU10v,1405641600000,7,175,1807,167,29
Go2aU10v,1405728000000,16,329,2071,40,40
Go2aU10v,1405814400000,11,543,2094,53,34
Go2aU10v,1405900800000,12,219,2847,56,39
Go2aU10v,1405987200000,9,360,2793,57,8
Go2aU10v,1406073600000,18,185,1140,106,23
Go2aU10v,1406160000000,13,264,1081,58,32
Go2aU10v,1406246400000,14,190,2000,152,24
Go2aU10v,1406332800000,19,185,1766,6,21
Go2aU10v,1406419200000,16,417,2377,73,2
Go2aU10v,1406505600000,4,514,1159,71,47
Go2aU10v,1406592000000,11,185,1477,159,39
Go2aU10v,1406678400000,1,314,1416,64,13
Go2aU10v,1406764800000,2,348,2469,10,16
